Country,Cases,Date
Madagascar,3,2020-03-20T00:00:00Z
Madagascar,3,2020-03-21T00:00:00Z
Madagascar,3,2020-03-22T00:00:00Z
Madagascar,12,2020-03-23T00:00:00Z
Madagascar,17,2020-03-24T00:00:00Z
Madagascar,19,2020-03-25T00:00:00Z
Madagascar,23,2020-03-26T00:00:00Z
Madagascar,26,2020-03-27T00:00:00Z
Madagascar,26,2020-03-28T00:00:00Z
Madagascar,39,2020-03-29T00:00:00Z
Madagascar,43,2020-03-30T00:00:00Z
Madagascar,57,2020-03-31T00:00:00Z
Madagascar,57,2020-04-01T00:00:00Z
Madagascar,59,2020-04-02T00:00:00Z
Madagascar,70,2020-04-03T00:00:00Z
Madagascar,70,2020-04-04T00:00:00Z
Madagascar,72,2020-04-05T00:00:00Z
Madagascar,82,2020-04-06T00:00:00Z
Madagascar,88,2020-04-07T00:00:00Z
Madagascar,93,2020-04-08T00:00:00Z
Madagascar,93,2020-04-09T00:00:00Z
Madagascar,93,2020-04-10T00:00:00Z
Madagascar,102,2020-04-11T00:00:00Z
Madagascar,106,2020-04-12T00:00:00Z
Madagascar,106,2020-04-13T00:00:00Z
Madagascar,108,2020-04-14T00:00:00Z
Madagascar,110,2020-04-15T00:00:00Z
Madagascar,111,2020-04-16T00:00:00Z
Madagascar,117,2020-04-17T00:00:00Z
Madagascar,120,2020-04-18T00:00:00Z
Madagascar,121,2020-04-19T00:00:00Z
Madagascar,121,2020-04-20T00:00:00Z
Madagascar,121,2020-04-21T00:00:00Z
Madagascar,121,2020-04-22T00:00:00Z
Madagascar,121,2020-04-23T00:00:00Z
Madagascar,122,2020-04-24T00:00:00Z
Madagascar,123,2020-04-25T00:00:00Z
Madagascar,124,2020-04-26T00:00:00Z
Madagascar,128,2020-04-27T00:00:00Z
Madagascar,128,2020-04-28T00:00:00Z
Madagascar,128,2020-04-29T00:00:00Z
Madagascar,128,2020-04-30T00:00:00Z
Madagascar,132,2020-05-01T00:00:00Z
Madagascar,135,2020-05-02T00:00:00Z
Madagascar,149,2020-05-03T00:00:00Z
Madagascar,149,2020-05-04T00:00:00Z
Madagascar,151,2020-05-05T00:00:00Z
Madagascar,158,2020-05-06T00:00:00Z
Madagascar,193,2020-05-07T00:00:00Z
Madagascar,193,2020-05-08T00:00:00Z
Madagascar,193,2020-05-09T00:00:00Z
Madagascar,193,2020-05-10T00:00:00Z
Madagascar,186,2020-05-11T00:00:00Z
Madagascar,186,2020-05-12T00:00:00Z
Madagascar,212,2020-05-13T00:00:00Z
Madagascar,230,2020-05-14T00:00:00Z
Madagascar,238,2020-05-15T00:00:00Z
Madagascar,283,2020-05-16T00:00:00Z
