Country,Cases,Date
Malawi,3,2020-04-02T00:00:00Z
Malawi,3,2020-04-03T00:00:00Z
Malawi,4,2020-04-04T00:00:00Z
Malawi,4,2020-04-05T00:00:00Z
Malawi,5,2020-04-06T00:00:00Z
Malawi,8,2020-04-07T00:00:00Z
Malawi,8,2020-04-08T00:00:00Z
Malawi,8,2020-04-09T00:00:00Z
Malawi,9,2020-04-10T00:00:00Z
Malawi,12,2020-04-11T00:00:00Z
Malawi,13,2020-04-12T00:00:00Z
Malawi,16,2020-04-13T00:00:00Z
Malawi,16,2020-04-14T00:00:00Z
Malawi,16,2020-04-15T00:00:00Z
Malawi,16,2020-04-16T00:00:00Z
Malawi,17,2020-04-17T00:00:00Z
Malawi,17,2020-04-18T00:00:00Z
Malawi,17,2020-04-19T00:00:00Z
Malawi,17,2020-04-20T00:00:00Z
Malawi,18,2020-04-21T00:00:00Z
Malawi,23,2020-04-22T00:00:00Z
Malawi,33,2020-04-23T00:00:00Z
Malawi,33,2020-04-24T00:00:00Z
Malawi,33,2020-04-25T00:00:00Z
Malawi,34,2020-04-26T00:00:00Z
Malawi,36,2020-04-27T00:00:00Z
Malawi,36,2020-04-28T00:00:00Z
Malawi,36,2020-04-29T00:00:00Z
Malawi,37,2020-04-30T00:00:00Z
Malawi,37,2020-05-01T00:00:00Z
Malawi,38,2020-05-02T00:00:00Z
Malawi,39,2020-05-03T00:00:00Z
Malawi,41,2020-05-04T00:00:00Z
Malawi,41,2020-05-05T00:00:00Z
Malawi,43,2020-05-06T00:00:00Z
Malawi,43,2020-05-07T00:00:00Z
Malawi,43,2020-05-08T00:00:00Z
Malawi,56,2020-05-09T00:00:00Z
Malawi,56,2020-05-10T00:00:00Z
Malawi,57,2020-05-11T00:00:00Z
Malawi,57,2020-05-12T00:00:00Z
Malawi,63,2020-05-13T00:00:00Z
Malawi,63,2020-05-14T00:00:00Z
Malawi,63,2020-05-15T00:00:00Z
Malawi,65,2020-05-16T00:00:00Z
