Country,Cases,Date
Malaysia,3,2020-01-25T00:00:00Z
Malaysia,4,2020-01-26T00:00:00Z
Malaysia,4,2020-01-27T00:00:00Z
Malaysia,4,2020-01-28T00:00:00Z
Malaysia,7,2020-01-29T00:00:00Z
Malaysia,8,2020-01-30T00:00:00Z
Malaysia,8,2020-01-31T00:00:00Z
Malaysia,8,2020-02-01T00:00:00Z
Malaysia,8,2020-02-02T00:00:00Z
Malaysia,8,2020-02-03T00:00:00Z
Malaysia,10,2020-02-04T00:00:00Z
Malaysia,12,2020-02-05T00:00:00Z
Malaysia,12,2020-02-06T00:00:00Z
Malaysia,12,2020-02-07T00:00:00Z
Malaysia,16,2020-02-08T00:00:00Z
Malaysia,16,2020-02-09T00:00:00Z
Malaysia,18,2020-02-10T00:00:00Z
Malaysia,18,2020-02-11T00:00:00Z
Malaysia,18,2020-02-12T00:00:00Z
Malaysia,19,2020-02-13T00:00:00Z
Malaysia,19,2020-02-14T00:00:00Z
Malaysia,22,2020-02-15T00:00:00Z
Malaysia,22,2020-02-16T00:00:00Z
Malaysia,22,2020-02-17T00:00:00Z
Malaysia,22,2020-02-18T00:00:00Z
Malaysia,22,2020-02-19T00:00:00Z
Malaysia,22,2020-02-20T00:00:00Z
Malaysia,22,2020-02-21T00:00:00Z
Malaysia,22,2020-02-22T00:00:00Z
Malaysia,22,2020-02-23T00:00:00Z
Malaysia,22,2020-02-24T00:00:00Z
Malaysia,22,2020-02-25T00:00:00Z
Malaysia,22,2020-02-26T00:00:00Z
Malaysia,23,2020-02-27T00:00:00Z
Malaysia,23,2020-02-28T00:00:00Z
Malaysia,25,2020-02-29T00:00:00Z
Malaysia,29,2020-03-01T00:00:00Z
Malaysia,29,2020-03-02T00:00:00Z
Malaysia,36,2020-03-03T00:00:00Z
Malaysia,50,2020-03-04T00:00:00Z
Malaysia,50,2020-03-05T00:00:00Z
Malaysia,83,2020-03-06T00:00:00Z
Malaysia,93,2020-03-07T00:00:00Z
Malaysia,99,2020-03-08T00:00:00Z
Malaysia,117,2020-03-09T00:00:00Z
Malaysia,129,2020-03-10T00:00:00Z
Malaysia,149,2020-03-11T00:00:00Z
Malaysia,149,2020-03-12T00:00:00Z
Malaysia,197,2020-03-13T00:00:00Z
Malaysia,238,2020-03-14T00:00:00Z
Malaysia,428,2020-03-15T00:00:00Z
Malaysia,566,2020-03-16T00:00:00Z
Malaysia,673,2020-03-17T00:00:00Z
Malaysia,790,2020-03-18T00:00:00Z
Malaysia,900,2020-03-19T00:00:00Z
Malaysia,1030,2020-03-20T00:00:00Z
Malaysia,1183,2020-03-21T00:00:00Z
Malaysia,1306,2020-03-22T00:00:00Z
Malaysia,1518,2020-03-23T00:00:00Z
Malaysia,1624,2020-03-24T00:00:00Z
Malaysia,1796,2020-03-25T00:00:00Z
Malaysia,2031,2020-03-26T00:00:00Z
Malaysia,2161,2020-03-27T00:00:00Z
Malaysia,2320,2020-03-28T00:00:00Z
Malaysia,2470,2020-03-29T00:00:00Z
Malaysia,2626,2020-03-30T00:00:00Z
Malaysia,2766,2020-03-31T00:00:00Z
Malaysia,2908,2020-04-01T00:00:00Z
Malaysia,3116,2020-04-02T00:00:00Z
Malaysia,3333,2020-04-03T00:00:00Z
Malaysia,3483,2020-04-04T00:00:00Z
Malaysia,3662,2020-04-05T00:00:00Z
Malaysia,3793,2020-04-06T00:00:00Z
Malaysia,3963,2020-04-07T00:00:00Z
Malaysia,4119,2020-04-08T00:00:00Z
Malaysia,4228,2020-04-09T00:00:00Z
Malaysia,4346,2020-04-10T00:00:00Z
Malaysia,4530,2020-04-11T00:00:00Z
Malaysia,4683,2020-04-12T00:00:00Z
Malaysia,4817,2020-04-13T00:00:00Z
Malaysia,4987,2020-04-14T00:00:00Z
Malaysia,5072,2020-04-15T00:00:00Z
Malaysia,5182,2020-04-16T00:00:00Z
Malaysia,5251,2020-04-17T00:00:00Z
Malaysia,5305,2020-04-18T00:00:00Z
Malaysia,5389,2020-04-19T00:00:00Z
Malaysia,5425,2020-04-20T00:00:00Z
Malaysia,5482,2020-04-21T00:00:00Z
Malaysia,5532,2020-04-22T00:00:00Z
Malaysia,5603,2020-04-23T00:00:00Z
Malaysia,5691,2020-04-24T00:00:00Z
Malaysia,5742,2020-04-25T00:00:00Z
Malaysia,5780,2020-04-26T00:00:00Z
Malaysia,5820,2020-04-27T00:00:00Z
Malaysia,5851,2020-04-28T00:00:00Z
Malaysia,5945,2020-04-29T00:00:00Z
Malaysia,6002,2020-04-30T00:00:00Z
Malaysia,6071,2020-05-01T00:00:00Z
Malaysia,6176,2020-05-02T00:00:00Z
Malaysia,6298,2020-05-03T00:00:00Z
Malaysia,6353,2020-05-04T00:00:00Z
Malaysia,6383,2020-05-05T00:00:00Z
Malaysia,6428,2020-05-06T00:00:00Z
Malaysia,6467,2020-05-07T00:00:00Z
Malaysia,6535,2020-05-08T00:00:00Z
Malaysia,6589,2020-05-09T00:00:00Z
Malaysia,6656,2020-05-10T00:00:00Z
Malaysia,6726,2020-05-11T00:00:00Z
Malaysia,6742,2020-05-12T00:00:00Z
Malaysia,6779,2020-05-13T00:00:00Z
Malaysia,6819,2020-05-14T00:00:00Z
Malaysia,6855,2020-05-15T00:00:00Z
Malaysia,6872,2020-05-16T00:00:00Z
