Country,Cases,Date
Mali,2,2020-03-25T00:00:00Z
Mali,4,2020-03-26T00:00:00Z
Mali,11,2020-03-27T00:00:00Z
Mali,18,2020-03-28T00:00:00Z
Mali,18,2020-03-29T00:00:00Z
Mali,25,2020-03-30T00:00:00Z
Mali,28,2020-03-31T00:00:00Z
Mali,31,2020-04-01T00:00:00Z
Mali,36,2020-04-02T00:00:00Z
Mali,39,2020-04-03T00:00:00Z
Mali,41,2020-04-04T00:00:00Z
Mali,45,2020-04-05T00:00:00Z
Mali,47,2020-04-06T00:00:00Z
Mali,56,2020-04-07T00:00:00Z
Mali,59,2020-04-08T00:00:00Z
Mali,74,2020-04-09T00:00:00Z
Mali,87,2020-04-10T00:00:00Z
Mali,87,2020-04-11T00:00:00Z
Mali,105,2020-04-12T00:00:00Z
Mali,123,2020-04-13T00:00:00Z
Mali,144,2020-04-14T00:00:00Z
Mali,148,2020-04-15T00:00:00Z
Mali,171,2020-04-16T00:00:00Z
Mali,171,2020-04-17T00:00:00Z
Mali,216,2020-04-18T00:00:00Z
Mali,224,2020-04-19T00:00:00Z
Mali,246,2020-04-20T00:00:00Z
Mali,258,2020-04-21T00:00:00Z
Mali,293,2020-04-22T00:00:00Z
Mali,309,2020-04-23T00:00:00Z
Mali,325,2020-04-24T00:00:00Z
Mali,370,2020-04-25T00:00:00Z
Mali,389,2020-04-26T00:00:00Z
Mali,408,2020-04-27T00:00:00Z
Mali,424,2020-04-28T00:00:00Z
Mali,482,2020-04-29T00:00:00Z
Mali,490,2020-04-30T00:00:00Z
Mali,508,2020-05-01T00:00:00Z
Mali,544,2020-05-02T00:00:00Z
Mali,563,2020-05-03T00:00:00Z
Mali,580,2020-05-04T00:00:00Z
Mali,612,2020-05-05T00:00:00Z
Mali,631,2020-05-06T00:00:00Z
Mali,650,2020-05-07T00:00:00Z
Mali,668,2020-05-08T00:00:00Z
Mali,692,2020-05-09T00:00:00Z
Mali,704,2020-05-10T00:00:00Z
Mali,712,2020-05-11T00:00:00Z
Mali,730,2020-05-12T00:00:00Z
Mali,758,2020-05-13T00:00:00Z
Mali,779,2020-05-14T00:00:00Z
Mali,806,2020-05-15T00:00:00Z
Mali,835,2020-05-16T00:00:00Z
