Country,Cases,Date
Mauritius,3,2020-03-18T00:00:00Z
Mauritius,3,2020-03-19T00:00:00Z
Mauritius,12,2020-03-20T00:00:00Z
Mauritius,14,2020-03-21T00:00:00Z
Mauritius,28,2020-03-22T00:00:00Z
Mauritius,36,2020-03-23T00:00:00Z
Mauritius,42,2020-03-24T00:00:00Z
Mauritius,48,2020-03-25T00:00:00Z
Mauritius,81,2020-03-26T00:00:00Z
Mauritius,94,2020-03-27T00:00:00Z
Mauritius,102,2020-03-28T00:00:00Z
Mauritius,107,2020-03-29T00:00:00Z
Mauritius,128,2020-03-30T00:00:00Z
Mauritius,143,2020-03-31T00:00:00Z
Mauritius,161,2020-04-01T00:00:00Z
Mauritius,169,2020-04-02T00:00:00Z
Mauritius,186,2020-04-03T00:00:00Z
Mauritius,196,2020-04-04T00:00:00Z
Mauritius,227,2020-04-05T00:00:00Z
Mauritius,244,2020-04-06T00:00:00Z
Mauritius,268,2020-04-07T00:00:00Z
Mauritius,273,2020-04-08T00:00:00Z
Mauritius,314,2020-04-09T00:00:00Z
Mauritius,318,2020-04-10T00:00:00Z
Mauritius,319,2020-04-11T00:00:00Z
Mauritius,324,2020-04-12T00:00:00Z
Mauritius,324,2020-04-13T00:00:00Z
Mauritius,324,2020-04-14T00:00:00Z
Mauritius,324,2020-04-15T00:00:00Z
Mauritius,324,2020-04-16T00:00:00Z
Mauritius,324,2020-04-17T00:00:00Z
Mauritius,325,2020-04-18T00:00:00Z
Mauritius,328,2020-04-19T00:00:00Z
Mauritius,328,2020-04-20T00:00:00Z
Mauritius,328,2020-04-21T00:00:00Z
Mauritius,329,2020-04-22T00:00:00Z
Mauritius,331,2020-04-23T00:00:00Z
Mauritius,331,2020-04-24T00:00:00Z
Mauritius,331,2020-04-25T00:00:00Z
Mauritius,332,2020-04-26T00:00:00Z
Mauritius,334,2020-04-27T00:00:00Z
Mauritius,334,2020-04-28T00:00:00Z
Mauritius,332,2020-04-29T00:00:00Z
Mauritius,332,2020-04-30T00:00:00Z
Mauritius,332,2020-05-01T00:00:00Z
Mauritius,332,2020-05-02T00:00:00Z
Mauritius,332,2020-05-03T00:00:00Z
Mauritius,332,2020-05-04T00:00:00Z
Mauritius,332,2020-05-05T00:00:00Z
Mauritius,332,2020-05-06T00:00:00Z
Mauritius,332,2020-05-07T00:00:00Z
Mauritius,332,2020-05-08T00:00:00Z
Mauritius,332,2020-05-09T00:00:00Z
Mauritius,332,2020-05-10T00:00:00Z
Mauritius,332,2020-05-11T00:00:00Z
Mauritius,332,2020-05-12T00:00:00Z
Mauritius,332,2020-05-13T00:00:00Z
Mauritius,332,2020-05-14T00:00:00Z
Mauritius,332,2020-05-15T00:00:00Z
Mauritius,332,2020-05-16T00:00:00Z
