Country,Cases,Date
Mexico,1,2020-02-28T00:00:00Z
Mexico,4,2020-02-29T00:00:00Z
Mexico,5,2020-03-01T00:00:00Z
Mexico,5,2020-03-02T00:00:00Z
Mexico,5,2020-03-03T00:00:00Z
Mexico,5,2020-03-04T00:00:00Z
Mexico,5,2020-03-05T00:00:00Z
Mexico,6,2020-03-06T00:00:00Z
Mexico,6,2020-03-07T00:00:00Z
Mexico,7,2020-03-08T00:00:00Z
Mexico,7,2020-03-09T00:00:00Z
Mexico,7,2020-03-10T00:00:00Z
Mexico,8,2020-03-11T00:00:00Z
Mexico,12,2020-03-12T00:00:00Z
Mexico,26,2020-03-13T00:00:00Z
Mexico,41,2020-03-14T00:00:00Z
Mexico,53,2020-03-15T00:00:00Z
Mexico,82,2020-03-16T00:00:00Z
Mexico,93,2020-03-17T00:00:00Z
Mexico,118,2020-03-18T00:00:00Z
Mexico,164,2020-03-19T00:00:00Z
Mexico,203,2020-03-20T00:00:00Z
Mexico,251,2020-03-21T00:00:00Z
Mexico,316,2020-03-22T00:00:00Z
Mexico,367,2020-03-23T00:00:00Z
Mexico,405,2020-03-24T00:00:00Z
Mexico,475,2020-03-25T00:00:00Z
Mexico,585,2020-03-26T00:00:00Z
Mexico,717,2020-03-27T00:00:00Z
Mexico,848,2020-03-28T00:00:00Z
Mexico,993,2020-03-29T00:00:00Z
Mexico,1094,2020-03-30T00:00:00Z
Mexico,1215,2020-03-31T00:00:00Z
Mexico,1378,2020-04-01T00:00:00Z
Mexico,1510,2020-04-02T00:00:00Z
Mexico,1688,2020-04-03T00:00:00Z
Mexico,1890,2020-04-04T00:00:00Z
Mexico,2143,2020-04-05T00:00:00Z
Mexico,2439,2020-04-06T00:00:00Z
Mexico,2785,2020-04-07T00:00:00Z
Mexico,3181,2020-04-08T00:00:00Z
Mexico,3441,2020-04-09T00:00:00Z
Mexico,3844,2020-04-10T00:00:00Z
Mexico,4219,2020-04-11T00:00:00Z
Mexico,4661,2020-04-12T00:00:00Z
Mexico,5014,2020-04-13T00:00:00Z
Mexico,5399,2020-04-14T00:00:00Z
Mexico,5847,2020-04-15T00:00:00Z
Mexico,6297,2020-04-16T00:00:00Z
Mexico,6875,2020-04-17T00:00:00Z
Mexico,7497,2020-04-18T00:00:00Z
Mexico,8261,2020-04-19T00:00:00Z
Mexico,8772,2020-04-20T00:00:00Z
Mexico,9501,2020-04-21T00:00:00Z
Mexico,10544,2020-04-22T00:00:00Z
Mexico,11633,2020-04-23T00:00:00Z
Mexico,12872,2020-04-24T00:00:00Z
Mexico,13842,2020-04-25T00:00:00Z
Mexico,14677,2020-04-26T00:00:00Z
Mexico,15529,2020-04-27T00:00:00Z
Mexico,16752,2020-04-28T00:00:00Z
Mexico,17799,2020-04-29T00:00:00Z
Mexico,19224,2020-04-30T00:00:00Z
Mexico,20739,2020-05-01T00:00:00Z
Mexico,22088,2020-05-02T00:00:00Z
Mexico,23471,2020-05-03T00:00:00Z
Mexico,24905,2020-05-04T00:00:00Z
Mexico,26025,2020-05-05T00:00:00Z
Mexico,27634,2020-05-06T00:00:00Z
Mexico,29616,2020-05-07T00:00:00Z
Mexico,31522,2020-05-08T00:00:00Z
Mexico,33460,2020-05-09T00:00:00Z
Mexico,35022,2020-05-10T00:00:00Z
Mexico,36327,2020-05-11T00:00:00Z
Mexico,38324,2020-05-12T00:00:00Z
Mexico,40186,2020-05-13T00:00:00Z
Mexico,42595,2020-05-14T00:00:00Z
Mexico,45032,2020-05-15T00:00:00Z
Mexico,47144,2020-05-16T00:00:00Z
