Country,Cases,Date
Moldova,1,2020-03-08T00:00:00Z
Moldova,1,2020-03-09T00:00:00Z
Moldova,3,2020-03-10T00:00:00Z
Moldova,3,2020-03-11T00:00:00Z
Moldova,3,2020-03-12T00:00:00Z
Moldova,6,2020-03-13T00:00:00Z
Moldova,12,2020-03-14T00:00:00Z
Moldova,23,2020-03-15T00:00:00Z
Moldova,23,2020-03-16T00:00:00Z
Moldova,30,2020-03-17T00:00:00Z
Moldova,30,2020-03-18T00:00:00Z
Moldova,49,2020-03-19T00:00:00Z
Moldova,66,2020-03-20T00:00:00Z
Moldova,80,2020-03-21T00:00:00Z
Moldova,94,2020-03-22T00:00:00Z
Moldova,109,2020-03-23T00:00:00Z
Moldova,125,2020-03-24T00:00:00Z
Moldova,149,2020-03-25T00:00:00Z
Moldova,177,2020-03-26T00:00:00Z
Moldova,199,2020-03-27T00:00:00Z
Moldova,231,2020-03-28T00:00:00Z
Moldova,263,2020-03-29T00:00:00Z
Moldova,298,2020-03-30T00:00:00Z
Moldova,353,2020-03-31T00:00:00Z
Moldova,423,2020-04-01T00:00:00Z
Moldova,505,2020-04-02T00:00:00Z
Moldova,591,2020-04-03T00:00:00Z
Moldova,752,2020-04-04T00:00:00Z
Moldova,864,2020-04-05T00:00:00Z
Moldova,965,2020-04-06T00:00:00Z
Moldova,1056,2020-04-07T00:00:00Z
Moldova,1174,2020-04-08T00:00:00Z
Moldova,1289,2020-04-09T00:00:00Z
Moldova,1438,2020-04-10T00:00:00Z
Moldova,1560,2020-04-11T00:00:00Z
Moldova,1662,2020-04-12T00:00:00Z
Moldova,1712,2020-04-13T00:00:00Z
Moldova,1934,2020-04-14T00:00:00Z
Moldova,2049,2020-04-15T00:00:00Z
Moldova,2154,2020-04-16T00:00:00Z
Moldova,2264,2020-04-17T00:00:00Z
Moldova,2378,2020-04-18T00:00:00Z
Moldova,2472,2020-04-19T00:00:00Z
Moldova,2548,2020-04-20T00:00:00Z
Moldova,2614,2020-04-21T00:00:00Z
Moldova,2778,2020-04-22T00:00:00Z
Moldova,2926,2020-04-23T00:00:00Z
Moldova,3110,2020-04-24T00:00:00Z
Moldova,3304,2020-04-25T00:00:00Z
Moldova,3408,2020-04-26T00:00:00Z
Moldova,3481,2020-04-27T00:00:00Z
Moldova,3638,2020-04-28T00:00:00Z
Moldova,3771,2020-04-29T00:00:00Z
Moldova,3897,2020-04-30T00:00:00Z
Moldova,3980,2020-05-01T00:00:00Z
Moldova,4052,2020-05-02T00:00:00Z
Moldova,4121,2020-05-03T00:00:00Z
Moldova,4248,2020-05-04T00:00:00Z
Moldova,4363,2020-05-05T00:00:00Z
Moldova,4476,2020-05-06T00:00:00Z
Moldova,4605,2020-05-07T00:00:00Z
Moldova,4728,2020-05-08T00:00:00Z
Moldova,4867,2020-05-09T00:00:00Z
Moldova,4927,2020-05-10T00:00:00Z
Moldova,4995,2020-05-11T00:00:00Z
Moldova,5154,2020-05-12T00:00:00Z
Moldova,5406,2020-05-13T00:00:00Z
Moldova,5553,2020-05-14T00:00:00Z
Moldova,5745,2020-05-15T00:00:00Z
Moldova,5934,2020-05-16T00:00:00Z
