Country,Cases,Date
Morocco,1,2020-03-02T00:00:00Z
Morocco,1,2020-03-03T00:00:00Z
Morocco,1,2020-03-04T00:00:00Z
Morocco,2,2020-03-05T00:00:00Z
Morocco,2,2020-03-06T00:00:00Z
Morocco,2,2020-03-07T00:00:00Z
Morocco,2,2020-03-08T00:00:00Z
Morocco,2,2020-03-09T00:00:00Z
Morocco,3,2020-03-10T00:00:00Z
Morocco,5,2020-03-11T00:00:00Z
Morocco,6,2020-03-12T00:00:00Z
Morocco,7,2020-03-13T00:00:00Z
Morocco,17,2020-03-14T00:00:00Z
Morocco,28,2020-03-15T00:00:00Z
Morocco,29,2020-03-16T00:00:00Z
Morocco,38,2020-03-17T00:00:00Z
Morocco,49,2020-03-18T00:00:00Z
Morocco,63,2020-03-19T00:00:00Z
Morocco,77,2020-03-20T00:00:00Z
Morocco,96,2020-03-21T00:00:00Z
Morocco,115,2020-03-22T00:00:00Z
Morocco,143,2020-03-23T00:00:00Z
Morocco,170,2020-03-24T00:00:00Z
Morocco,225,2020-03-25T00:00:00Z
Morocco,275,2020-03-26T00:00:00Z
Morocco,345,2020-03-27T00:00:00Z
Morocco,402,2020-03-28T00:00:00Z
Morocco,479,2020-03-29T00:00:00Z
Morocco,556,2020-03-30T00:00:00Z
Morocco,617,2020-03-31T00:00:00Z
Morocco,654,2020-04-01T00:00:00Z
Morocco,708,2020-04-02T00:00:00Z
Morocco,791,2020-04-03T00:00:00Z
Morocco,919,2020-04-04T00:00:00Z
Morocco,1021,2020-04-05T00:00:00Z
Morocco,1120,2020-04-06T00:00:00Z
Morocco,1184,2020-04-07T00:00:00Z
Morocco,1275,2020-04-08T00:00:00Z
Morocco,1374,2020-04-09T00:00:00Z
Morocco,1448,2020-04-10T00:00:00Z
Morocco,1545,2020-04-11T00:00:00Z
Morocco,1661,2020-04-12T00:00:00Z
Morocco,1763,2020-04-13T00:00:00Z
Morocco,1888,2020-04-14T00:00:00Z
Morocco,2024,2020-04-15T00:00:00Z
Morocco,2283,2020-04-16T00:00:00Z
Morocco,2564,2020-04-17T00:00:00Z
Morocco,2685,2020-04-18T00:00:00Z
Morocco,2855,2020-04-19T00:00:00Z
Morocco,3046,2020-04-20T00:00:00Z
Morocco,3209,2020-04-21T00:00:00Z
Morocco,3446,2020-04-22T00:00:00Z
Morocco,3568,2020-04-23T00:00:00Z
Morocco,3758,2020-04-24T00:00:00Z
Morocco,3897,2020-04-25T00:00:00Z
Morocco,4065,2020-04-26T00:00:00Z
Morocco,4120,2020-04-27T00:00:00Z
Morocco,4252,2020-04-28T00:00:00Z
Morocco,4321,2020-04-29T00:00:00Z
Morocco,4423,2020-04-30T00:00:00Z
Morocco,4569,2020-05-01T00:00:00Z
Morocco,4729,2020-05-02T00:00:00Z
Morocco,4903,2020-05-03T00:00:00Z
Morocco,5053,2020-05-04T00:00:00Z
Morocco,5219,2020-05-05T00:00:00Z
Morocco,5408,2020-05-06T00:00:00Z
Morocco,5548,2020-05-07T00:00:00Z
Morocco,5711,2020-05-08T00:00:00Z
Morocco,5910,2020-05-09T00:00:00Z
Morocco,6063,2020-05-10T00:00:00Z
Morocco,6281,2020-05-11T00:00:00Z
Morocco,6418,2020-05-12T00:00:00Z
Morocco,6512,2020-05-13T00:00:00Z
Morocco,6607,2020-05-14T00:00:00Z
Morocco,6652,2020-05-15T00:00:00Z
Morocco,6741,2020-05-16T00:00:00Z
