Country,Cases,Date
Netherlands,1,2020-02-27T00:00:00Z
Netherlands,1,2020-02-28T00:00:00Z
Netherlands,6,2020-02-29T00:00:00Z
Netherlands,10,2020-03-01T00:00:00Z
Netherlands,18,2020-03-02T00:00:00Z
Netherlands,24,2020-03-03T00:00:00Z
Netherlands,38,2020-03-04T00:00:00Z
Netherlands,82,2020-03-05T00:00:00Z
Netherlands,128,2020-03-06T00:00:00Z
Netherlands,188,2020-03-07T00:00:00Z
Netherlands,265,2020-03-08T00:00:00Z
Netherlands,321,2020-03-09T00:00:00Z
Netherlands,382,2020-03-10T00:00:00Z
Netherlands,503,2020-03-11T00:00:00Z
Netherlands,503,2020-03-12T00:00:00Z
Netherlands,804,2020-03-13T00:00:00Z
Netherlands,959,2020-03-14T00:00:00Z
Netherlands,1135,2020-03-15T00:00:00Z
Netherlands,1413,2020-03-16T00:00:00Z
Netherlands,1705,2020-03-17T00:00:00Z
Netherlands,2051,2020-03-18T00:00:00Z
Netherlands,2460,2020-03-19T00:00:00Z
Netherlands,2994,2020-03-20T00:00:00Z
Netherlands,3631,2020-03-21T00:00:00Z
Netherlands,4204,2020-03-22T00:00:00Z
Netherlands,4749,2020-03-23T00:00:00Z
Netherlands,5560,2020-03-24T00:00:00Z
Netherlands,6412,2020-03-25T00:00:00Z
Netherlands,7431,2020-03-26T00:00:00Z
Netherlands,8603,2020-03-27T00:00:00Z
Netherlands,9762,2020-03-28T00:00:00Z
Netherlands,10866,2020-03-29T00:00:00Z
Netherlands,11750,2020-03-30T00:00:00Z
Netherlands,12595,2020-03-31T00:00:00Z
Netherlands,13614,2020-04-01T00:00:00Z
Netherlands,14697,2020-04-02T00:00:00Z
Netherlands,15723,2020-04-03T00:00:00Z
Netherlands,16627,2020-04-04T00:00:00Z
Netherlands,17851,2020-04-05T00:00:00Z
Netherlands,18803,2020-04-06T00:00:00Z
Netherlands,19580,2020-04-07T00:00:00Z
Netherlands,20549,2020-04-08T00:00:00Z
Netherlands,21762,2020-04-09T00:00:00Z
Netherlands,23097,2020-04-10T00:00:00Z
Netherlands,24413,2020-04-11T00:00:00Z
Netherlands,25587,2020-04-12T00:00:00Z
Netherlands,26551,2020-04-13T00:00:00Z
Netherlands,27419,2020-04-14T00:00:00Z
Netherlands,28153,2020-04-15T00:00:00Z
Netherlands,29214,2020-04-16T00:00:00Z
Netherlands,30449,2020-04-17T00:00:00Z
Netherlands,31589,2020-04-18T00:00:00Z
Netherlands,32655,2020-04-19T00:00:00Z
Netherlands,33405,2020-04-20T00:00:00Z
Netherlands,34134,2020-04-21T00:00:00Z
Netherlands,34842,2020-04-22T00:00:00Z
Netherlands,35729,2020-04-23T00:00:00Z
Netherlands,36535,2020-04-24T00:00:00Z
Netherlands,37190,2020-04-25T00:00:00Z
Netherlands,37845,2020-04-26T00:00:00Z
Netherlands,38245,2020-04-27T00:00:00Z
Netherlands,38416,2020-04-28T00:00:00Z
Netherlands,38802,2020-04-29T00:00:00Z
Netherlands,39316,2020-04-30T00:00:00Z
Netherlands,39791,2020-05-01T00:00:00Z
Netherlands,40236,2020-05-02T00:00:00Z
Netherlands,40571,2020-05-03T00:00:00Z
Netherlands,40770,2020-05-04T00:00:00Z
Netherlands,41087,2020-05-05T00:00:00Z
Netherlands,41319,2020-05-06T00:00:00Z
Netherlands,41774,2020-05-07T00:00:00Z
Netherlands,42093,2020-05-08T00:00:00Z
Netherlands,42382,2020-05-09T00:00:00Z
Netherlands,42627,2020-05-10T00:00:00Z
Netherlands,42788,2020-05-11T00:00:00Z
Netherlands,42984,2020-05-12T00:00:00Z
Netherlands,43211,2020-05-13T00:00:00Z
Netherlands,43481,2020-05-14T00:00:00Z
Netherlands,43681,2020-05-15T00:00:00Z
Netherlands,43870,2020-05-16T00:00:00Z
