Country,Cases,Date
New Zealand,1,2020-02-28T00:00:00Z
New Zealand,1,2020-02-29T00:00:00Z
New Zealand,1,2020-03-01T00:00:00Z
New Zealand,1,2020-03-02T00:00:00Z
New Zealand,1,2020-03-03T00:00:00Z
New Zealand,3,2020-03-04T00:00:00Z
New Zealand,3,2020-03-05T00:00:00Z
New Zealand,4,2020-03-06T00:00:00Z
New Zealand,5,2020-03-07T00:00:00Z
New Zealand,5,2020-03-08T00:00:00Z
New Zealand,5,2020-03-09T00:00:00Z
New Zealand,5,2020-03-10T00:00:00Z
New Zealand,5,2020-03-11T00:00:00Z
New Zealand,5,2020-03-12T00:00:00Z
New Zealand,5,2020-03-13T00:00:00Z
New Zealand,6,2020-03-14T00:00:00Z
New Zealand,8,2020-03-15T00:00:00Z
New Zealand,8,2020-03-16T00:00:00Z
New Zealand,12,2020-03-17T00:00:00Z
New Zealand,20,2020-03-18T00:00:00Z
New Zealand,28,2020-03-19T00:00:00Z
New Zealand,39,2020-03-20T00:00:00Z
New Zealand,52,2020-03-21T00:00:00Z
New Zealand,102,2020-03-22T00:00:00Z
New Zealand,102,2020-03-23T00:00:00Z
New Zealand,155,2020-03-24T00:00:00Z
New Zealand,205,2020-03-25T00:00:00Z
New Zealand,283,2020-03-26T00:00:00Z
New Zealand,368,2020-03-27T00:00:00Z
New Zealand,451,2020-03-28T00:00:00Z
New Zealand,514,2020-03-29T00:00:00Z
New Zealand,589,2020-03-30T00:00:00Z
New Zealand,647,2020-03-31T00:00:00Z
New Zealand,708,2020-04-01T00:00:00Z
New Zealand,797,2020-04-02T00:00:00Z
New Zealand,868,2020-04-03T00:00:00Z
New Zealand,950,2020-04-04T00:00:00Z
New Zealand,1039,2020-04-05T00:00:00Z
New Zealand,1106,2020-04-06T00:00:00Z
New Zealand,1160,2020-04-07T00:00:00Z
New Zealand,1210,2020-04-08T00:00:00Z
New Zealand,1239,2020-04-09T00:00:00Z
New Zealand,1283,2020-04-10T00:00:00Z
New Zealand,1312,2020-04-11T00:00:00Z
New Zealand,1330,2020-04-12T00:00:00Z
New Zealand,1349,2020-04-13T00:00:00Z
New Zealand,1366,2020-04-14T00:00:00Z
New Zealand,1386,2020-04-15T00:00:00Z
New Zealand,1401,2020-04-16T00:00:00Z
New Zealand,1409,2020-04-17T00:00:00Z
New Zealand,1422,2020-04-18T00:00:00Z
New Zealand,1431,2020-04-19T00:00:00Z
New Zealand,1440,2020-04-20T00:00:00Z
New Zealand,1445,2020-04-21T00:00:00Z
New Zealand,1451,2020-04-22T00:00:00Z
New Zealand,1456,2020-04-23T00:00:00Z
New Zealand,1461,2020-04-24T00:00:00Z
New Zealand,1470,2020-04-25T00:00:00Z
New Zealand,1469,2020-04-26T00:00:00Z
New Zealand,1472,2020-04-27T00:00:00Z
New Zealand,1474,2020-04-28T00:00:00Z
New Zealand,1476,2020-04-29T00:00:00Z
New Zealand,1479,2020-04-30T00:00:00Z
New Zealand,1485,2020-05-01T00:00:00Z
New Zealand,1487,2020-05-02T00:00:00Z
New Zealand,1487,2020-05-03T00:00:00Z
New Zealand,1486,2020-05-04T00:00:00Z
New Zealand,1488,2020-05-05T00:00:00Z
New Zealand,1489,2020-05-06T00:00:00Z
New Zealand,1490,2020-05-07T00:00:00Z
New Zealand,1492,2020-05-08T00:00:00Z
New Zealand,1494,2020-05-09T00:00:00Z
New Zealand,1497,2020-05-10T00:00:00Z
New Zealand,1497,2020-05-11T00:00:00Z
New Zealand,1497,2020-05-12T00:00:00Z
New Zealand,1497,2020-05-13T00:00:00Z
New Zealand,1498,2020-05-14T00:00:00Z
New Zealand,1498,2020-05-15T00:00:00Z
New Zealand,1499,2020-05-16T00:00:00Z
