Country,Cases,Date
Niger,1,2020-03-20T00:00:00Z
Niger,1,2020-03-21T00:00:00Z
Niger,2,2020-03-22T00:00:00Z
Niger,3,2020-03-23T00:00:00Z
Niger,3,2020-03-24T00:00:00Z
Niger,7,2020-03-25T00:00:00Z
Niger,10,2020-03-26T00:00:00Z
Niger,10,2020-03-27T00:00:00Z
Niger,10,2020-03-28T00:00:00Z
Niger,18,2020-03-29T00:00:00Z
Niger,27,2020-03-30T00:00:00Z
Niger,27,2020-03-31T00:00:00Z
Niger,74,2020-04-01T00:00:00Z
Niger,98,2020-04-02T00:00:00Z
Niger,120,2020-04-03T00:00:00Z
Niger,144,2020-04-04T00:00:00Z
Niger,184,2020-04-05T00:00:00Z
Niger,253,2020-04-06T00:00:00Z
Niger,278,2020-04-07T00:00:00Z
Niger,342,2020-04-08T00:00:00Z
Niger,410,2020-04-09T00:00:00Z
Niger,438,2020-04-10T00:00:00Z
Niger,491,2020-04-11T00:00:00Z
Niger,529,2020-04-12T00:00:00Z
Niger,529,2020-04-13T00:00:00Z
Niger,570,2020-04-14T00:00:00Z
Niger,584,2020-04-15T00:00:00Z
Niger,584,2020-04-16T00:00:00Z
Niger,627,2020-04-17T00:00:00Z
Niger,639,2020-04-18T00:00:00Z
Niger,648,2020-04-19T00:00:00Z
Niger,648,2020-04-20T00:00:00Z
Niger,657,2020-04-21T00:00:00Z
Niger,662,2020-04-22T00:00:00Z
Niger,671,2020-04-23T00:00:00Z
Niger,681,2020-04-24T00:00:00Z
Niger,684,2020-04-25T00:00:00Z
Niger,696,2020-04-26T00:00:00Z
Niger,701,2020-04-27T00:00:00Z
Niger,709,2020-04-28T00:00:00Z
Niger,713,2020-04-29T00:00:00Z
Niger,719,2020-04-30T00:00:00Z
Niger,728,2020-05-01T00:00:00Z
Niger,736,2020-05-02T00:00:00Z
Niger,750,2020-05-03T00:00:00Z
Niger,755,2020-05-04T00:00:00Z
Niger,763,2020-05-05T00:00:00Z
Niger,770,2020-05-06T00:00:00Z
Niger,781,2020-05-07T00:00:00Z
Niger,795,2020-05-08T00:00:00Z
Niger,815,2020-05-09T00:00:00Z
Niger,821,2020-05-10T00:00:00Z
Niger,832,2020-05-11T00:00:00Z
Niger,854,2020-05-12T00:00:00Z
Niger,860,2020-05-13T00:00:00Z
Niger,876,2020-05-14T00:00:00Z
Niger,885,2020-05-15T00:00:00Z
Niger,889,2020-05-16T00:00:00Z
