Country,Cases,Date
Nigeria,1,2020-02-28T00:00:00Z
Nigeria,1,2020-02-29T00:00:00Z
Nigeria,1,2020-03-01T00:00:00Z
Nigeria,1,2020-03-02T00:00:00Z
Nigeria,1,2020-03-03T00:00:00Z
Nigeria,1,2020-03-04T00:00:00Z
Nigeria,1,2020-03-05T00:00:00Z
Nigeria,1,2020-03-06T00:00:00Z
Nigeria,1,2020-03-07T00:00:00Z
Nigeria,1,2020-03-08T00:00:00Z
Nigeria,2,2020-03-09T00:00:00Z
Nigeria,2,2020-03-10T00:00:00Z
Nigeria,2,2020-03-11T00:00:00Z
Nigeria,2,2020-03-12T00:00:00Z
Nigeria,2,2020-03-13T00:00:00Z
Nigeria,2,2020-03-14T00:00:00Z
Nigeria,2,2020-03-15T00:00:00Z
Nigeria,2,2020-03-16T00:00:00Z
Nigeria,3,2020-03-17T00:00:00Z
Nigeria,8,2020-03-18T00:00:00Z
Nigeria,8,2020-03-19T00:00:00Z
Nigeria,12,2020-03-20T00:00:00Z
Nigeria,22,2020-03-21T00:00:00Z
Nigeria,30,2020-03-22T00:00:00Z
Nigeria,40,2020-03-23T00:00:00Z
Nigeria,44,2020-03-24T00:00:00Z
Nigeria,51,2020-03-25T00:00:00Z
Nigeria,65,2020-03-26T00:00:00Z
Nigeria,70,2020-03-27T00:00:00Z
Nigeria,89,2020-03-28T00:00:00Z
Nigeria,111,2020-03-29T00:00:00Z
Nigeria,131,2020-03-30T00:00:00Z
Nigeria,135,2020-03-31T00:00:00Z
Nigeria,174,2020-04-01T00:00:00Z
Nigeria,184,2020-04-02T00:00:00Z
Nigeria,210,2020-04-03T00:00:00Z
Nigeria,214,2020-04-04T00:00:00Z
Nigeria,232,2020-04-05T00:00:00Z
Nigeria,238,2020-04-06T00:00:00Z
Nigeria,254,2020-04-07T00:00:00Z
Nigeria,276,2020-04-08T00:00:00Z
Nigeria,288,2020-04-09T00:00:00Z
Nigeria,305,2020-04-10T00:00:00Z
Nigeria,318,2020-04-11T00:00:00Z
Nigeria,323,2020-04-12T00:00:00Z
Nigeria,343,2020-04-13T00:00:00Z
Nigeria,373,2020-04-14T00:00:00Z
Nigeria,407,2020-04-15T00:00:00Z
Nigeria,442,2020-04-16T00:00:00Z
Nigeria,493,2020-04-17T00:00:00Z
Nigeria,542,2020-04-18T00:00:00Z
Nigeria,627,2020-04-19T00:00:00Z
Nigeria,665,2020-04-20T00:00:00Z
Nigeria,665,2020-04-21T00:00:00Z
Nigeria,873,2020-04-22T00:00:00Z
Nigeria,981,2020-04-23T00:00:00Z
Nigeria,1095,2020-04-24T00:00:00Z
Nigeria,1182,2020-04-25T00:00:00Z
Nigeria,1273,2020-04-26T00:00:00Z
Nigeria,1337,2020-04-27T00:00:00Z
Nigeria,1532,2020-04-28T00:00:00Z
Nigeria,1728,2020-04-29T00:00:00Z
Nigeria,1932,2020-04-30T00:00:00Z
Nigeria,2170,2020-05-01T00:00:00Z
Nigeria,2388,2020-05-02T00:00:00Z
Nigeria,2558,2020-05-03T00:00:00Z
Nigeria,2802,2020-05-04T00:00:00Z
Nigeria,2950,2020-05-05T00:00:00Z
Nigeria,3145,2020-05-06T00:00:00Z
Nigeria,3526,2020-05-07T00:00:00Z
Nigeria,3912,2020-05-08T00:00:00Z
Nigeria,4151,2020-05-09T00:00:00Z
Nigeria,4399,2020-05-10T00:00:00Z
Nigeria,4641,2020-05-11T00:00:00Z
Nigeria,4787,2020-05-12T00:00:00Z
Nigeria,4971,2020-05-13T00:00:00Z
Nigeria,5162,2020-05-14T00:00:00Z
Nigeria,5450,2020-05-15T00:00:00Z
Nigeria,5621,2020-05-16T00:00:00Z
