Country,Cases,Date
Norway,1,2020-02-26T00:00:00Z
Norway,1,2020-02-27T00:00:00Z
Norway,6,2020-02-28T00:00:00Z
Norway,15,2020-02-29T00:00:00Z
Norway,19,2020-03-01T00:00:00Z
Norway,25,2020-03-02T00:00:00Z
Norway,32,2020-03-03T00:00:00Z
Norway,56,2020-03-04T00:00:00Z
Norway,87,2020-03-05T00:00:00Z
Norway,108,2020-03-06T00:00:00Z
Norway,147,2020-03-07T00:00:00Z
Norway,176,2020-03-08T00:00:00Z
Norway,205,2020-03-09T00:00:00Z
Norway,400,2020-03-10T00:00:00Z
Norway,598,2020-03-11T00:00:00Z
Norway,702,2020-03-12T00:00:00Z
Norway,996,2020-03-13T00:00:00Z
Norway,1090,2020-03-14T00:00:00Z
Norway,1221,2020-03-15T00:00:00Z
Norway,1333,2020-03-16T00:00:00Z
Norway,1463,2020-03-17T00:00:00Z
Norway,1550,2020-03-18T00:00:00Z
Norway,1746,2020-03-19T00:00:00Z
Norway,1914,2020-03-20T00:00:00Z
Norway,2118,2020-03-21T00:00:00Z
Norway,2385,2020-03-22T00:00:00Z
Norway,2621,2020-03-23T00:00:00Z
Norway,2863,2020-03-24T00:00:00Z
Norway,3084,2020-03-25T00:00:00Z
Norway,3369,2020-03-26T00:00:00Z
Norway,3755,2020-03-27T00:00:00Z
Norway,4015,2020-03-28T00:00:00Z
Norway,4284,2020-03-29T00:00:00Z
Norway,4445,2020-03-30T00:00:00Z
Norway,4641,2020-03-31T00:00:00Z
Norway,4863,2020-04-01T00:00:00Z
Norway,5147,2020-04-02T00:00:00Z
Norway,5370,2020-04-03T00:00:00Z
Norway,5550,2020-04-04T00:00:00Z
Norway,5687,2020-04-05T00:00:00Z
Norway,5865,2020-04-06T00:00:00Z
Norway,6086,2020-04-07T00:00:00Z
Norway,6086,2020-04-08T00:00:00Z
Norway,6211,2020-04-09T00:00:00Z
Norway,6314,2020-04-10T00:00:00Z
Norway,6409,2020-04-11T00:00:00Z
Norway,6525,2020-04-12T00:00:00Z
Norway,6603,2020-04-13T00:00:00Z
Norway,6623,2020-04-14T00:00:00Z
Norway,6740,2020-04-15T00:00:00Z
Norway,6896,2020-04-16T00:00:00Z
Norway,6937,2020-04-17T00:00:00Z
Norway,7036,2020-04-18T00:00:00Z
Norway,7078,2020-04-19T00:00:00Z
Norway,7156,2020-04-20T00:00:00Z
Norway,7191,2020-04-21T00:00:00Z
Norway,7338,2020-04-22T00:00:00Z
Norway,7401,2020-04-23T00:00:00Z
Norway,7463,2020-04-24T00:00:00Z
Norway,7499,2020-04-25T00:00:00Z
Norway,7527,2020-04-26T00:00:00Z
Norway,7599,2020-04-27T00:00:00Z
Norway,7660,2020-04-28T00:00:00Z
Norway,7710,2020-04-29T00:00:00Z
Norway,7738,2020-04-30T00:00:00Z
Norway,7783,2020-05-01T00:00:00Z
Norway,7809,2020-05-02T00:00:00Z
Norway,7847,2020-05-03T00:00:00Z
Norway,7904,2020-05-04T00:00:00Z
Norway,7955,2020-05-05T00:00:00Z
Norway,7996,2020-05-06T00:00:00Z
Norway,8034,2020-05-07T00:00:00Z
Norway,8070,2020-05-08T00:00:00Z
Norway,8099,2020-05-09T00:00:00Z
Norway,8105,2020-05-10T00:00:00Z
Norway,8132,2020-05-11T00:00:00Z
Norway,8157,2020-05-12T00:00:00Z
Norway,8175,2020-05-13T00:00:00Z
Norway,8196,2020-05-14T00:00:00Z
Norway,8219,2020-05-15T00:00:00Z
Norway,8237,2020-05-16T00:00:00Z
