Country,Cases,Date
Oman,2,2020-02-24T00:00:00Z
Oman,2,2020-02-25T00:00:00Z
Oman,4,2020-02-26T00:00:00Z
Oman,4,2020-02-27T00:00:00Z
Oman,4,2020-02-28T00:00:00Z
Oman,6,2020-02-29T00:00:00Z
Oman,6,2020-03-01T00:00:00Z
Oman,6,2020-03-02T00:00:00Z
Oman,12,2020-03-03T00:00:00Z
Oman,15,2020-03-04T00:00:00Z
Oman,16,2020-03-05T00:00:00Z
Oman,16,2020-03-06T00:00:00Z
Oman,16,2020-03-07T00:00:00Z
Oman,16,2020-03-08T00:00:00Z
Oman,16,2020-03-09T00:00:00Z
Oman,18,2020-03-10T00:00:00Z
Oman,18,2020-03-11T00:00:00Z
Oman,18,2020-03-12T00:00:00Z
Oman,19,2020-03-13T00:00:00Z
Oman,19,2020-03-14T00:00:00Z
Oman,22,2020-03-15T00:00:00Z
Oman,22,2020-03-16T00:00:00Z
Oman,24,2020-03-17T00:00:00Z
Oman,39,2020-03-18T00:00:00Z
Oman,48,2020-03-19T00:00:00Z
Oman,48,2020-03-20T00:00:00Z
Oman,52,2020-03-21T00:00:00Z
Oman,55,2020-03-22T00:00:00Z
Oman,66,2020-03-23T00:00:00Z
Oman,84,2020-03-24T00:00:00Z
Oman,99,2020-03-25T00:00:00Z
Oman,109,2020-03-26T00:00:00Z
Oman,131,2020-03-27T00:00:00Z
Oman,152,2020-03-28T00:00:00Z
Oman,167,2020-03-29T00:00:00Z
Oman,179,2020-03-30T00:00:00Z
Oman,192,2020-03-31T00:00:00Z
Oman,210,2020-04-01T00:00:00Z
Oman,231,2020-04-02T00:00:00Z
Oman,252,2020-04-03T00:00:00Z
Oman,277,2020-04-04T00:00:00Z
Oman,298,2020-04-05T00:00:00Z
Oman,331,2020-04-06T00:00:00Z
Oman,371,2020-04-07T00:00:00Z
Oman,419,2020-04-08T00:00:00Z
Oman,457,2020-04-09T00:00:00Z
Oman,484,2020-04-10T00:00:00Z
Oman,546,2020-04-11T00:00:00Z
Oman,599,2020-04-12T00:00:00Z
Oman,727,2020-04-13T00:00:00Z
Oman,813,2020-04-14T00:00:00Z
Oman,910,2020-04-15T00:00:00Z
Oman,1019,2020-04-16T00:00:00Z
Oman,1069,2020-04-17T00:00:00Z
Oman,1180,2020-04-18T00:00:00Z
Oman,1266,2020-04-19T00:00:00Z
Oman,1410,2020-04-20T00:00:00Z
Oman,1508,2020-04-21T00:00:00Z
Oman,1614,2020-04-22T00:00:00Z
Oman,1716,2020-04-23T00:00:00Z
Oman,1790,2020-04-24T00:00:00Z
Oman,1905,2020-04-25T00:00:00Z
Oman,1998,2020-04-26T00:00:00Z
Oman,2049,2020-04-27T00:00:00Z
Oman,2131,2020-04-28T00:00:00Z
Oman,2274,2020-04-29T00:00:00Z
Oman,2348,2020-04-30T00:00:00Z
Oman,2447,2020-05-01T00:00:00Z
Oman,2483,2020-05-02T00:00:00Z
Oman,2568,2020-05-03T00:00:00Z
Oman,2637,2020-05-04T00:00:00Z
Oman,2735,2020-05-05T00:00:00Z
Oman,2903,2020-05-06T00:00:00Z
Oman,2958,2020-05-07T00:00:00Z
Oman,3112,2020-05-08T00:00:00Z
Oman,3224,2020-05-09T00:00:00Z
Oman,3399,2020-05-10T00:00:00Z
Oman,3573,2020-05-11T00:00:00Z
Oman,3721,2020-05-12T00:00:00Z
Oman,4019,2020-05-13T00:00:00Z
Oman,4341,2020-05-14T00:00:00Z
Oman,4625,2020-05-15T00:00:00Z
Oman,5029,2020-05-16T00:00:00Z
