Country,Cases,Date
Pakistan,2,2020-02-26T00:00:00Z
Pakistan,2,2020-02-27T00:00:00Z
Pakistan,2,2020-02-28T00:00:00Z
Pakistan,4,2020-02-29T00:00:00Z
Pakistan,4,2020-03-01T00:00:00Z
Pakistan,4,2020-03-02T00:00:00Z
Pakistan,5,2020-03-03T00:00:00Z
Pakistan,5,2020-03-04T00:00:00Z
Pakistan,5,2020-03-05T00:00:00Z
Pakistan,6,2020-03-06T00:00:00Z
Pakistan,6,2020-03-07T00:00:00Z
Pakistan,6,2020-03-08T00:00:00Z
Pakistan,6,2020-03-09T00:00:00Z
Pakistan,16,2020-03-10T00:00:00Z
Pakistan,19,2020-03-11T00:00:00Z
Pakistan,20,2020-03-12T00:00:00Z
Pakistan,28,2020-03-13T00:00:00Z
Pakistan,31,2020-03-14T00:00:00Z
Pakistan,53,2020-03-15T00:00:00Z
Pakistan,136,2020-03-16T00:00:00Z
Pakistan,236,2020-03-17T00:00:00Z
Pakistan,299,2020-03-18T00:00:00Z
Pakistan,454,2020-03-19T00:00:00Z
Pakistan,501,2020-03-20T00:00:00Z
Pakistan,730,2020-03-21T00:00:00Z
Pakistan,776,2020-03-22T00:00:00Z
Pakistan,875,2020-03-23T00:00:00Z
Pakistan,972,2020-03-24T00:00:00Z
Pakistan,1063,2020-03-25T00:00:00Z
Pakistan,1201,2020-03-26T00:00:00Z
Pakistan,1373,2020-03-27T00:00:00Z
Pakistan,1495,2020-03-28T00:00:00Z
Pakistan,1597,2020-03-29T00:00:00Z
Pakistan,1717,2020-03-30T00:00:00Z
Pakistan,1938,2020-03-31T00:00:00Z
Pakistan,2118,2020-04-01T00:00:00Z
Pakistan,2421,2020-04-02T00:00:00Z
Pakistan,2686,2020-04-03T00:00:00Z
Pakistan,2818,2020-04-04T00:00:00Z
Pakistan,3157,2020-04-05T00:00:00Z
Pakistan,3766,2020-04-06T00:00:00Z
Pakistan,4035,2020-04-07T00:00:00Z
Pakistan,4263,2020-04-08T00:00:00Z
Pakistan,4489,2020-04-09T00:00:00Z
Pakistan,4695,2020-04-10T00:00:00Z
Pakistan,5011,2020-04-11T00:00:00Z
Pakistan,5230,2020-04-12T00:00:00Z
Pakistan,5496,2020-04-13T00:00:00Z
Pakistan,5837,2020-04-14T00:00:00Z
Pakistan,6383,2020-04-15T00:00:00Z
Pakistan,6919,2020-04-16T00:00:00Z
Pakistan,7025,2020-04-17T00:00:00Z
Pakistan,7638,2020-04-18T00:00:00Z
Pakistan,8348,2020-04-19T00:00:00Z
Pakistan,8418,2020-04-20T00:00:00Z
Pakistan,9565,2020-04-21T00:00:00Z
Pakistan,10076,2020-04-22T00:00:00Z
Pakistan,11155,2020-04-23T00:00:00Z
Pakistan,11940,2020-04-24T00:00:00Z
Pakistan,12723,2020-04-25T00:00:00Z
Pakistan,13328,2020-04-26T00:00:00Z
Pakistan,13915,2020-04-27T00:00:00Z
Pakistan,14612,2020-04-28T00:00:00Z
Pakistan,15525,2020-04-29T00:00:00Z
Pakistan,16817,2020-04-30T00:00:00Z
Pakistan,18114,2020-05-01T00:00:00Z
Pakistan,19103,2020-05-02T00:00:00Z
Pakistan,20084,2020-05-03T00:00:00Z
Pakistan,20941,2020-05-04T00:00:00Z
Pakistan,22049,2020-05-05T00:00:00Z
Pakistan,24073,2020-05-06T00:00:00Z
Pakistan,24644,2020-05-07T00:00:00Z
Pakistan,26435,2020-05-08T00:00:00Z
Pakistan,28736,2020-05-09T00:00:00Z
Pakistan,30334,2020-05-10T00:00:00Z
Pakistan,32081,2020-05-11T00:00:00Z
Pakistan,34336,2020-05-12T00:00:00Z
Pakistan,35298,2020-05-13T00:00:00Z
Pakistan,35788,2020-05-14T00:00:00Z
Pakistan,38799,2020-05-15T00:00:00Z
Pakistan,38799,2020-05-16T00:00:00Z
