Country,Cases,Date
Palestinian Territory,4,2020-03-05T00:00:00Z
Palestinian Territory,7,2020-03-06T00:00:00Z
Palestinian Territory,16,2020-03-07T00:00:00Z
Palestinian Territory,16,2020-03-08T00:00:00Z
Palestinian Territory,19,2020-03-09T00:00:00Z
Palestinian Territory,26,2020-03-10T00:00:00Z
Palestinian Territory,30,2020-03-11T00:00:00Z
Palestinian Territory,30,2020-03-12T00:00:00Z
Palestinian Territory,31,2020-03-13T00:00:00Z
Palestinian Territory,35,2020-03-14T00:00:00Z
Palestinian Territory,38,2020-03-15T00:00:00Z
Palestinian Territory,38,2020-03-16T00:00:00Z
Palestinian Territory,39,2020-03-17T00:00:00Z
Palestinian Territory,41,2020-03-18T00:00:00Z
Palestinian Territory,44,2020-03-19T00:00:00Z
Palestinian Territory,47,2020-03-20T00:00:00Z
Palestinian Territory,48,2020-03-21T00:00:00Z
Palestinian Territory,52,2020-03-22T00:00:00Z
Palestinian Territory,59,2020-03-23T00:00:00Z
Palestinian Territory,59,2020-03-24T00:00:00Z
Palestinian Territory,59,2020-03-25T00:00:00Z
Palestinian Territory,84,2020-03-26T00:00:00Z
Palestinian Territory,91,2020-03-27T00:00:00Z
Palestinian Territory,98,2020-03-28T00:00:00Z
Palestinian Territory,109,2020-03-29T00:00:00Z
Palestinian Territory,116,2020-03-30T00:00:00Z
Palestinian Territory,119,2020-03-31T00:00:00Z
Palestinian Territory,134,2020-04-01T00:00:00Z
Palestinian Territory,161,2020-04-02T00:00:00Z
Palestinian Territory,194,2020-04-03T00:00:00Z
Palestinian Territory,217,2020-04-04T00:00:00Z
Palestinian Territory,237,2020-04-05T00:00:00Z
Palestinian Territory,254,2020-04-06T00:00:00Z
Palestinian Territory,261,2020-04-07T00:00:00Z
Palestinian Territory,263,2020-04-08T00:00:00Z
Palestinian Territory,263,2020-04-09T00:00:00Z
Palestinian Territory,267,2020-04-10T00:00:00Z
Palestinian Territory,268,2020-04-11T00:00:00Z
Palestinian Territory,290,2020-04-12T00:00:00Z
Palestinian Territory,308,2020-04-13T00:00:00Z
Palestinian Territory,308,2020-04-14T00:00:00Z
Palestinian Territory,374,2020-04-15T00:00:00Z
Palestinian Territory,374,2020-04-16T00:00:00Z
Palestinian Territory,402,2020-04-17T00:00:00Z
Palestinian Territory,418,2020-04-18T00:00:00Z
Palestinian Territory,437,2020-04-19T00:00:00Z
Palestinian Territory,449,2020-04-20T00:00:00Z
Palestinian Territory,466,2020-04-21T00:00:00Z
Palestinian Territory,474,2020-04-22T00:00:00Z
Palestinian Territory,480,2020-04-23T00:00:00Z
Palestinian Territory,484,2020-04-24T00:00:00Z
Palestinian Territory,342,2020-04-25T00:00:00Z
Palestinian Territory,342,2020-04-26T00:00:00Z
Palestinian Territory,342,2020-04-27T00:00:00Z
Palestinian Territory,343,2020-04-28T00:00:00Z
Palestinian Territory,344,2020-04-29T00:00:00Z
Palestinian Territory,344,2020-04-30T00:00:00Z
Palestinian Territory,353,2020-05-01T00:00:00Z
Palestinian Territory,353,2020-05-02T00:00:00Z
Palestinian Territory,353,2020-05-03T00:00:00Z
Palestinian Territory,362,2020-05-04T00:00:00Z
Palestinian Territory,371,2020-05-05T00:00:00Z
Palestinian Territory,374,2020-05-06T00:00:00Z
Palestinian Territory,375,2020-05-07T00:00:00Z
Palestinian Territory,375,2020-05-08T00:00:00Z
Palestinian Territory,375,2020-05-09T00:00:00Z
Palestinian Territory,375,2020-05-10T00:00:00Z
Palestinian Territory,375,2020-05-11T00:00:00Z
Palestinian Territory,375,2020-05-12T00:00:00Z
Palestinian Territory,375,2020-05-13T00:00:00Z
Palestinian Territory,375,2020-05-14T00:00:00Z
Palestinian Territory,375,2020-05-15T00:00:00Z
Palestinian Territory,376,2020-05-16T00:00:00Z
