Country,Cases,Date
Panama,1,2020-03-10T00:00:00Z
Panama,8,2020-03-11T00:00:00Z
Panama,11,2020-03-12T00:00:00Z
Panama,27,2020-03-13T00:00:00Z
Panama,36,2020-03-14T00:00:00Z
Panama,43,2020-03-15T00:00:00Z
Panama,55,2020-03-16T00:00:00Z
Panama,69,2020-03-17T00:00:00Z
Panama,86,2020-03-18T00:00:00Z
Panama,109,2020-03-19T00:00:00Z
Panama,137,2020-03-20T00:00:00Z
Panama,200,2020-03-21T00:00:00Z
Panama,313,2020-03-22T00:00:00Z
Panama,345,2020-03-23T00:00:00Z
Panama,345,2020-03-24T00:00:00Z
Panama,443,2020-03-25T00:00:00Z
Panama,558,2020-03-26T00:00:00Z
Panama,674,2020-03-27T00:00:00Z
Panama,786,2020-03-28T00:00:00Z
Panama,901,2020-03-29T00:00:00Z
Panama,989,2020-03-30T00:00:00Z
Panama,1181,2020-03-31T00:00:00Z
Panama,1181,2020-04-01T00:00:00Z
Panama,1317,2020-04-02T00:00:00Z
Panama,1475,2020-04-03T00:00:00Z
Panama,1673,2020-04-04T00:00:00Z
Panama,1801,2020-04-05T00:00:00Z
Panama,1988,2020-04-06T00:00:00Z
Panama,2100,2020-04-07T00:00:00Z
Panama,2249,2020-04-08T00:00:00Z
Panama,2528,2020-04-09T00:00:00Z
Panama,2752,2020-04-10T00:00:00Z
Panama,2974,2020-04-11T00:00:00Z
Panama,3234,2020-04-12T00:00:00Z
Panama,3400,2020-04-13T00:00:00Z
Panama,3472,2020-04-14T00:00:00Z
Panama,3574,2020-04-15T00:00:00Z
Panama,3751,2020-04-16T00:00:00Z
Panama,4016,2020-04-17T00:00:00Z
Panama,4210,2020-04-18T00:00:00Z
Panama,4273,2020-04-19T00:00:00Z
Panama,4467,2020-04-20T00:00:00Z
Panama,4658,2020-04-21T00:00:00Z
Panama,4821,2020-04-22T00:00:00Z
Panama,5166,2020-04-23T00:00:00Z
Panama,5338,2020-04-24T00:00:00Z
Panama,5538,2020-04-25T00:00:00Z
Panama,5779,2020-04-26T00:00:00Z
Panama,6021,2020-04-27T00:00:00Z
Panama,6021,2020-04-28T00:00:00Z
Panama,6378,2020-04-29T00:00:00Z
Panama,6532,2020-04-30T00:00:00Z
Panama,6720,2020-05-01T00:00:00Z
Panama,7090,2020-05-02T00:00:00Z
Panama,7090,2020-05-03T00:00:00Z
Panama,7197,2020-05-04T00:00:00Z
Panama,7523,2020-05-05T00:00:00Z
Panama,7731,2020-05-06T00:00:00Z
Panama,7868,2020-05-07T00:00:00Z
Panama,8070,2020-05-08T00:00:00Z
Panama,8282,2020-05-09T00:00:00Z
Panama,8448,2020-05-10T00:00:00Z
Panama,8616,2020-05-11T00:00:00Z
Panama,8783,2020-05-12T00:00:00Z
Panama,8944,2020-05-13T00:00:00Z
Panama,9118,2020-05-14T00:00:00Z
Panama,9268,2020-05-15T00:00:00Z
Panama,9449,2020-05-16T00:00:00Z
