Country,Cases,Date
Paraguay,1,2020-03-08T00:00:00Z
Paraguay,1,2020-03-09T00:00:00Z
Paraguay,1,2020-03-10T00:00:00Z
Paraguay,5,2020-03-11T00:00:00Z
Paraguay,5,2020-03-12T00:00:00Z
Paraguay,6,2020-03-13T00:00:00Z
Paraguay,6,2020-03-14T00:00:00Z
Paraguay,6,2020-03-15T00:00:00Z
Paraguay,8,2020-03-16T00:00:00Z
Paraguay,9,2020-03-17T00:00:00Z
Paraguay,11,2020-03-18T00:00:00Z
Paraguay,11,2020-03-19T00:00:00Z
Paraguay,13,2020-03-20T00:00:00Z
Paraguay,18,2020-03-21T00:00:00Z
Paraguay,22,2020-03-22T00:00:00Z
Paraguay,22,2020-03-23T00:00:00Z
Paraguay,27,2020-03-24T00:00:00Z
Paraguay,37,2020-03-25T00:00:00Z
Paraguay,41,2020-03-26T00:00:00Z
Paraguay,52,2020-03-27T00:00:00Z
Paraguay,56,2020-03-28T00:00:00Z
Paraguay,59,2020-03-29T00:00:00Z
Paraguay,64,2020-03-30T00:00:00Z
Paraguay,65,2020-03-31T00:00:00Z
Paraguay,69,2020-04-01T00:00:00Z
Paraguay,77,2020-04-02T00:00:00Z
Paraguay,92,2020-04-03T00:00:00Z
Paraguay,96,2020-04-04T00:00:00Z
Paraguay,104,2020-04-05T00:00:00Z
Paraguay,113,2020-04-06T00:00:00Z
Paraguay,115,2020-04-07T00:00:00Z
Paraguay,119,2020-04-08T00:00:00Z
Paraguay,124,2020-04-09T00:00:00Z
Paraguay,129,2020-04-10T00:00:00Z
Paraguay,133,2020-04-11T00:00:00Z
Paraguay,134,2020-04-12T00:00:00Z
Paraguay,147,2020-04-13T00:00:00Z
Paraguay,159,2020-04-14T00:00:00Z
Paraguay,161,2020-04-15T00:00:00Z
Paraguay,174,2020-04-16T00:00:00Z
Paraguay,199,2020-04-17T00:00:00Z
Paraguay,202,2020-04-18T00:00:00Z
Paraguay,206,2020-04-19T00:00:00Z
Paraguay,208,2020-04-20T00:00:00Z
Paraguay,208,2020-04-21T00:00:00Z
Paraguay,213,2020-04-22T00:00:00Z
Paraguay,213,2020-04-23T00:00:00Z
Paraguay,223,2020-04-24T00:00:00Z
Paraguay,228,2020-04-25T00:00:00Z
Paraguay,228,2020-04-26T00:00:00Z
Paraguay,228,2020-04-27T00:00:00Z
Paraguay,239,2020-04-28T00:00:00Z
Paraguay,239,2020-04-29T00:00:00Z
Paraguay,266,2020-04-30T00:00:00Z
Paraguay,333,2020-05-01T00:00:00Z
Paraguay,370,2020-05-02T00:00:00Z
Paraguay,396,2020-05-03T00:00:00Z
Paraguay,415,2020-05-04T00:00:00Z
Paraguay,431,2020-05-05T00:00:00Z
Paraguay,440,2020-05-06T00:00:00Z
Paraguay,462,2020-05-07T00:00:00Z
Paraguay,563,2020-05-08T00:00:00Z
Paraguay,689,2020-05-09T00:00:00Z
Paraguay,713,2020-05-10T00:00:00Z
Paraguay,724,2020-05-11T00:00:00Z
Paraguay,737,2020-05-12T00:00:00Z
Paraguay,740,2020-05-13T00:00:00Z
Paraguay,754,2020-05-14T00:00:00Z
Paraguay,759,2020-05-15T00:00:00Z
Paraguay,778,2020-05-16T00:00:00Z
