Country,Cases,Date
Peru,1,2020-03-06T00:00:00Z
Peru,1,2020-03-07T00:00:00Z
Peru,6,2020-03-08T00:00:00Z
Peru,7,2020-03-09T00:00:00Z
Peru,11,2020-03-10T00:00:00Z
Peru,11,2020-03-11T00:00:00Z
Peru,15,2020-03-12T00:00:00Z
Peru,28,2020-03-13T00:00:00Z
Peru,38,2020-03-14T00:00:00Z
Peru,43,2020-03-15T00:00:00Z
Peru,86,2020-03-16T00:00:00Z
Peru,117,2020-03-17T00:00:00Z
Peru,145,2020-03-18T00:00:00Z
Peru,234,2020-03-19T00:00:00Z
Peru,234,2020-03-20T00:00:00Z
Peru,318,2020-03-21T00:00:00Z
Peru,363,2020-03-22T00:00:00Z
Peru,395,2020-03-23T00:00:00Z
Peru,416,2020-03-24T00:00:00Z
Peru,480,2020-03-25T00:00:00Z
Peru,580,2020-03-26T00:00:00Z
Peru,635,2020-03-27T00:00:00Z
Peru,671,2020-03-28T00:00:00Z
Peru,852,2020-03-29T00:00:00Z
Peru,950,2020-03-30T00:00:00Z
Peru,1065,2020-03-31T00:00:00Z
Peru,1323,2020-04-01T00:00:00Z
Peru,1414,2020-04-02T00:00:00Z
Peru,1595,2020-04-03T00:00:00Z
Peru,1746,2020-04-04T00:00:00Z
Peru,2281,2020-04-05T00:00:00Z
Peru,2561,2020-04-06T00:00:00Z
Peru,2954,2020-04-07T00:00:00Z
Peru,4342,2020-04-08T00:00:00Z
Peru,5256,2020-04-09T00:00:00Z
Peru,5897,2020-04-10T00:00:00Z
Peru,6848,2020-04-11T00:00:00Z
Peru,7519,2020-04-12T00:00:00Z
Peru,9784,2020-04-13T00:00:00Z
Peru,10303,2020-04-14T00:00:00Z
Peru,11475,2020-04-15T00:00:00Z
Peru,12491,2020-04-16T00:00:00Z
Peru,13489,2020-04-17T00:00:00Z
Peru,14420,2020-04-18T00:00:00Z
Peru,15628,2020-04-19T00:00:00Z
Peru,16325,2020-04-20T00:00:00Z
Peru,17837,2020-04-21T00:00:00Z
Peru,19250,2020-04-22T00:00:00Z
Peru,20914,2020-04-23T00:00:00Z
Peru,21648,2020-04-24T00:00:00Z
Peru,25331,2020-04-25T00:00:00Z
Peru,27517,2020-04-26T00:00:00Z
Peru,28699,2020-04-27T00:00:00Z
Peru,31190,2020-04-28T00:00:00Z
Peru,33931,2020-04-29T00:00:00Z
Peru,36976,2020-04-30T00:00:00Z
Peru,40459,2020-05-01T00:00:00Z
Peru,42534,2020-05-02T00:00:00Z
Peru,45928,2020-05-03T00:00:00Z
Peru,47372,2020-05-04T00:00:00Z
Peru,51189,2020-05-05T00:00:00Z
Peru,54817,2020-05-06T00:00:00Z
Peru,58526,2020-05-07T00:00:00Z
Peru,61847,2020-05-08T00:00:00Z
Peru,65015,2020-05-09T00:00:00Z
Peru,67307,2020-05-10T00:00:00Z
Peru,68822,2020-05-11T00:00:00Z
Peru,72059,2020-05-12T00:00:00Z
Peru,76306,2020-05-13T00:00:00Z
Peru,80604,2020-05-14T00:00:00Z
Peru,84495,2020-05-15T00:00:00Z
Peru,88541,2020-05-16T00:00:00Z
