Country,Cases,Date
Philippines,1,2020-01-30T00:00:00Z
Philippines,1,2020-01-31T00:00:00Z
Philippines,1,2020-02-01T00:00:00Z
Philippines,2,2020-02-02T00:00:00Z
Philippines,2,2020-02-03T00:00:00Z
Philippines,2,2020-02-04T00:00:00Z
Philippines,2,2020-02-05T00:00:00Z
Philippines,2,2020-02-06T00:00:00Z
Philippines,3,2020-02-07T00:00:00Z
Philippines,3,2020-02-08T00:00:00Z
Philippines,3,2020-02-09T00:00:00Z
Philippines,3,2020-02-10T00:00:00Z
Philippines,3,2020-02-11T00:00:00Z
Philippines,3,2020-02-12T00:00:00Z
Philippines,3,2020-02-13T00:00:00Z
Philippines,3,2020-02-14T00:00:00Z
Philippines,3,2020-02-15T00:00:00Z
Philippines,3,2020-02-16T00:00:00Z
Philippines,3,2020-02-17T00:00:00Z
Philippines,3,2020-02-18T00:00:00Z
Philippines,3,2020-02-19T00:00:00Z
Philippines,3,2020-02-20T00:00:00Z
Philippines,3,2020-02-21T00:00:00Z
Philippines,3,2020-02-22T00:00:00Z
Philippines,3,2020-02-23T00:00:00Z
Philippines,3,2020-02-24T00:00:00Z
Philippines,3,2020-02-25T00:00:00Z
Philippines,3,2020-02-26T00:00:00Z
Philippines,3,2020-02-27T00:00:00Z
Philippines,3,2020-02-28T00:00:00Z
Philippines,3,2020-02-29T00:00:00Z
Philippines,3,2020-03-01T00:00:00Z
Philippines,3,2020-03-02T00:00:00Z
Philippines,3,2020-03-03T00:00:00Z
Philippines,3,2020-03-04T00:00:00Z
Philippines,3,2020-03-05T00:00:00Z
Philippines,5,2020-03-06T00:00:00Z
Philippines,6,2020-03-07T00:00:00Z
Philippines,10,2020-03-08T00:00:00Z
Philippines,20,2020-03-09T00:00:00Z
Philippines,33,2020-03-10T00:00:00Z
Philippines,49,2020-03-11T00:00:00Z
Philippines,52,2020-03-12T00:00:00Z
Philippines,64,2020-03-13T00:00:00Z
Philippines,111,2020-03-14T00:00:00Z
Philippines,140,2020-03-15T00:00:00Z
Philippines,142,2020-03-16T00:00:00Z
Philippines,187,2020-03-17T00:00:00Z
Philippines,202,2020-03-18T00:00:00Z
Philippines,217,2020-03-19T00:00:00Z
Philippines,230,2020-03-20T00:00:00Z
Philippines,307,2020-03-21T00:00:00Z
Philippines,380,2020-03-22T00:00:00Z
Philippines,462,2020-03-23T00:00:00Z
Philippines,552,2020-03-24T00:00:00Z
Philippines,636,2020-03-25T00:00:00Z
Philippines,707,2020-03-26T00:00:00Z
Philippines,803,2020-03-27T00:00:00Z
Philippines,1075,2020-03-28T00:00:00Z
Philippines,1418,2020-03-29T00:00:00Z
Philippines,1546,2020-03-30T00:00:00Z
Philippines,2084,2020-03-31T00:00:00Z
Philippines,2311,2020-04-01T00:00:00Z
Philippines,2633,2020-04-02T00:00:00Z
Philippines,3018,2020-04-03T00:00:00Z
Philippines,3094,2020-04-04T00:00:00Z
Philippines,3246,2020-04-05T00:00:00Z
Philippines,3660,2020-04-06T00:00:00Z
Philippines,3764,2020-04-07T00:00:00Z
Philippines,3870,2020-04-08T00:00:00Z
Philippines,4076,2020-04-09T00:00:00Z
Philippines,4195,2020-04-10T00:00:00Z
Philippines,4428,2020-04-11T00:00:00Z
Philippines,4648,2020-04-12T00:00:00Z
Philippines,4932,2020-04-13T00:00:00Z
Philippines,5223,2020-04-14T00:00:00Z
Philippines,5453,2020-04-15T00:00:00Z
Philippines,5660,2020-04-16T00:00:00Z
Philippines,5878,2020-04-17T00:00:00Z
Philippines,6087,2020-04-18T00:00:00Z
Philippines,6259,2020-04-19T00:00:00Z
Philippines,6459,2020-04-20T00:00:00Z
Philippines,6599,2020-04-21T00:00:00Z
Philippines,6710,2020-04-22T00:00:00Z
Philippines,6981,2020-04-23T00:00:00Z
Philippines,7192,2020-04-24T00:00:00Z
Philippines,7294,2020-04-25T00:00:00Z
Philippines,7579,2020-04-26T00:00:00Z
Philippines,7777,2020-04-27T00:00:00Z
Philippines,7958,2020-04-28T00:00:00Z
Philippines,8212,2020-04-29T00:00:00Z
Philippines,8488,2020-04-30T00:00:00Z
Philippines,8772,2020-05-01T00:00:00Z
Philippines,8928,2020-05-02T00:00:00Z
Philippines,9223,2020-05-03T00:00:00Z
Philippines,9485,2020-05-04T00:00:00Z
Philippines,9684,2020-05-05T00:00:00Z
Philippines,10004,2020-05-06T00:00:00Z
Philippines,10343,2020-05-07T00:00:00Z
Philippines,10463,2020-05-08T00:00:00Z
Philippines,10610,2020-05-09T00:00:00Z
Philippines,10794,2020-05-10T00:00:00Z
Philippines,11086,2020-05-11T00:00:00Z
Philippines,11350,2020-05-12T00:00:00Z
Philippines,11618,2020-05-13T00:00:00Z
Philippines,11876,2020-05-14T00:00:00Z
Philippines,12091,2020-05-15T00:00:00Z
Philippines,12305,2020-05-16T00:00:00Z
