Country,Cases,Date
Poland,1,2020-03-04T00:00:00Z
Poland,1,2020-03-05T00:00:00Z
Poland,5,2020-03-06T00:00:00Z
Poland,5,2020-03-07T00:00:00Z
Poland,11,2020-03-08T00:00:00Z
Poland,16,2020-03-09T00:00:00Z
Poland,22,2020-03-10T00:00:00Z
Poland,31,2020-03-11T00:00:00Z
Poland,49,2020-03-12T00:00:00Z
Poland,68,2020-03-13T00:00:00Z
Poland,103,2020-03-14T00:00:00Z
Poland,119,2020-03-15T00:00:00Z
Poland,177,2020-03-16T00:00:00Z
Poland,238,2020-03-17T00:00:00Z
Poland,251,2020-03-18T00:00:00Z
Poland,355,2020-03-19T00:00:00Z
Poland,425,2020-03-20T00:00:00Z
Poland,536,2020-03-21T00:00:00Z
Poland,634,2020-03-22T00:00:00Z
Poland,749,2020-03-23T00:00:00Z
Poland,901,2020-03-24T00:00:00Z
Poland,1051,2020-03-25T00:00:00Z
Poland,1221,2020-03-26T00:00:00Z
Poland,1389,2020-03-27T00:00:00Z
Poland,1638,2020-03-28T00:00:00Z
Poland,1862,2020-03-29T00:00:00Z
Poland,2055,2020-03-30T00:00:00Z
Poland,2311,2020-03-31T00:00:00Z
Poland,2554,2020-04-01T00:00:00Z
Poland,2946,2020-04-02T00:00:00Z
Poland,3383,2020-04-03T00:00:00Z
Poland,3627,2020-04-04T00:00:00Z
Poland,4102,2020-04-05T00:00:00Z
Poland,4413,2020-04-06T00:00:00Z
Poland,4848,2020-04-07T00:00:00Z
Poland,5205,2020-04-08T00:00:00Z
Poland,5575,2020-04-09T00:00:00Z
Poland,5955,2020-04-10T00:00:00Z
Poland,6356,2020-04-11T00:00:00Z
Poland,6674,2020-04-12T00:00:00Z
Poland,6934,2020-04-13T00:00:00Z
Poland,7202,2020-04-14T00:00:00Z
Poland,7582,2020-04-15T00:00:00Z
Poland,7918,2020-04-16T00:00:00Z
Poland,8379,2020-04-17T00:00:00Z
Poland,8742,2020-04-18T00:00:00Z
Poland,9287,2020-04-19T00:00:00Z
Poland,9593,2020-04-20T00:00:00Z
Poland,9856,2020-04-21T00:00:00Z
Poland,10169,2020-04-22T00:00:00Z
Poland,10511,2020-04-23T00:00:00Z
Poland,10892,2020-04-24T00:00:00Z
Poland,11273,2020-04-25T00:00:00Z
Poland,11617,2020-04-26T00:00:00Z
Poland,11902,2020-04-27T00:00:00Z
Poland,12218,2020-04-28T00:00:00Z
Poland,12640,2020-04-29T00:00:00Z
Poland,12877,2020-04-30T00:00:00Z
Poland,13105,2020-05-01T00:00:00Z
Poland,13375,2020-05-02T00:00:00Z
Poland,13693,2020-05-03T00:00:00Z
Poland,14006,2020-05-04T00:00:00Z
Poland,14431,2020-05-05T00:00:00Z
Poland,14740,2020-05-06T00:00:00Z
Poland,15047,2020-05-07T00:00:00Z
Poland,15366,2020-05-08T00:00:00Z
Poland,15651,2020-05-09T00:00:00Z
Poland,15996,2020-05-10T00:00:00Z
Poland,16326,2020-05-11T00:00:00Z
Poland,16921,2020-05-12T00:00:00Z
Poland,17204,2020-05-13T00:00:00Z
Poland,17615,2020-05-14T00:00:00Z
Poland,18016,2020-05-15T00:00:00Z
Poland,18257,2020-05-16T00:00:00Z
