Country,Cases,Date
Portugal,2,2020-03-02T00:00:00Z
Portugal,2,2020-03-03T00:00:00Z
Portugal,5,2020-03-04T00:00:00Z
Portugal,8,2020-03-05T00:00:00Z
Portugal,13,2020-03-06T00:00:00Z
Portugal,20,2020-03-07T00:00:00Z
Portugal,30,2020-03-08T00:00:00Z
Portugal,30,2020-03-09T00:00:00Z
Portugal,41,2020-03-10T00:00:00Z
Portugal,59,2020-03-11T00:00:00Z
Portugal,59,2020-03-12T00:00:00Z
Portugal,112,2020-03-13T00:00:00Z
Portugal,169,2020-03-14T00:00:00Z
Portugal,245,2020-03-15T00:00:00Z
Portugal,331,2020-03-16T00:00:00Z
Portugal,448,2020-03-17T00:00:00Z
Portugal,448,2020-03-18T00:00:00Z
Portugal,785,2020-03-19T00:00:00Z
Portugal,1020,2020-03-20T00:00:00Z
Portugal,1280,2020-03-21T00:00:00Z
Portugal,1600,2020-03-22T00:00:00Z
Portugal,2060,2020-03-23T00:00:00Z
Portugal,2362,2020-03-24T00:00:00Z
Portugal,2995,2020-03-25T00:00:00Z
Portugal,3544,2020-03-26T00:00:00Z
Portugal,4268,2020-03-27T00:00:00Z
Portugal,5170,2020-03-28T00:00:00Z
Portugal,5962,2020-03-29T00:00:00Z
Portugal,6408,2020-03-30T00:00:00Z
Portugal,7443,2020-03-31T00:00:00Z
Portugal,8251,2020-04-01T00:00:00Z
Portugal,9034,2020-04-02T00:00:00Z
Portugal,9886,2020-04-03T00:00:00Z
Portugal,10524,2020-04-04T00:00:00Z
Portugal,11278,2020-04-05T00:00:00Z
Portugal,11730,2020-04-06T00:00:00Z
Portugal,12442,2020-04-07T00:00:00Z
Portugal,13141,2020-04-08T00:00:00Z
Portugal,13956,2020-04-09T00:00:00Z
Portugal,15472,2020-04-10T00:00:00Z
Portugal,15987,2020-04-11T00:00:00Z
Portugal,16585,2020-04-12T00:00:00Z
Portugal,16934,2020-04-13T00:00:00Z
Portugal,17448,2020-04-14T00:00:00Z
Portugal,18091,2020-04-15T00:00:00Z
Portugal,18841,2020-04-16T00:00:00Z
Portugal,19022,2020-04-17T00:00:00Z
Portugal,19685,2020-04-18T00:00:00Z
Portugal,20206,2020-04-19T00:00:00Z
Portugal,20863,2020-04-20T00:00:00Z
Portugal,21379,2020-04-21T00:00:00Z
Portugal,21982,2020-04-22T00:00:00Z
Portugal,22353,2020-04-23T00:00:00Z
Portugal,22797,2020-04-24T00:00:00Z
Portugal,23392,2020-04-25T00:00:00Z
Portugal,23864,2020-04-26T00:00:00Z
Portugal,24027,2020-04-27T00:00:00Z
Portugal,24322,2020-04-28T00:00:00Z
Portugal,24505,2020-04-29T00:00:00Z
Portugal,25045,2020-04-30T00:00:00Z
Portugal,25351,2020-05-01T00:00:00Z
Portugal,25190,2020-05-02T00:00:00Z
Portugal,25282,2020-05-03T00:00:00Z
Portugal,25524,2020-05-04T00:00:00Z
Portugal,25702,2020-05-05T00:00:00Z
Portugal,26182,2020-05-06T00:00:00Z
Portugal,26715,2020-05-07T00:00:00Z
Portugal,27268,2020-05-08T00:00:00Z
Portugal,27406,2020-05-09T00:00:00Z
Portugal,27581,2020-05-10T00:00:00Z
Portugal,27679,2020-05-11T00:00:00Z
Portugal,27913,2020-05-12T00:00:00Z
Portugal,28132,2020-05-13T00:00:00Z
Portugal,28319,2020-05-14T00:00:00Z
Portugal,28583,2020-05-15T00:00:00Z
Portugal,28810,2020-05-16T00:00:00Z
