Country,Cases,Date
Qatar,1,2020-02-29T00:00:00Z
Qatar,3,2020-03-01T00:00:00Z
Qatar,3,2020-03-02T00:00:00Z
Qatar,7,2020-03-03T00:00:00Z
Qatar,8,2020-03-04T00:00:00Z
Qatar,8,2020-03-05T00:00:00Z
Qatar,8,2020-03-06T00:00:00Z
Qatar,8,2020-03-07T00:00:00Z
Qatar,15,2020-03-08T00:00:00Z
Qatar,18,2020-03-09T00:00:00Z
Qatar,24,2020-03-10T00:00:00Z
Qatar,262,2020-03-11T00:00:00Z
Qatar,262,2020-03-12T00:00:00Z
Qatar,320,2020-03-13T00:00:00Z
Qatar,337,2020-03-14T00:00:00Z
Qatar,401,2020-03-15T00:00:00Z
Qatar,439,2020-03-16T00:00:00Z
Qatar,439,2020-03-17T00:00:00Z
Qatar,452,2020-03-18T00:00:00Z
Qatar,460,2020-03-19T00:00:00Z
Qatar,470,2020-03-20T00:00:00Z
Qatar,481,2020-03-21T00:00:00Z
Qatar,494,2020-03-22T00:00:00Z
Qatar,501,2020-03-23T00:00:00Z
Qatar,526,2020-03-24T00:00:00Z
Qatar,537,2020-03-25T00:00:00Z
Qatar,549,2020-03-26T00:00:00Z
Qatar,562,2020-03-27T00:00:00Z
Qatar,590,2020-03-28T00:00:00Z
Qatar,634,2020-03-29T00:00:00Z
Qatar,693,2020-03-30T00:00:00Z
Qatar,781,2020-03-31T00:00:00Z
Qatar,835,2020-04-01T00:00:00Z
Qatar,949,2020-04-02T00:00:00Z
Qatar,1075,2020-04-03T00:00:00Z
Qatar,1325,2020-04-04T00:00:00Z
Qatar,1604,2020-04-05T00:00:00Z
Qatar,1832,2020-04-06T00:00:00Z
Qatar,2057,2020-04-07T00:00:00Z
Qatar,2210,2020-04-08T00:00:00Z
Qatar,2376,2020-04-09T00:00:00Z
Qatar,2512,2020-04-10T00:00:00Z
Qatar,2728,2020-04-11T00:00:00Z
Qatar,2979,2020-04-12T00:00:00Z
Qatar,3231,2020-04-13T00:00:00Z
Qatar,3428,2020-04-14T00:00:00Z
Qatar,3711,2020-04-15T00:00:00Z
Qatar,4103,2020-04-16T00:00:00Z
Qatar,4663,2020-04-17T00:00:00Z
Qatar,5008,2020-04-18T00:00:00Z
Qatar,5448,2020-04-19T00:00:00Z
Qatar,6015,2020-04-20T00:00:00Z
Qatar,6533,2020-04-21T00:00:00Z
Qatar,7141,2020-04-22T00:00:00Z
Qatar,7764,2020-04-23T00:00:00Z
Qatar,8525,2020-04-24T00:00:00Z
Qatar,9358,2020-04-25T00:00:00Z
Qatar,10287,2020-04-26T00:00:00Z
Qatar,11244,2020-04-27T00:00:00Z
Qatar,11921,2020-04-28T00:00:00Z
Qatar,12564,2020-04-29T00:00:00Z
Qatar,13409,2020-04-30T00:00:00Z
Qatar,14096,2020-05-01T00:00:00Z
Qatar,14872,2020-05-02T00:00:00Z
Qatar,15551,2020-05-03T00:00:00Z
Qatar,16191,2020-05-04T00:00:00Z
Qatar,17142,2020-05-05T00:00:00Z
Qatar,17972,2020-05-06T00:00:00Z
Qatar,18890,2020-05-07T00:00:00Z
Qatar,20201,2020-05-08T00:00:00Z
Qatar,21331,2020-05-09T00:00:00Z
Qatar,22520,2020-05-10T00:00:00Z
Qatar,23623,2020-05-11T00:00:00Z
Qatar,25149,2020-05-12T00:00:00Z
Qatar,26539,2020-05-13T00:00:00Z
Qatar,28272,2020-05-14T00:00:00Z
Qatar,29425,2020-05-15T00:00:00Z
Qatar,30972,2020-05-16T00:00:00Z
