Country,Cases,Date
Romania,1,2020-02-26T00:00:00Z
Romania,1,2020-02-27T00:00:00Z
Romania,3,2020-02-28T00:00:00Z
Romania,3,2020-02-29T00:00:00Z
Romania,3,2020-03-01T00:00:00Z
Romania,3,2020-03-02T00:00:00Z
Romania,3,2020-03-03T00:00:00Z
Romania,4,2020-03-04T00:00:00Z
Romania,6,2020-03-05T00:00:00Z
Romania,9,2020-03-06T00:00:00Z
Romania,9,2020-03-07T00:00:00Z
Romania,15,2020-03-08T00:00:00Z
Romania,15,2020-03-09T00:00:00Z
Romania,25,2020-03-10T00:00:00Z
Romania,45,2020-03-11T00:00:00Z
Romania,49,2020-03-12T00:00:00Z
Romania,89,2020-03-13T00:00:00Z
Romania,123,2020-03-14T00:00:00Z
Romania,131,2020-03-15T00:00:00Z
Romania,158,2020-03-16T00:00:00Z
Romania,184,2020-03-17T00:00:00Z
Romania,260,2020-03-18T00:00:00Z
Romania,277,2020-03-19T00:00:00Z
Romania,308,2020-03-20T00:00:00Z
Romania,367,2020-03-21T00:00:00Z
Romania,433,2020-03-22T00:00:00Z
Romania,576,2020-03-23T00:00:00Z
Romania,794,2020-03-24T00:00:00Z
Romania,906,2020-03-25T00:00:00Z
Romania,1029,2020-03-26T00:00:00Z
Romania,1292,2020-03-27T00:00:00Z
Romania,1452,2020-03-28T00:00:00Z
Romania,1815,2020-03-29T00:00:00Z
Romania,2109,2020-03-30T00:00:00Z
Romania,2245,2020-03-31T00:00:00Z
Romania,2460,2020-04-01T00:00:00Z
Romania,2738,2020-04-02T00:00:00Z
Romania,3183,2020-04-03T00:00:00Z
Romania,3613,2020-04-04T00:00:00Z
Romania,3864,2020-04-05T00:00:00Z
Romania,4057,2020-04-06T00:00:00Z
Romania,4417,2020-04-07T00:00:00Z
Romania,4761,2020-04-08T00:00:00Z
Romania,5202,2020-04-09T00:00:00Z
Romania,5467,2020-04-10T00:00:00Z
Romania,5990,2020-04-11T00:00:00Z
Romania,6300,2020-04-12T00:00:00Z
Romania,6633,2020-04-13T00:00:00Z
Romania,6879,2020-04-14T00:00:00Z
Romania,7216,2020-04-15T00:00:00Z
Romania,7707,2020-04-16T00:00:00Z
Romania,8067,2020-04-17T00:00:00Z
Romania,8418,2020-04-18T00:00:00Z
Romania,8746,2020-04-19T00:00:00Z
Romania,8936,2020-04-20T00:00:00Z
Romania,9242,2020-04-21T00:00:00Z
Romania,9710,2020-04-22T00:00:00Z
Romania,10096,2020-04-23T00:00:00Z
Romania,10417,2020-04-24T00:00:00Z
Romania,10635,2020-04-25T00:00:00Z
Romania,11036,2020-04-26T00:00:00Z
Romania,11339,2020-04-27T00:00:00Z
Romania,11616,2020-04-28T00:00:00Z
Romania,11978,2020-04-29T00:00:00Z
Romania,12240,2020-04-30T00:00:00Z
Romania,12567,2020-05-01T00:00:00Z
Romania,12732,2020-05-02T00:00:00Z
Romania,13163,2020-05-03T00:00:00Z
Romania,13512,2020-05-04T00:00:00Z
Romania,13837,2020-05-05T00:00:00Z
Romania,14107,2020-05-06T00:00:00Z
Romania,14499,2020-05-07T00:00:00Z
Romania,14811,2020-05-08T00:00:00Z
Romania,15131,2020-05-09T00:00:00Z
Romania,15362,2020-05-10T00:00:00Z
Romania,15588,2020-05-11T00:00:00Z
Romania,15778,2020-05-12T00:00:00Z
Romania,16002,2020-05-13T00:00:00Z
Romania,16247,2020-05-14T00:00:00Z
Romania,16437,2020-05-15T00:00:00Z
Romania,16704,2020-05-16T00:00:00Z
