Country,Cases,Date
Russian Federation,2,2020-01-31T00:00:00Z
Russian Federation,2,2020-02-01T00:00:00Z
Russian Federation,2,2020-02-02T00:00:00Z
Russian Federation,2,2020-02-03T00:00:00Z
Russian Federation,2,2020-02-04T00:00:00Z
Russian Federation,2,2020-02-05T00:00:00Z
Russian Federation,2,2020-02-06T00:00:00Z
Russian Federation,2,2020-02-07T00:00:00Z
Russian Federation,2,2020-02-08T00:00:00Z
Russian Federation,2,2020-02-09T00:00:00Z
Russian Federation,2,2020-02-10T00:00:00Z
Russian Federation,2,2020-02-11T00:00:00Z
Russian Federation,2,2020-02-12T00:00:00Z
Russian Federation,2,2020-02-13T00:00:00Z
Russian Federation,2,2020-02-14T00:00:00Z
Russian Federation,2,2020-02-15T00:00:00Z
Russian Federation,2,2020-02-16T00:00:00Z
Russian Federation,2,2020-02-17T00:00:00Z
Russian Federation,2,2020-02-18T00:00:00Z
Russian Federation,2,2020-02-19T00:00:00Z
Russian Federation,2,2020-02-20T00:00:00Z
Russian Federation,2,2020-02-21T00:00:00Z
Russian Federation,2,2020-02-22T00:00:00Z
Russian Federation,2,2020-02-23T00:00:00Z
Russian Federation,2,2020-02-24T00:00:00Z
Russian Federation,2,2020-02-25T00:00:00Z
Russian Federation,2,2020-02-26T00:00:00Z
Russian Federation,2,2020-02-27T00:00:00Z
Russian Federation,2,2020-02-28T00:00:00Z
Russian Federation,2,2020-02-29T00:00:00Z
Russian Federation,2,2020-03-01T00:00:00Z
Russian Federation,3,2020-03-02T00:00:00Z
Russian Federation,3,2020-03-03T00:00:00Z
Russian Federation,3,2020-03-04T00:00:00Z
Russian Federation,4,2020-03-05T00:00:00Z
Russian Federation,13,2020-03-06T00:00:00Z
Russian Federation,13,2020-03-07T00:00:00Z
Russian Federation,17,2020-03-08T00:00:00Z
Russian Federation,17,2020-03-09T00:00:00Z
Russian Federation,20,2020-03-10T00:00:00Z
Russian Federation,20,2020-03-11T00:00:00Z
Russian Federation,28,2020-03-12T00:00:00Z
Russian Federation,45,2020-03-13T00:00:00Z
Russian Federation,59,2020-03-14T00:00:00Z
Russian Federation,63,2020-03-15T00:00:00Z
Russian Federation,90,2020-03-16T00:00:00Z
Russian Federation,114,2020-03-17T00:00:00Z
Russian Federation,147,2020-03-18T00:00:00Z
Russian Federation,199,2020-03-19T00:00:00Z
Russian Federation,253,2020-03-20T00:00:00Z
Russian Federation,306,2020-03-21T00:00:00Z
Russian Federation,367,2020-03-22T00:00:00Z
Russian Federation,438,2020-03-23T00:00:00Z
Russian Federation,495,2020-03-24T00:00:00Z
Russian Federation,658,2020-03-25T00:00:00Z
Russian Federation,840,2020-03-26T00:00:00Z
Russian Federation,1036,2020-03-27T00:00:00Z
Russian Federation,1264,2020-03-28T00:00:00Z
Russian Federation,1534,2020-03-29T00:00:00Z
Russian Federation,1836,2020-03-30T00:00:00Z
Russian Federation,2337,2020-03-31T00:00:00Z
Russian Federation,2777,2020-04-01T00:00:00Z
Russian Federation,3548,2020-04-02T00:00:00Z
Russian Federation,4149,2020-04-03T00:00:00Z
Russian Federation,4731,2020-04-04T00:00:00Z
Russian Federation,5389,2020-04-05T00:00:00Z
Russian Federation,6343,2020-04-06T00:00:00Z
Russian Federation,7497,2020-04-07T00:00:00Z
Russian Federation,8672,2020-04-08T00:00:00Z
Russian Federation,10131,2020-04-09T00:00:00Z
Russian Federation,11917,2020-04-10T00:00:00Z
Russian Federation,13584,2020-04-11T00:00:00Z
Russian Federation,15770,2020-04-12T00:00:00Z
Russian Federation,18328,2020-04-13T00:00:00Z
Russian Federation,21102,2020-04-14T00:00:00Z
Russian Federation,24490,2020-04-15T00:00:00Z
Russian Federation,27938,2020-04-16T00:00:00Z
Russian Federation,32008,2020-04-17T00:00:00Z
Russian Federation,36793,2020-04-18T00:00:00Z
Russian Federation,42853,2020-04-19T00:00:00Z
Russian Federation,47121,2020-04-20T00:00:00Z
Russian Federation,52763,2020-04-21T00:00:00Z
Russian Federation,57999,2020-04-22T00:00:00Z
Russian Federation,62773,2020-04-23T00:00:00Z
Russian Federation,68622,2020-04-24T00:00:00Z
Russian Federation,74588,2020-04-25T00:00:00Z
Russian Federation,80949,2020-04-26T00:00:00Z
Russian Federation,87147,2020-04-27T00:00:00Z
Russian Federation,93558,2020-04-28T00:00:00Z
Russian Federation,99399,2020-04-29T00:00:00Z
Russian Federation,106498,2020-04-30T00:00:00Z
Russian Federation,114431,2020-05-01T00:00:00Z
Russian Federation,124054,2020-05-02T00:00:00Z
Russian Federation,134687,2020-05-03T00:00:00Z
Russian Federation,145268,2020-05-04T00:00:00Z
Russian Federation,155370,2020-05-05T00:00:00Z
Russian Federation,165929,2020-05-06T00:00:00Z
Russian Federation,177160,2020-05-07T00:00:00Z
Russian Federation,187859,2020-05-08T00:00:00Z
Russian Federation,198676,2020-05-09T00:00:00Z
Russian Federation,209688,2020-05-10T00:00:00Z
Russian Federation,221344,2020-05-11T00:00:00Z
Russian Federation,232243,2020-05-12T00:00:00Z
Russian Federation,242271,2020-05-13T00:00:00Z
Russian Federation,252245,2020-05-14T00:00:00Z
Russian Federation,262843,2020-05-15T00:00:00Z
Russian Federation,272043,2020-05-16T00:00:00Z
