Country,Cases,Date
San Marino,1,2020-02-27T00:00:00Z
San Marino,1,2020-02-28T00:00:00Z
San Marino,1,2020-02-29T00:00:00Z
San Marino,1,2020-03-01T00:00:00Z
San Marino,8,2020-03-02T00:00:00Z
San Marino,10,2020-03-03T00:00:00Z
San Marino,16,2020-03-04T00:00:00Z
San Marino,21,2020-03-05T00:00:00Z
San Marino,21,2020-03-06T00:00:00Z
San Marino,23,2020-03-07T00:00:00Z
San Marino,36,2020-03-08T00:00:00Z
San Marino,36,2020-03-09T00:00:00Z
San Marino,51,2020-03-10T00:00:00Z
San Marino,62,2020-03-11T00:00:00Z
San Marino,69,2020-03-12T00:00:00Z
San Marino,80,2020-03-13T00:00:00Z
San Marino,80,2020-03-14T00:00:00Z
San Marino,101,2020-03-15T00:00:00Z
San Marino,109,2020-03-16T00:00:00Z
San Marino,109,2020-03-17T00:00:00Z
San Marino,119,2020-03-18T00:00:00Z
San Marino,119,2020-03-19T00:00:00Z
San Marino,144,2020-03-20T00:00:00Z
San Marino,144,2020-03-21T00:00:00Z
San Marino,175,2020-03-22T00:00:00Z
San Marino,187,2020-03-23T00:00:00Z
San Marino,187,2020-03-24T00:00:00Z
San Marino,208,2020-03-25T00:00:00Z
San Marino,208,2020-03-26T00:00:00Z
San Marino,223,2020-03-27T00:00:00Z
San Marino,224,2020-03-28T00:00:00Z
San Marino,224,2020-03-29T00:00:00Z
San Marino,230,2020-03-30T00:00:00Z
San Marino,236,2020-03-31T00:00:00Z
San Marino,236,2020-04-01T00:00:00Z
San Marino,245,2020-04-02T00:00:00Z
San Marino,245,2020-04-03T00:00:00Z
San Marino,259,2020-04-04T00:00:00Z
San Marino,266,2020-04-05T00:00:00Z
San Marino,266,2020-04-06T00:00:00Z
San Marino,279,2020-04-07T00:00:00Z
San Marino,279,2020-04-08T00:00:00Z
San Marino,333,2020-04-09T00:00:00Z
San Marino,344,2020-04-10T00:00:00Z
San Marino,356,2020-04-11T00:00:00Z
San Marino,356,2020-04-12T00:00:00Z
San Marino,356,2020-04-13T00:00:00Z
San Marino,371,2020-04-14T00:00:00Z
San Marino,372,2020-04-15T00:00:00Z
San Marino,426,2020-04-16T00:00:00Z
San Marino,435,2020-04-17T00:00:00Z
San Marino,455,2020-04-18T00:00:00Z
San Marino,461,2020-04-19T00:00:00Z
San Marino,462,2020-04-20T00:00:00Z
San Marino,476,2020-04-21T00:00:00Z
San Marino,488,2020-04-22T00:00:00Z
San Marino,501,2020-04-23T00:00:00Z
San Marino,513,2020-04-24T00:00:00Z
San Marino,513,2020-04-25T00:00:00Z
San Marino,538,2020-04-26T00:00:00Z
San Marino,538,2020-04-27T00:00:00Z
San Marino,553,2020-04-28T00:00:00Z
San Marino,563,2020-04-29T00:00:00Z
San Marino,569,2020-04-30T00:00:00Z
San Marino,580,2020-05-01T00:00:00Z
San Marino,580,2020-05-02T00:00:00Z
San Marino,582,2020-05-03T00:00:00Z
San Marino,582,2020-05-04T00:00:00Z
San Marino,589,2020-05-05T00:00:00Z
San Marino,608,2020-05-06T00:00:00Z
San Marino,622,2020-05-07T00:00:00Z
San Marino,623,2020-05-08T00:00:00Z
San Marino,637,2020-05-09T00:00:00Z
San Marino,628,2020-05-10T00:00:00Z
San Marino,628,2020-05-11T00:00:00Z
San Marino,638,2020-05-12T00:00:00Z
San Marino,643,2020-05-13T00:00:00Z
San Marino,648,2020-05-14T00:00:00Z
San Marino,652,2020-05-15T00:00:00Z
San Marino,653,2020-05-16T00:00:00Z
