Country,Cases,Date
Saudi Arabia,1,2020-03-02T00:00:00Z
Saudi Arabia,1,2020-03-03T00:00:00Z
Saudi Arabia,1,2020-03-04T00:00:00Z
Saudi Arabia,5,2020-03-05T00:00:00Z
Saudi Arabia,5,2020-03-06T00:00:00Z
Saudi Arabia,5,2020-03-07T00:00:00Z
Saudi Arabia,11,2020-03-08T00:00:00Z
Saudi Arabia,15,2020-03-09T00:00:00Z
Saudi Arabia,20,2020-03-10T00:00:00Z
Saudi Arabia,21,2020-03-11T00:00:00Z
Saudi Arabia,45,2020-03-12T00:00:00Z
Saudi Arabia,86,2020-03-13T00:00:00Z
Saudi Arabia,103,2020-03-14T00:00:00Z
Saudi Arabia,103,2020-03-15T00:00:00Z
Saudi Arabia,118,2020-03-16T00:00:00Z
Saudi Arabia,171,2020-03-17T00:00:00Z
Saudi Arabia,171,2020-03-18T00:00:00Z
Saudi Arabia,274,2020-03-19T00:00:00Z
Saudi Arabia,344,2020-03-20T00:00:00Z
Saudi Arabia,392,2020-03-21T00:00:00Z
Saudi Arabia,511,2020-03-22T00:00:00Z
Saudi Arabia,562,2020-03-23T00:00:00Z
Saudi Arabia,767,2020-03-24T00:00:00Z
Saudi Arabia,900,2020-03-25T00:00:00Z
Saudi Arabia,1012,2020-03-26T00:00:00Z
Saudi Arabia,1104,2020-03-27T00:00:00Z
Saudi Arabia,1203,2020-03-28T00:00:00Z
Saudi Arabia,1299,2020-03-29T00:00:00Z
Saudi Arabia,1453,2020-03-30T00:00:00Z
Saudi Arabia,1563,2020-03-31T00:00:00Z
Saudi Arabia,1720,2020-04-01T00:00:00Z
Saudi Arabia,1885,2020-04-02T00:00:00Z
Saudi Arabia,2039,2020-04-03T00:00:00Z
Saudi Arabia,2179,2020-04-04T00:00:00Z
Saudi Arabia,2402,2020-04-05T00:00:00Z
Saudi Arabia,2605,2020-04-06T00:00:00Z
Saudi Arabia,2795,2020-04-07T00:00:00Z
Saudi Arabia,2932,2020-04-08T00:00:00Z
Saudi Arabia,3287,2020-04-09T00:00:00Z
Saudi Arabia,3651,2020-04-10T00:00:00Z
Saudi Arabia,4033,2020-04-11T00:00:00Z
Saudi Arabia,4462,2020-04-12T00:00:00Z
Saudi Arabia,4934,2020-04-13T00:00:00Z
Saudi Arabia,5369,2020-04-14T00:00:00Z
Saudi Arabia,5862,2020-04-15T00:00:00Z
Saudi Arabia,6380,2020-04-16T00:00:00Z
Saudi Arabia,7142,2020-04-17T00:00:00Z
Saudi Arabia,8274,2020-04-18T00:00:00Z
Saudi Arabia,9362,2020-04-19T00:00:00Z
Saudi Arabia,10484,2020-04-20T00:00:00Z
Saudi Arabia,11631,2020-04-21T00:00:00Z
Saudi Arabia,12772,2020-04-22T00:00:00Z
Saudi Arabia,13930,2020-04-23T00:00:00Z
Saudi Arabia,15102,2020-04-24T00:00:00Z
Saudi Arabia,16299,2020-04-25T00:00:00Z
Saudi Arabia,17522,2020-04-26T00:00:00Z
Saudi Arabia,18811,2020-04-27T00:00:00Z
Saudi Arabia,20077,2020-04-28T00:00:00Z
Saudi Arabia,21402,2020-04-29T00:00:00Z
Saudi Arabia,22753,2020-04-30T00:00:00Z
Saudi Arabia,24097,2020-05-01T00:00:00Z
Saudi Arabia,25459,2020-05-02T00:00:00Z
Saudi Arabia,27011,2020-05-03T00:00:00Z
Saudi Arabia,28656,2020-05-04T00:00:00Z
Saudi Arabia,30251,2020-05-05T00:00:00Z
Saudi Arabia,31938,2020-05-06T00:00:00Z
Saudi Arabia,33731,2020-05-07T00:00:00Z
Saudi Arabia,35432,2020-05-08T00:00:00Z
Saudi Arabia,37136,2020-05-09T00:00:00Z
Saudi Arabia,39048,2020-05-10T00:00:00Z
Saudi Arabia,41014,2020-05-11T00:00:00Z
Saudi Arabia,42925,2020-05-12T00:00:00Z
Saudi Arabia,44830,2020-05-13T00:00:00Z
Saudi Arabia,46869,2020-05-14T00:00:00Z
Saudi Arabia,49176,2020-05-15T00:00:00Z
Saudi Arabia,52016,2020-05-16T00:00:00Z
