Country,Cases,Date
Serbia,1,2020-03-06T00:00:00Z
Serbia,1,2020-03-07T00:00:00Z
Serbia,1,2020-03-08T00:00:00Z
Serbia,1,2020-03-09T00:00:00Z
Serbia,5,2020-03-10T00:00:00Z
Serbia,12,2020-03-11T00:00:00Z
Serbia,19,2020-03-12T00:00:00Z
Serbia,35,2020-03-13T00:00:00Z
Serbia,46,2020-03-14T00:00:00Z
Serbia,48,2020-03-15T00:00:00Z
Serbia,55,2020-03-16T00:00:00Z
Serbia,65,2020-03-17T00:00:00Z
Serbia,83,2020-03-18T00:00:00Z
Serbia,103,2020-03-19T00:00:00Z
Serbia,135,2020-03-20T00:00:00Z
Serbia,171,2020-03-21T00:00:00Z
Serbia,222,2020-03-22T00:00:00Z
Serbia,249,2020-03-23T00:00:00Z
Serbia,303,2020-03-24T00:00:00Z
Serbia,384,2020-03-25T00:00:00Z
Serbia,384,2020-03-26T00:00:00Z
Serbia,457,2020-03-27T00:00:00Z
Serbia,659,2020-03-28T00:00:00Z
Serbia,741,2020-03-29T00:00:00Z
Serbia,785,2020-03-30T00:00:00Z
Serbia,900,2020-03-31T00:00:00Z
Serbia,1060,2020-04-01T00:00:00Z
Serbia,1171,2020-04-02T00:00:00Z
Serbia,1476,2020-04-03T00:00:00Z
Serbia,1624,2020-04-04T00:00:00Z
Serbia,1908,2020-04-05T00:00:00Z
Serbia,2200,2020-04-06T00:00:00Z
Serbia,2447,2020-04-07T00:00:00Z
Serbia,2666,2020-04-08T00:00:00Z
Serbia,2867,2020-04-09T00:00:00Z
Serbia,3105,2020-04-10T00:00:00Z
Serbia,3380,2020-04-11T00:00:00Z
Serbia,3630,2020-04-12T00:00:00Z
Serbia,4054,2020-04-13T00:00:00Z
Serbia,4465,2020-04-14T00:00:00Z
Serbia,4873,2020-04-15T00:00:00Z
Serbia,5318,2020-04-16T00:00:00Z
Serbia,5690,2020-04-17T00:00:00Z
Serbia,5994,2020-04-18T00:00:00Z
Serbia,6318,2020-04-19T00:00:00Z
Serbia,6630,2020-04-20T00:00:00Z
Serbia,6890,2020-04-21T00:00:00Z
Serbia,7144,2020-04-22T00:00:00Z
Serbia,7276,2020-04-23T00:00:00Z
Serbia,7483,2020-04-24T00:00:00Z
Serbia,7779,2020-04-25T00:00:00Z
Serbia,8042,2020-04-26T00:00:00Z
Serbia,8275,2020-04-27T00:00:00Z
Serbia,8497,2020-04-28T00:00:00Z
Serbia,8724,2020-04-29T00:00:00Z
Serbia,9009,2020-04-30T00:00:00Z
Serbia,9009,2020-05-01T00:00:00Z
Serbia,9362,2020-05-02T00:00:00Z
Serbia,9464,2020-05-03T00:00:00Z
Serbia,9557,2020-05-04T00:00:00Z
Serbia,9677,2020-05-05T00:00:00Z
Serbia,9791,2020-05-06T00:00:00Z
Serbia,9848,2020-05-07T00:00:00Z
Serbia,9943,2020-05-08T00:00:00Z
Serbia,10032,2020-05-09T00:00:00Z
Serbia,10032,2020-05-10T00:00:00Z
Serbia,10176,2020-05-11T00:00:00Z
Serbia,10243,2020-05-12T00:00:00Z
Serbia,10295,2020-05-13T00:00:00Z
Serbia,10374,2020-05-14T00:00:00Z
Serbia,10438,2020-05-15T00:00:00Z
Serbia,10496,2020-05-16T00:00:00Z
