Country,Cases,Date
Slovakia,1,2020-03-06T00:00:00Z
Slovakia,1,2020-03-07T00:00:00Z
Slovakia,3,2020-03-08T00:00:00Z
Slovakia,3,2020-03-09T00:00:00Z
Slovakia,7,2020-03-10T00:00:00Z
Slovakia,10,2020-03-11T00:00:00Z
Slovakia,16,2020-03-12T00:00:00Z
Slovakia,32,2020-03-13T00:00:00Z
Slovakia,44,2020-03-14T00:00:00Z
Slovakia,54,2020-03-15T00:00:00Z
Slovakia,63,2020-03-16T00:00:00Z
Slovakia,72,2020-03-17T00:00:00Z
Slovakia,105,2020-03-18T00:00:00Z
Slovakia,123,2020-03-19T00:00:00Z
Slovakia,137,2020-03-20T00:00:00Z
Slovakia,178,2020-03-21T00:00:00Z
Slovakia,185,2020-03-22T00:00:00Z
Slovakia,186,2020-03-23T00:00:00Z
Slovakia,204,2020-03-24T00:00:00Z
Slovakia,216,2020-03-25T00:00:00Z
Slovakia,226,2020-03-26T00:00:00Z
Slovakia,269,2020-03-27T00:00:00Z
Slovakia,292,2020-03-28T00:00:00Z
Slovakia,314,2020-03-29T00:00:00Z
Slovakia,336,2020-03-30T00:00:00Z
Slovakia,363,2020-03-31T00:00:00Z
Slovakia,400,2020-04-01T00:00:00Z
Slovakia,426,2020-04-02T00:00:00Z
Slovakia,450,2020-04-03T00:00:00Z
Slovakia,471,2020-04-04T00:00:00Z
Slovakia,485,2020-04-05T00:00:00Z
Slovakia,534,2020-04-06T00:00:00Z
Slovakia,581,2020-04-07T00:00:00Z
Slovakia,682,2020-04-08T00:00:00Z
Slovakia,701,2020-04-09T00:00:00Z
Slovakia,715,2020-04-10T00:00:00Z
Slovakia,728,2020-04-11T00:00:00Z
Slovakia,742,2020-04-12T00:00:00Z
Slovakia,769,2020-04-13T00:00:00Z
Slovakia,835,2020-04-14T00:00:00Z
Slovakia,863,2020-04-15T00:00:00Z
Slovakia,977,2020-04-16T00:00:00Z
Slovakia,1049,2020-04-17T00:00:00Z
Slovakia,1089,2020-04-18T00:00:00Z
Slovakia,1161,2020-04-19T00:00:00Z
Slovakia,1173,2020-04-20T00:00:00Z
Slovakia,1199,2020-04-21T00:00:00Z
Slovakia,1244,2020-04-22T00:00:00Z
Slovakia,1325,2020-04-23T00:00:00Z
Slovakia,1360,2020-04-24T00:00:00Z
Slovakia,1373,2020-04-25T00:00:00Z
Slovakia,1379,2020-04-26T00:00:00Z
Slovakia,1381,2020-04-27T00:00:00Z
Slovakia,1384,2020-04-28T00:00:00Z
Slovakia,1391,2020-04-29T00:00:00Z
Slovakia,1396,2020-04-30T00:00:00Z
Slovakia,1403,2020-05-01T00:00:00Z
Slovakia,1407,2020-05-02T00:00:00Z
Slovakia,1408,2020-05-03T00:00:00Z
Slovakia,1413,2020-05-04T00:00:00Z
Slovakia,1421,2020-05-05T00:00:00Z
Slovakia,1429,2020-05-06T00:00:00Z
Slovakia,1445,2020-05-07T00:00:00Z
Slovakia,1455,2020-05-08T00:00:00Z
Slovakia,1455,2020-05-09T00:00:00Z
Slovakia,1457,2020-05-10T00:00:00Z
Slovakia,1457,2020-05-11T00:00:00Z
Slovakia,1465,2020-05-12T00:00:00Z
Slovakia,1469,2020-05-13T00:00:00Z
Slovakia,1477,2020-05-14T00:00:00Z
Slovakia,1480,2020-05-15T00:00:00Z
Slovakia,1493,2020-05-16T00:00:00Z
