Country,Cases,Date
Slovenia,2,2020-03-05T00:00:00Z
Slovenia,7,2020-03-06T00:00:00Z
Slovenia,7,2020-03-07T00:00:00Z
Slovenia,16,2020-03-08T00:00:00Z
Slovenia,16,2020-03-09T00:00:00Z
Slovenia,31,2020-03-10T00:00:00Z
Slovenia,57,2020-03-11T00:00:00Z
Slovenia,89,2020-03-12T00:00:00Z
Slovenia,141,2020-03-13T00:00:00Z
Slovenia,181,2020-03-14T00:00:00Z
Slovenia,219,2020-03-15T00:00:00Z
Slovenia,253,2020-03-16T00:00:00Z
Slovenia,275,2020-03-17T00:00:00Z
Slovenia,275,2020-03-18T00:00:00Z
Slovenia,286,2020-03-19T00:00:00Z
Slovenia,341,2020-03-20T00:00:00Z
Slovenia,383,2020-03-21T00:00:00Z
Slovenia,414,2020-03-22T00:00:00Z
Slovenia,442,2020-03-23T00:00:00Z
Slovenia,480,2020-03-24T00:00:00Z
Slovenia,528,2020-03-25T00:00:00Z
Slovenia,562,2020-03-26T00:00:00Z
Slovenia,632,2020-03-27T00:00:00Z
Slovenia,684,2020-03-28T00:00:00Z
Slovenia,730,2020-03-29T00:00:00Z
Slovenia,756,2020-03-30T00:00:00Z
Slovenia,802,2020-03-31T00:00:00Z
Slovenia,841,2020-04-01T00:00:00Z
Slovenia,897,2020-04-02T00:00:00Z
Slovenia,934,2020-04-03T00:00:00Z
Slovenia,977,2020-04-04T00:00:00Z
Slovenia,997,2020-04-05T00:00:00Z
Slovenia,1021,2020-04-06T00:00:00Z
Slovenia,1059,2020-04-07T00:00:00Z
Slovenia,1091,2020-04-08T00:00:00Z
Slovenia,1124,2020-04-09T00:00:00Z
Slovenia,1160,2020-04-10T00:00:00Z
Slovenia,1188,2020-04-11T00:00:00Z
Slovenia,1205,2020-04-12T00:00:00Z
Slovenia,1212,2020-04-13T00:00:00Z
Slovenia,1220,2020-04-14T00:00:00Z
Slovenia,1248,2020-04-15T00:00:00Z
Slovenia,1268,2020-04-16T00:00:00Z
Slovenia,1304,2020-04-17T00:00:00Z
Slovenia,1317,2020-04-18T00:00:00Z
Slovenia,1330,2020-04-19T00:00:00Z
Slovenia,1335,2020-04-20T00:00:00Z
Slovenia,1344,2020-04-21T00:00:00Z
Slovenia,1353,2020-04-22T00:00:00Z
Slovenia,1366,2020-04-23T00:00:00Z
Slovenia,1373,2020-04-24T00:00:00Z
Slovenia,1388,2020-04-25T00:00:00Z
Slovenia,1396,2020-04-26T00:00:00Z
Slovenia,1402,2020-04-27T00:00:00Z
Slovenia,1408,2020-04-28T00:00:00Z
Slovenia,1418,2020-04-29T00:00:00Z
Slovenia,1429,2020-04-30T00:00:00Z
Slovenia,1434,2020-05-01T00:00:00Z
Slovenia,1439,2020-05-02T00:00:00Z
Slovenia,1439,2020-05-03T00:00:00Z
Slovenia,1439,2020-05-04T00:00:00Z
Slovenia,1445,2020-05-05T00:00:00Z
Slovenia,1448,2020-05-06T00:00:00Z
Slovenia,1449,2020-05-07T00:00:00Z
Slovenia,1450,2020-05-08T00:00:00Z
Slovenia,1454,2020-05-09T00:00:00Z
Slovenia,1457,2020-05-10T00:00:00Z
Slovenia,1460,2020-05-11T00:00:00Z
Slovenia,1461,2020-05-12T00:00:00Z
Slovenia,1463,2020-05-13T00:00:00Z
Slovenia,1464,2020-05-14T00:00:00Z
Slovenia,1465,2020-05-15T00:00:00Z
Slovenia,1465,2020-05-16T00:00:00Z
