Country,Cases,Date
Somalia,1,2020-03-16T00:00:00Z
Somalia,1,2020-03-17T00:00:00Z
Somalia,1,2020-03-18T00:00:00Z
Somalia,1,2020-03-19T00:00:00Z
Somalia,1,2020-03-20T00:00:00Z
Somalia,1,2020-03-21T00:00:00Z
Somalia,1,2020-03-22T00:00:00Z
Somalia,1,2020-03-23T00:00:00Z
Somalia,1,2020-03-24T00:00:00Z
Somalia,1,2020-03-25T00:00:00Z
Somalia,2,2020-03-26T00:00:00Z
Somalia,3,2020-03-27T00:00:00Z
Somalia,3,2020-03-28T00:00:00Z
Somalia,3,2020-03-29T00:00:00Z
Somalia,3,2020-03-30T00:00:00Z
Somalia,5,2020-03-31T00:00:00Z
Somalia,5,2020-04-01T00:00:00Z
Somalia,5,2020-04-02T00:00:00Z
Somalia,7,2020-04-03T00:00:00Z
Somalia,7,2020-04-04T00:00:00Z
Somalia,7,2020-04-05T00:00:00Z
Somalia,7,2020-04-06T00:00:00Z
Somalia,8,2020-04-07T00:00:00Z
Somalia,12,2020-04-08T00:00:00Z
Somalia,12,2020-04-09T00:00:00Z
Somalia,21,2020-04-10T00:00:00Z
Somalia,21,2020-04-11T00:00:00Z
Somalia,25,2020-04-12T00:00:00Z
Somalia,60,2020-04-13T00:00:00Z
Somalia,60,2020-04-14T00:00:00Z
Somalia,80,2020-04-15T00:00:00Z
Somalia,80,2020-04-16T00:00:00Z
Somalia,116,2020-04-17T00:00:00Z
Somalia,135,2020-04-18T00:00:00Z
Somalia,164,2020-04-19T00:00:00Z
Somalia,237,2020-04-20T00:00:00Z
Somalia,286,2020-04-21T00:00:00Z
Somalia,286,2020-04-22T00:00:00Z
Somalia,328,2020-04-23T00:00:00Z
Somalia,328,2020-04-24T00:00:00Z
Somalia,390,2020-04-25T00:00:00Z
Somalia,436,2020-04-26T00:00:00Z
Somalia,480,2020-04-27T00:00:00Z
Somalia,528,2020-04-28T00:00:00Z
Somalia,582,2020-04-29T00:00:00Z
Somalia,601,2020-04-30T00:00:00Z
Somalia,601,2020-05-01T00:00:00Z
Somalia,671,2020-05-02T00:00:00Z
Somalia,722,2020-05-03T00:00:00Z
Somalia,756,2020-05-04T00:00:00Z
Somalia,835,2020-05-05T00:00:00Z
Somalia,873,2020-05-06T00:00:00Z
Somalia,928,2020-05-07T00:00:00Z
Somalia,928,2020-05-08T00:00:00Z
Somalia,997,2020-05-09T00:00:00Z
Somalia,1054,2020-05-10T00:00:00Z
Somalia,1089,2020-05-11T00:00:00Z
Somalia,1170,2020-05-12T00:00:00Z
Somalia,1219,2020-05-13T00:00:00Z
Somalia,1284,2020-05-14T00:00:00Z
Somalia,1284,2020-05-15T00:00:00Z
Somalia,1357,2020-05-16T00:00:00Z
