Country,Cases,Date
South Africa,1,2020-03-05T00:00:00Z
South Africa,1,2020-03-06T00:00:00Z
South Africa,1,2020-03-07T00:00:00Z
South Africa,3,2020-03-08T00:00:00Z
South Africa,3,2020-03-09T00:00:00Z
South Africa,7,2020-03-10T00:00:00Z
South Africa,13,2020-03-11T00:00:00Z
South Africa,17,2020-03-12T00:00:00Z
South Africa,24,2020-03-13T00:00:00Z
South Africa,38,2020-03-14T00:00:00Z
South Africa,51,2020-03-15T00:00:00Z
South Africa,62,2020-03-16T00:00:00Z
South Africa,62,2020-03-17T00:00:00Z
South Africa,116,2020-03-18T00:00:00Z
South Africa,150,2020-03-19T00:00:00Z
South Africa,202,2020-03-20T00:00:00Z
South Africa,240,2020-03-21T00:00:00Z
South Africa,274,2020-03-22T00:00:00Z
South Africa,402,2020-03-23T00:00:00Z
South Africa,554,2020-03-24T00:00:00Z
South Africa,709,2020-03-25T00:00:00Z
South Africa,927,2020-03-26T00:00:00Z
South Africa,1170,2020-03-27T00:00:00Z
South Africa,1187,2020-03-28T00:00:00Z
South Africa,1280,2020-03-29T00:00:00Z
South Africa,1326,2020-03-30T00:00:00Z
South Africa,1353,2020-03-31T00:00:00Z
South Africa,1380,2020-04-01T00:00:00Z
South Africa,1462,2020-04-02T00:00:00Z
South Africa,1505,2020-04-03T00:00:00Z
South Africa,1585,2020-04-04T00:00:00Z
South Africa,1655,2020-04-05T00:00:00Z
South Africa,1686,2020-04-06T00:00:00Z
South Africa,1749,2020-04-07T00:00:00Z
South Africa,1845,2020-04-08T00:00:00Z
South Africa,1934,2020-04-09T00:00:00Z
South Africa,2003,2020-04-10T00:00:00Z
South Africa,2028,2020-04-11T00:00:00Z
South Africa,2173,2020-04-12T00:00:00Z
South Africa,2272,2020-04-13T00:00:00Z
South Africa,2415,2020-04-14T00:00:00Z
South Africa,2506,2020-04-15T00:00:00Z
South Africa,2605,2020-04-16T00:00:00Z
South Africa,2783,2020-04-17T00:00:00Z
South Africa,3034,2020-04-18T00:00:00Z
South Africa,3158,2020-04-19T00:00:00Z
South Africa,3300,2020-04-20T00:00:00Z
South Africa,3465,2020-04-21T00:00:00Z
South Africa,3635,2020-04-22T00:00:00Z
South Africa,3953,2020-04-23T00:00:00Z
South Africa,4220,2020-04-24T00:00:00Z
South Africa,4361,2020-04-25T00:00:00Z
South Africa,4546,2020-04-26T00:00:00Z
South Africa,4793,2020-04-27T00:00:00Z
South Africa,4996,2020-04-28T00:00:00Z
South Africa,5350,2020-04-29T00:00:00Z
South Africa,5647,2020-04-30T00:00:00Z
South Africa,5951,2020-05-01T00:00:00Z
South Africa,6336,2020-05-02T00:00:00Z
South Africa,6783,2020-05-03T00:00:00Z
South Africa,7220,2020-05-04T00:00:00Z
South Africa,7572,2020-05-05T00:00:00Z
South Africa,7808,2020-05-06T00:00:00Z
South Africa,8232,2020-05-07T00:00:00Z
South Africa,8895,2020-05-08T00:00:00Z
South Africa,9420,2020-05-09T00:00:00Z
South Africa,10015,2020-05-10T00:00:00Z
South Africa,10652,2020-05-11T00:00:00Z
South Africa,11350,2020-05-12T00:00:00Z
South Africa,12074,2020-05-13T00:00:00Z
South Africa,12739,2020-05-14T00:00:00Z
South Africa,13524,2020-05-15T00:00:00Z
South Africa,14355,2020-05-16T00:00:00Z
