Country,Cases,Date
Sri Lanka,1,2020-01-27T00:00:00Z
Sri Lanka,1,2020-01-28T00:00:00Z
Sri Lanka,1,2020-01-29T00:00:00Z
Sri Lanka,1,2020-01-30T00:00:00Z
Sri Lanka,1,2020-01-31T00:00:00Z
Sri Lanka,1,2020-02-01T00:00:00Z
Sri Lanka,1,2020-02-02T00:00:00Z
Sri Lanka,1,2020-02-03T00:00:00Z
Sri Lanka,1,2020-02-04T00:00:00Z
Sri Lanka,1,2020-02-05T00:00:00Z
Sri Lanka,1,2020-02-06T00:00:00Z
Sri Lanka,1,2020-02-07T00:00:00Z
Sri Lanka,1,2020-02-08T00:00:00Z
Sri Lanka,1,2020-02-09T00:00:00Z
Sri Lanka,1,2020-02-10T00:00:00Z
Sri Lanka,1,2020-02-11T00:00:00Z
Sri Lanka,1,2020-02-12T00:00:00Z
Sri Lanka,1,2020-02-13T00:00:00Z
Sri Lanka,1,2020-02-14T00:00:00Z
Sri Lanka,1,2020-02-15T00:00:00Z
Sri Lanka,1,2020-02-16T00:00:00Z
Sri Lanka,1,2020-02-17T00:00:00Z
Sri Lanka,1,2020-02-18T00:00:00Z
Sri Lanka,1,2020-02-19T00:00:00Z
Sri Lanka,1,2020-02-20T00:00:00Z
Sri Lanka,1,2020-02-21T00:00:00Z
Sri Lanka,1,2020-02-22T00:00:00Z
Sri Lanka,1,2020-02-23T00:00:00Z
Sri Lanka,1,2020-02-24T00:00:00Z
Sri Lanka,1,2020-02-25T00:00:00Z
Sri Lanka,1,2020-02-26T00:00:00Z
Sri Lanka,1,2020-02-27T00:00:00Z
Sri Lanka,1,2020-02-28T00:00:00Z
Sri Lanka,1,2020-02-29T00:00:00Z
Sri Lanka,1,2020-03-01T00:00:00Z
Sri Lanka,1,2020-03-02T00:00:00Z
Sri Lanka,1,2020-03-03T00:00:00Z
Sri Lanka,1,2020-03-04T00:00:00Z
Sri Lanka,1,2020-03-05T00:00:00Z
Sri Lanka,1,2020-03-06T00:00:00Z
Sri Lanka,1,2020-03-07T00:00:00Z
Sri Lanka,1,2020-03-08T00:00:00Z
Sri Lanka,1,2020-03-09T00:00:00Z
Sri Lanka,1,2020-03-10T00:00:00Z
Sri Lanka,2,2020-03-11T00:00:00Z
Sri Lanka,2,2020-03-12T00:00:00Z
Sri Lanka,6,2020-03-13T00:00:00Z
Sri Lanka,10,2020-03-14T00:00:00Z
Sri Lanka,18,2020-03-15T00:00:00Z
Sri Lanka,28,2020-03-16T00:00:00Z
Sri Lanka,44,2020-03-17T00:00:00Z
Sri Lanka,51,2020-03-18T00:00:00Z
Sri Lanka,60,2020-03-19T00:00:00Z
Sri Lanka,73,2020-03-20T00:00:00Z
Sri Lanka,77,2020-03-21T00:00:00Z
Sri Lanka,82,2020-03-22T00:00:00Z
Sri Lanka,97,2020-03-23T00:00:00Z
Sri Lanka,102,2020-03-24T00:00:00Z
Sri Lanka,102,2020-03-25T00:00:00Z
Sri Lanka,106,2020-03-26T00:00:00Z
Sri Lanka,106,2020-03-27T00:00:00Z
Sri Lanka,113,2020-03-28T00:00:00Z
Sri Lanka,117,2020-03-29T00:00:00Z
Sri Lanka,122,2020-03-30T00:00:00Z
Sri Lanka,143,2020-03-31T00:00:00Z
Sri Lanka,146,2020-04-01T00:00:00Z
Sri Lanka,151,2020-04-02T00:00:00Z
Sri Lanka,159,2020-04-03T00:00:00Z
Sri Lanka,166,2020-04-04T00:00:00Z
Sri Lanka,176,2020-04-05T00:00:00Z
Sri Lanka,178,2020-04-06T00:00:00Z
Sri Lanka,185,2020-04-07T00:00:00Z
Sri Lanka,189,2020-04-08T00:00:00Z
Sri Lanka,190,2020-04-09T00:00:00Z
Sri Lanka,190,2020-04-10T00:00:00Z
Sri Lanka,198,2020-04-11T00:00:00Z
Sri Lanka,210,2020-04-12T00:00:00Z
Sri Lanka,217,2020-04-13T00:00:00Z
Sri Lanka,233,2020-04-14T00:00:00Z
Sri Lanka,238,2020-04-15T00:00:00Z
Sri Lanka,238,2020-04-16T00:00:00Z
Sri Lanka,244,2020-04-17T00:00:00Z
Sri Lanka,254,2020-04-18T00:00:00Z
Sri Lanka,271,2020-04-19T00:00:00Z
Sri Lanka,304,2020-04-20T00:00:00Z
Sri Lanka,310,2020-04-21T00:00:00Z
Sri Lanka,330,2020-04-22T00:00:00Z
Sri Lanka,368,2020-04-23T00:00:00Z
Sri Lanka,420,2020-04-24T00:00:00Z
Sri Lanka,460,2020-04-25T00:00:00Z
Sri Lanka,523,2020-04-26T00:00:00Z
Sri Lanka,588,2020-04-27T00:00:00Z
Sri Lanka,619,2020-04-28T00:00:00Z
Sri Lanka,649,2020-04-29T00:00:00Z
Sri Lanka,663,2020-04-30T00:00:00Z
Sri Lanka,690,2020-05-01T00:00:00Z
Sri Lanka,705,2020-05-02T00:00:00Z
Sri Lanka,718,2020-05-03T00:00:00Z
Sri Lanka,751,2020-05-04T00:00:00Z
Sri Lanka,771,2020-05-05T00:00:00Z
Sri Lanka,797,2020-05-06T00:00:00Z
Sri Lanka,824,2020-05-07T00:00:00Z
Sri Lanka,835,2020-05-08T00:00:00Z
Sri Lanka,847,2020-05-09T00:00:00Z
Sri Lanka,863,2020-05-10T00:00:00Z
Sri Lanka,869,2020-05-11T00:00:00Z
Sri Lanka,889,2020-05-12T00:00:00Z
Sri Lanka,915,2020-05-13T00:00:00Z
Sri Lanka,925,2020-05-14T00:00:00Z
Sri Lanka,935,2020-05-15T00:00:00Z
Sri Lanka,960,2020-05-16T00:00:00Z
