Country,Cases,Date
Swaziland,1,2020-03-14T00:00:00Z
Swaziland,1,2020-03-15T00:00:00Z
Swaziland,1,2020-03-16T00:00:00Z
Swaziland,1,2020-03-17T00:00:00Z
Swaziland,1,2020-03-18T00:00:00Z
Swaziland,1,2020-03-19T00:00:00Z
Swaziland,1,2020-03-20T00:00:00Z
Swaziland,1,2020-03-21T00:00:00Z
Swaziland,4,2020-03-22T00:00:00Z
Swaziland,4,2020-03-23T00:00:00Z
Swaziland,4,2020-03-24T00:00:00Z
Swaziland,4,2020-03-25T00:00:00Z
Swaziland,6,2020-03-26T00:00:00Z
Swaziland,9,2020-03-27T00:00:00Z
Swaziland,9,2020-03-28T00:00:00Z
Swaziland,9,2020-03-29T00:00:00Z
Swaziland,9,2020-03-30T00:00:00Z
Swaziland,9,2020-03-31T00:00:00Z
Swaziland,9,2020-04-01T00:00:00Z
Swaziland,9,2020-04-02T00:00:00Z
Swaziland,9,2020-04-03T00:00:00Z
Swaziland,9,2020-04-04T00:00:00Z
Swaziland,9,2020-04-05T00:00:00Z
Swaziland,10,2020-04-06T00:00:00Z
Swaziland,10,2020-04-07T00:00:00Z
Swaziland,12,2020-04-08T00:00:00Z
Swaziland,12,2020-04-09T00:00:00Z
Swaziland,12,2020-04-10T00:00:00Z
Swaziland,12,2020-04-11T00:00:00Z
Swaziland,14,2020-04-12T00:00:00Z
Swaziland,15,2020-04-13T00:00:00Z
Swaziland,15,2020-04-14T00:00:00Z
Swaziland,15,2020-04-15T00:00:00Z
Swaziland,16,2020-04-16T00:00:00Z
Swaziland,16,2020-04-17T00:00:00Z
Swaziland,22,2020-04-18T00:00:00Z
Swaziland,22,2020-04-19T00:00:00Z
Swaziland,24,2020-04-20T00:00:00Z
Swaziland,31,2020-04-21T00:00:00Z
Swaziland,31,2020-04-22T00:00:00Z
Swaziland,31,2020-04-23T00:00:00Z
Swaziland,36,2020-04-24T00:00:00Z
Swaziland,56,2020-04-25T00:00:00Z
Swaziland,59,2020-04-26T00:00:00Z
Swaziland,65,2020-04-27T00:00:00Z
Swaziland,71,2020-04-28T00:00:00Z
Swaziland,91,2020-04-29T00:00:00Z
Swaziland,100,2020-04-30T00:00:00Z
Swaziland,106,2020-05-01T00:00:00Z
Swaziland,108,2020-05-02T00:00:00Z
Swaziland,112,2020-05-03T00:00:00Z
Swaziland,116,2020-05-04T00:00:00Z
Swaziland,119,2020-05-05T00:00:00Z
Swaziland,123,2020-05-06T00:00:00Z
Swaziland,153,2020-05-07T00:00:00Z
Swaziland,159,2020-05-08T00:00:00Z
Swaziland,163,2020-05-09T00:00:00Z
Swaziland,172,2020-05-10T00:00:00Z
Swaziland,175,2020-05-11T00:00:00Z
Swaziland,184,2020-05-12T00:00:00Z
Swaziland,187,2020-05-13T00:00:00Z
Swaziland,187,2020-05-14T00:00:00Z
Swaziland,190,2020-05-15T00:00:00Z
Swaziland,202,2020-05-16T00:00:00Z
