Country,Cases,Date
Sweden,1,2020-01-31T00:00:00Z
Sweden,1,2020-02-01T00:00:00Z
Sweden,1,2020-02-02T00:00:00Z
Sweden,1,2020-02-03T00:00:00Z
Sweden,1,2020-02-04T00:00:00Z
Sweden,1,2020-02-05T00:00:00Z
Sweden,1,2020-02-06T00:00:00Z
Sweden,1,2020-02-07T00:00:00Z
Sweden,1,2020-02-08T00:00:00Z
Sweden,1,2020-02-09T00:00:00Z
Sweden,1,2020-02-10T00:00:00Z
Sweden,1,2020-02-11T00:00:00Z
Sweden,1,2020-02-12T00:00:00Z
Sweden,1,2020-02-13T00:00:00Z
Sweden,1,2020-02-14T00:00:00Z
Sweden,1,2020-02-15T00:00:00Z
Sweden,1,2020-02-16T00:00:00Z
Sweden,1,2020-02-17T00:00:00Z
Sweden,1,2020-02-18T00:00:00Z
Sweden,1,2020-02-19T00:00:00Z
Sweden,1,2020-02-20T00:00:00Z
Sweden,1,2020-02-21T00:00:00Z
Sweden,1,2020-02-22T00:00:00Z
Sweden,1,2020-02-23T00:00:00Z
Sweden,1,2020-02-24T00:00:00Z
Sweden,1,2020-02-25T00:00:00Z
Sweden,2,2020-02-26T00:00:00Z
Sweden,7,2020-02-27T00:00:00Z
Sweden,7,2020-02-28T00:00:00Z
Sweden,12,2020-02-29T00:00:00Z
Sweden,14,2020-03-01T00:00:00Z
Sweden,15,2020-03-02T00:00:00Z
Sweden,21,2020-03-03T00:00:00Z
Sweden,35,2020-03-04T00:00:00Z
Sweden,94,2020-03-05T00:00:00Z
Sweden,101,2020-03-06T00:00:00Z
Sweden,161,2020-03-07T00:00:00Z
Sweden,203,2020-03-08T00:00:00Z
Sweden,248,2020-03-09T00:00:00Z
Sweden,355,2020-03-10T00:00:00Z
Sweden,500,2020-03-11T00:00:00Z
Sweden,599,2020-03-12T00:00:00Z
Sweden,814,2020-03-13T00:00:00Z
Sweden,961,2020-03-14T00:00:00Z
Sweden,1022,2020-03-15T00:00:00Z
Sweden,1103,2020-03-16T00:00:00Z
Sweden,1190,2020-03-17T00:00:00Z
Sweden,1279,2020-03-18T00:00:00Z
Sweden,1439,2020-03-19T00:00:00Z
Sweden,1639,2020-03-20T00:00:00Z
Sweden,1763,2020-03-21T00:00:00Z
Sweden,1934,2020-03-22T00:00:00Z
Sweden,2046,2020-03-23T00:00:00Z
Sweden,2286,2020-03-24T00:00:00Z
Sweden,2526,2020-03-25T00:00:00Z
Sweden,2840,2020-03-26T00:00:00Z
Sweden,3069,2020-03-27T00:00:00Z
Sweden,3447,2020-03-28T00:00:00Z
Sweden,3700,2020-03-29T00:00:00Z
Sweden,4028,2020-03-30T00:00:00Z
Sweden,4435,2020-03-31T00:00:00Z
Sweden,4947,2020-04-01T00:00:00Z
Sweden,5568,2020-04-02T00:00:00Z
Sweden,6131,2020-04-03T00:00:00Z
Sweden,6443,2020-04-04T00:00:00Z
Sweden,6830,2020-04-05T00:00:00Z
Sweden,7206,2020-04-06T00:00:00Z
Sweden,7693,2020-04-07T00:00:00Z
Sweden,8419,2020-04-08T00:00:00Z
Sweden,9141,2020-04-09T00:00:00Z
Sweden,9685,2020-04-10T00:00:00Z
Sweden,10151,2020-04-11T00:00:00Z
Sweden,10483,2020-04-12T00:00:00Z
Sweden,10948,2020-04-13T00:00:00Z
Sweden,11445,2020-04-14T00:00:00Z
Sweden,11927,2020-04-15T00:00:00Z
Sweden,12540,2020-04-16T00:00:00Z
Sweden,13216,2020-04-17T00:00:00Z
Sweden,13822,2020-04-18T00:00:00Z
Sweden,14385,2020-04-19T00:00:00Z
Sweden,14777,2020-04-20T00:00:00Z
Sweden,15322,2020-04-21T00:00:00Z
Sweden,16004,2020-04-22T00:00:00Z
Sweden,16755,2020-04-23T00:00:00Z
Sweden,17567,2020-04-24T00:00:00Z
Sweden,18177,2020-04-25T00:00:00Z
Sweden,18640,2020-04-26T00:00:00Z
Sweden,18926,2020-04-27T00:00:00Z
Sweden,19621,2020-04-28T00:00:00Z
Sweden,20302,2020-04-29T00:00:00Z
Sweden,21092,2020-04-30T00:00:00Z
Sweden,21520,2020-05-01T00:00:00Z
Sweden,22082,2020-05-02T00:00:00Z
Sweden,22317,2020-05-03T00:00:00Z
Sweden,22721,2020-05-04T00:00:00Z
Sweden,23216,2020-05-05T00:00:00Z
Sweden,23918,2020-05-06T00:00:00Z
Sweden,24623,2020-05-07T00:00:00Z
Sweden,25265,2020-05-08T00:00:00Z
Sweden,25921,2020-05-09T00:00:00Z
Sweden,26322,2020-05-10T00:00:00Z
Sweden,26670,2020-05-11T00:00:00Z
Sweden,27272,2020-05-12T00:00:00Z
Sweden,27909,2020-05-13T00:00:00Z
Sweden,28582,2020-05-14T00:00:00Z
Sweden,29207,2020-05-15T00:00:00Z
Sweden,29677,2020-05-16T00:00:00Z
