Country,Cases,Date
Switzerland,1,2020-02-25T00:00:00Z
Switzerland,1,2020-02-26T00:00:00Z
Switzerland,8,2020-02-27T00:00:00Z
Switzerland,8,2020-02-28T00:00:00Z
Switzerland,18,2020-02-29T00:00:00Z
Switzerland,27,2020-03-01T00:00:00Z
Switzerland,42,2020-03-02T00:00:00Z
Switzerland,56,2020-03-03T00:00:00Z
Switzerland,90,2020-03-04T00:00:00Z
Switzerland,114,2020-03-05T00:00:00Z
Switzerland,214,2020-03-06T00:00:00Z
Switzerland,268,2020-03-07T00:00:00Z
Switzerland,337,2020-03-08T00:00:00Z
Switzerland,374,2020-03-09T00:00:00Z
Switzerland,491,2020-03-10T00:00:00Z
Switzerland,652,2020-03-11T00:00:00Z
Switzerland,652,2020-03-12T00:00:00Z
Switzerland,1139,2020-03-13T00:00:00Z
Switzerland,1359,2020-03-14T00:00:00Z
Switzerland,2200,2020-03-15T00:00:00Z
Switzerland,2200,2020-03-16T00:00:00Z
Switzerland,2700,2020-03-17T00:00:00Z
Switzerland,3028,2020-03-18T00:00:00Z
Switzerland,4075,2020-03-19T00:00:00Z
Switzerland,5294,2020-03-20T00:00:00Z
Switzerland,6575,2020-03-21T00:00:00Z
Switzerland,7474,2020-03-22T00:00:00Z
Switzerland,8795,2020-03-23T00:00:00Z
Switzerland,9877,2020-03-24T00:00:00Z
Switzerland,10897,2020-03-25T00:00:00Z
Switzerland,11811,2020-03-26T00:00:00Z
Switzerland,12928,2020-03-27T00:00:00Z
Switzerland,14076,2020-03-28T00:00:00Z
Switzerland,14829,2020-03-29T00:00:00Z
Switzerland,15922,2020-03-30T00:00:00Z
Switzerland,16605,2020-03-31T00:00:00Z
Switzerland,17768,2020-04-01T00:00:00Z
Switzerland,18827,2020-04-02T00:00:00Z
Switzerland,19606,2020-04-03T00:00:00Z
Switzerland,20505,2020-04-04T00:00:00Z
Switzerland,21100,2020-04-05T00:00:00Z
Switzerland,21657,2020-04-06T00:00:00Z
Switzerland,22253,2020-04-07T00:00:00Z
Switzerland,23280,2020-04-08T00:00:00Z
Switzerland,24051,2020-04-09T00:00:00Z
Switzerland,24551,2020-04-10T00:00:00Z
Switzerland,25107,2020-04-11T00:00:00Z
Switzerland,25415,2020-04-12T00:00:00Z
Switzerland,25688,2020-04-13T00:00:00Z
Switzerland,25936,2020-04-14T00:00:00Z
Switzerland,26336,2020-04-15T00:00:00Z
Switzerland,26732,2020-04-16T00:00:00Z
Switzerland,27078,2020-04-17T00:00:00Z
Switzerland,27404,2020-04-18T00:00:00Z
Switzerland,27740,2020-04-19T00:00:00Z
Switzerland,27944,2020-04-20T00:00:00Z
Switzerland,28063,2020-04-21T00:00:00Z
Switzerland,28268,2020-04-22T00:00:00Z
Switzerland,28496,2020-04-23T00:00:00Z
Switzerland,28677,2020-04-24T00:00:00Z
Switzerland,28894,2020-04-25T00:00:00Z
Switzerland,29061,2020-04-26T00:00:00Z
Switzerland,29164,2020-04-27T00:00:00Z
Switzerland,29264,2020-04-28T00:00:00Z
Switzerland,29407,2020-04-29T00:00:00Z
Switzerland,29586,2020-04-30T00:00:00Z
Switzerland,29705,2020-05-01T00:00:00Z
Switzerland,29817,2020-05-02T00:00:00Z
Switzerland,29905,2020-05-03T00:00:00Z
Switzerland,29981,2020-05-04T00:00:00Z
Switzerland,30009,2020-05-05T00:00:00Z
Switzerland,30060,2020-05-06T00:00:00Z
Switzerland,30126,2020-05-07T00:00:00Z
Switzerland,30207,2020-05-08T00:00:00Z
Switzerland,30251,2020-05-09T00:00:00Z
Switzerland,30305,2020-05-10T00:00:00Z
Switzerland,30344,2020-05-11T00:00:00Z
Switzerland,30380,2020-05-12T00:00:00Z
Switzerland,30413,2020-05-13T00:00:00Z
Switzerland,30463,2020-05-14T00:00:00Z
Switzerland,30514,2020-05-15T00:00:00Z
Switzerland,30572,2020-05-16T00:00:00Z
