Country,Cases,Date
Tajikistan,15,2020-04-30T00:00:00Z
Tajikistan,15,2020-05-01T00:00:00Z
Tajikistan,76,2020-05-02T00:00:00Z
Tajikistan,128,2020-05-03T00:00:00Z
Tajikistan,230,2020-05-04T00:00:00Z
Tajikistan,293,2020-05-05T00:00:00Z
Tajikistan,379,2020-05-06T00:00:00Z
Tajikistan,461,2020-05-07T00:00:00Z
Tajikistan,522,2020-05-08T00:00:00Z
Tajikistan,612,2020-05-09T00:00:00Z
Tajikistan,612,2020-05-10T00:00:00Z
Tajikistan,661,2020-05-11T00:00:00Z
Tajikistan,729,2020-05-12T00:00:00Z
Tajikistan,801,2020-05-13T00:00:00Z
Tajikistan,907,2020-05-14T00:00:00Z
Tajikistan,1118,2020-05-15T00:00:00Z
Tajikistan,1322,2020-05-16T00:00:00Z
