Country,Cases,Date
Thailand,2,2020-01-22T00:00:00Z
Thailand,3,2020-01-23T00:00:00Z
Thailand,5,2020-01-24T00:00:00Z
Thailand,7,2020-01-25T00:00:00Z
Thailand,8,2020-01-26T00:00:00Z
Thailand,8,2020-01-27T00:00:00Z
Thailand,14,2020-01-28T00:00:00Z
Thailand,14,2020-01-29T00:00:00Z
Thailand,14,2020-01-30T00:00:00Z
Thailand,19,2020-01-31T00:00:00Z
Thailand,19,2020-02-01T00:00:00Z
Thailand,19,2020-02-02T00:00:00Z
Thailand,19,2020-02-03T00:00:00Z
Thailand,25,2020-02-04T00:00:00Z
Thailand,25,2020-02-05T00:00:00Z
Thailand,25,2020-02-06T00:00:00Z
Thailand,25,2020-02-07T00:00:00Z
Thailand,32,2020-02-08T00:00:00Z
Thailand,32,2020-02-09T00:00:00Z
Thailand,32,2020-02-10T00:00:00Z
Thailand,33,2020-02-11T00:00:00Z
Thailand,33,2020-02-12T00:00:00Z
Thailand,33,2020-02-13T00:00:00Z
Thailand,33,2020-02-14T00:00:00Z
Thailand,33,2020-02-15T00:00:00Z
Thailand,34,2020-02-16T00:00:00Z
Thailand,35,2020-02-17T00:00:00Z
Thailand,35,2020-02-18T00:00:00Z
Thailand,35,2020-02-19T00:00:00Z
Thailand,35,2020-02-20T00:00:00Z
Thailand,35,2020-02-21T00:00:00Z
Thailand,35,2020-02-22T00:00:00Z
Thailand,35,2020-02-23T00:00:00Z
Thailand,35,2020-02-24T00:00:00Z
Thailand,37,2020-02-25T00:00:00Z
Thailand,40,2020-02-26T00:00:00Z
Thailand,40,2020-02-27T00:00:00Z
Thailand,41,2020-02-28T00:00:00Z
Thailand,42,2020-02-29T00:00:00Z
Thailand,42,2020-03-01T00:00:00Z
Thailand,43,2020-03-02T00:00:00Z
Thailand,43,2020-03-03T00:00:00Z
Thailand,43,2020-03-04T00:00:00Z
Thailand,47,2020-03-05T00:00:00Z
Thailand,48,2020-03-06T00:00:00Z
Thailand,50,2020-03-07T00:00:00Z
Thailand,50,2020-03-08T00:00:00Z
Thailand,50,2020-03-09T00:00:00Z
Thailand,53,2020-03-10T00:00:00Z
Thailand,59,2020-03-11T00:00:00Z
Thailand,70,2020-03-12T00:00:00Z
Thailand,75,2020-03-13T00:00:00Z
Thailand,82,2020-03-14T00:00:00Z
Thailand,114,2020-03-15T00:00:00Z
Thailand,147,2020-03-16T00:00:00Z
Thailand,177,2020-03-17T00:00:00Z
Thailand,212,2020-03-18T00:00:00Z
Thailand,272,2020-03-19T00:00:00Z
Thailand,322,2020-03-20T00:00:00Z
Thailand,411,2020-03-21T00:00:00Z
Thailand,599,2020-03-22T00:00:00Z
Thailand,721,2020-03-23T00:00:00Z
Thailand,827,2020-03-24T00:00:00Z
Thailand,934,2020-03-25T00:00:00Z
Thailand,1045,2020-03-26T00:00:00Z
Thailand,1136,2020-03-27T00:00:00Z
Thailand,1245,2020-03-28T00:00:00Z
Thailand,1388,2020-03-29T00:00:00Z
Thailand,1524,2020-03-30T00:00:00Z
Thailand,1651,2020-03-31T00:00:00Z
Thailand,1771,2020-04-01T00:00:00Z
Thailand,1875,2020-04-02T00:00:00Z
Thailand,1978,2020-04-03T00:00:00Z
Thailand,2067,2020-04-04T00:00:00Z
Thailand,2169,2020-04-05T00:00:00Z
Thailand,2220,2020-04-06T00:00:00Z
Thailand,2258,2020-04-07T00:00:00Z
Thailand,2369,2020-04-08T00:00:00Z
Thailand,2423,2020-04-09T00:00:00Z
Thailand,2473,2020-04-10T00:00:00Z
Thailand,2518,2020-04-11T00:00:00Z
Thailand,2551,2020-04-12T00:00:00Z
Thailand,2579,2020-04-13T00:00:00Z
Thailand,2613,2020-04-14T00:00:00Z
Thailand,2643,2020-04-15T00:00:00Z
Thailand,2672,2020-04-16T00:00:00Z
Thailand,2700,2020-04-17T00:00:00Z
Thailand,2733,2020-04-18T00:00:00Z
Thailand,2765,2020-04-19T00:00:00Z
Thailand,2792,2020-04-20T00:00:00Z
Thailand,2811,2020-04-21T00:00:00Z
Thailand,2826,2020-04-22T00:00:00Z
Thailand,2839,2020-04-23T00:00:00Z
Thailand,2907,2020-04-24T00:00:00Z
Thailand,2907,2020-04-25T00:00:00Z
Thailand,2922,2020-04-26T00:00:00Z
Thailand,2931,2020-04-27T00:00:00Z
Thailand,2938,2020-04-28T00:00:00Z
Thailand,2947,2020-04-29T00:00:00Z
Thailand,2954,2020-04-30T00:00:00Z
Thailand,2960,2020-05-01T00:00:00Z
Thailand,2966,2020-05-02T00:00:00Z
Thailand,2969,2020-05-03T00:00:00Z
Thailand,2987,2020-05-04T00:00:00Z
Thailand,2988,2020-05-05T00:00:00Z
Thailand,2989,2020-05-06T00:00:00Z
Thailand,2992,2020-05-07T00:00:00Z
Thailand,3000,2020-05-08T00:00:00Z
Thailand,3004,2020-05-09T00:00:00Z
Thailand,3009,2020-05-10T00:00:00Z
Thailand,3015,2020-05-11T00:00:00Z
Thailand,3017,2020-05-12T00:00:00Z
Thailand,3017,2020-05-13T00:00:00Z
Thailand,3018,2020-05-14T00:00:00Z
Thailand,3025,2020-05-15T00:00:00Z
Thailand,3025,2020-05-16T00:00:00Z
