Country,Cases,Date
Togo,1,2020-03-06T00:00:00Z
Togo,1,2020-03-07T00:00:00Z
Togo,1,2020-03-08T00:00:00Z
Togo,1,2020-03-09T00:00:00Z
Togo,1,2020-03-10T00:00:00Z
Togo,1,2020-03-11T00:00:00Z
Togo,1,2020-03-12T00:00:00Z
Togo,1,2020-03-13T00:00:00Z
Togo,1,2020-03-14T00:00:00Z
Togo,1,2020-03-15T00:00:00Z
Togo,1,2020-03-16T00:00:00Z
Togo,1,2020-03-17T00:00:00Z
Togo,1,2020-03-18T00:00:00Z
Togo,1,2020-03-19T00:00:00Z
Togo,9,2020-03-20T00:00:00Z
Togo,16,2020-03-21T00:00:00Z
Togo,16,2020-03-22T00:00:00Z
Togo,18,2020-03-23T00:00:00Z
Togo,20,2020-03-24T00:00:00Z
Togo,23,2020-03-25T00:00:00Z
Togo,23,2020-03-26T00:00:00Z
Togo,25,2020-03-27T00:00:00Z
Togo,25,2020-03-28T00:00:00Z
Togo,25,2020-03-29T00:00:00Z
Togo,30,2020-03-30T00:00:00Z
Togo,34,2020-03-31T00:00:00Z
Togo,36,2020-04-01T00:00:00Z
Togo,39,2020-04-02T00:00:00Z
Togo,40,2020-04-03T00:00:00Z
Togo,41,2020-04-04T00:00:00Z
Togo,44,2020-04-05T00:00:00Z
Togo,58,2020-04-06T00:00:00Z
Togo,65,2020-04-07T00:00:00Z
Togo,70,2020-04-08T00:00:00Z
Togo,73,2020-04-09T00:00:00Z
Togo,76,2020-04-10T00:00:00Z
Togo,76,2020-04-11T00:00:00Z
Togo,76,2020-04-12T00:00:00Z
Togo,77,2020-04-13T00:00:00Z
Togo,77,2020-04-14T00:00:00Z
Togo,81,2020-04-15T00:00:00Z
Togo,81,2020-04-16T00:00:00Z
Togo,83,2020-04-17T00:00:00Z
Togo,84,2020-04-18T00:00:00Z
Togo,84,2020-04-19T00:00:00Z
Togo,84,2020-04-20T00:00:00Z
Togo,86,2020-04-21T00:00:00Z
Togo,88,2020-04-22T00:00:00Z
Togo,88,2020-04-23T00:00:00Z
Togo,90,2020-04-24T00:00:00Z
Togo,96,2020-04-25T00:00:00Z
Togo,98,2020-04-26T00:00:00Z
Togo,98,2020-04-27T00:00:00Z
Togo,99,2020-04-28T00:00:00Z
Togo,109,2020-04-29T00:00:00Z
Togo,116,2020-04-30T00:00:00Z
Togo,123,2020-05-01T00:00:00Z
Togo,123,2020-05-02T00:00:00Z
Togo,124,2020-05-03T00:00:00Z
Togo,126,2020-05-04T00:00:00Z
Togo,128,2020-05-05T00:00:00Z
Togo,128,2020-05-06T00:00:00Z
Togo,135,2020-05-07T00:00:00Z
Togo,145,2020-05-08T00:00:00Z
Togo,153,2020-05-09T00:00:00Z
Togo,174,2020-05-10T00:00:00Z
Togo,181,2020-05-11T00:00:00Z
Togo,199,2020-05-12T00:00:00Z
Togo,219,2020-05-13T00:00:00Z
Togo,238,2020-05-14T00:00:00Z
Togo,263,2020-05-15T00:00:00Z
Togo,298,2020-05-16T00:00:00Z
