Country,Cases,Date
Tunisia,1,2020-03-04T00:00:00Z
Tunisia,1,2020-03-05T00:00:00Z
Tunisia,1,2020-03-06T00:00:00Z
Tunisia,1,2020-03-07T00:00:00Z
Tunisia,2,2020-03-08T00:00:00Z
Tunisia,2,2020-03-09T00:00:00Z
Tunisia,5,2020-03-10T00:00:00Z
Tunisia,7,2020-03-11T00:00:00Z
Tunisia,7,2020-03-12T00:00:00Z
Tunisia,16,2020-03-13T00:00:00Z
Tunisia,18,2020-03-14T00:00:00Z
Tunisia,18,2020-03-15T00:00:00Z
Tunisia,20,2020-03-16T00:00:00Z
Tunisia,24,2020-03-17T00:00:00Z
Tunisia,29,2020-03-18T00:00:00Z
Tunisia,39,2020-03-19T00:00:00Z
Tunisia,54,2020-03-20T00:00:00Z
Tunisia,60,2020-03-21T00:00:00Z
Tunisia,75,2020-03-22T00:00:00Z
Tunisia,89,2020-03-23T00:00:00Z
Tunisia,114,2020-03-24T00:00:00Z
Tunisia,173,2020-03-25T00:00:00Z
Tunisia,197,2020-03-26T00:00:00Z
Tunisia,227,2020-03-27T00:00:00Z
Tunisia,278,2020-03-28T00:00:00Z
Tunisia,312,2020-03-29T00:00:00Z
Tunisia,312,2020-03-30T00:00:00Z
Tunisia,394,2020-03-31T00:00:00Z
Tunisia,423,2020-04-01T00:00:00Z
Tunisia,455,2020-04-02T00:00:00Z
Tunisia,495,2020-04-03T00:00:00Z
Tunisia,553,2020-04-04T00:00:00Z
Tunisia,574,2020-04-05T00:00:00Z
Tunisia,596,2020-04-06T00:00:00Z
Tunisia,623,2020-04-07T00:00:00Z
Tunisia,628,2020-04-08T00:00:00Z
Tunisia,643,2020-04-09T00:00:00Z
Tunisia,671,2020-04-10T00:00:00Z
Tunisia,685,2020-04-11T00:00:00Z
Tunisia,707,2020-04-12T00:00:00Z
Tunisia,726,2020-04-13T00:00:00Z
Tunisia,747,2020-04-14T00:00:00Z
Tunisia,780,2020-04-15T00:00:00Z
Tunisia,822,2020-04-16T00:00:00Z
Tunisia,864,2020-04-17T00:00:00Z
Tunisia,864,2020-04-18T00:00:00Z
Tunisia,879,2020-04-19T00:00:00Z
Tunisia,884,2020-04-20T00:00:00Z
Tunisia,884,2020-04-21T00:00:00Z
Tunisia,909,2020-04-22T00:00:00Z
Tunisia,918,2020-04-23T00:00:00Z
Tunisia,922,2020-04-24T00:00:00Z
Tunisia,939,2020-04-25T00:00:00Z
Tunisia,949,2020-04-26T00:00:00Z
Tunisia,967,2020-04-27T00:00:00Z
Tunisia,975,2020-04-28T00:00:00Z
Tunisia,980,2020-04-29T00:00:00Z
Tunisia,994,2020-04-30T00:00:00Z
Tunisia,998,2020-05-01T00:00:00Z
Tunisia,1009,2020-05-02T00:00:00Z
Tunisia,1013,2020-05-03T00:00:00Z
Tunisia,1018,2020-05-04T00:00:00Z
Tunisia,1022,2020-05-05T00:00:00Z
Tunisia,1025,2020-05-06T00:00:00Z
Tunisia,1026,2020-05-07T00:00:00Z
Tunisia,1030,2020-05-08T00:00:00Z
Tunisia,1032,2020-05-09T00:00:00Z
Tunisia,1032,2020-05-10T00:00:00Z
Tunisia,1032,2020-05-11T00:00:00Z
Tunisia,1032,2020-05-12T00:00:00Z
Tunisia,1032,2020-05-13T00:00:00Z
Tunisia,1032,2020-05-14T00:00:00Z
Tunisia,1035,2020-05-15T00:00:00Z
Tunisia,1037,2020-05-16T00:00:00Z
