Country,Cases,Date
Uganda,1,2020-03-21T00:00:00Z
Uganda,1,2020-03-22T00:00:00Z
Uganda,9,2020-03-23T00:00:00Z
Uganda,9,2020-03-24T00:00:00Z
Uganda,14,2020-03-25T00:00:00Z
Uganda,14,2020-03-26T00:00:00Z
Uganda,23,2020-03-27T00:00:00Z
Uganda,30,2020-03-28T00:00:00Z
Uganda,33,2020-03-29T00:00:00Z
Uganda,33,2020-03-30T00:00:00Z
Uganda,44,2020-03-31T00:00:00Z
Uganda,44,2020-04-01T00:00:00Z
Uganda,45,2020-04-02T00:00:00Z
Uganda,48,2020-04-03T00:00:00Z
Uganda,48,2020-04-04T00:00:00Z
Uganda,52,2020-04-05T00:00:00Z
Uganda,52,2020-04-06T00:00:00Z
Uganda,52,2020-04-07T00:00:00Z
Uganda,53,2020-04-08T00:00:00Z
Uganda,53,2020-04-09T00:00:00Z
Uganda,53,2020-04-10T00:00:00Z
Uganda,53,2020-04-11T00:00:00Z
Uganda,54,2020-04-12T00:00:00Z
Uganda,54,2020-04-13T00:00:00Z
Uganda,55,2020-04-14T00:00:00Z
Uganda,55,2020-04-15T00:00:00Z
Uganda,55,2020-04-16T00:00:00Z
Uganda,56,2020-04-17T00:00:00Z
Uganda,55,2020-04-18T00:00:00Z
Uganda,55,2020-04-19T00:00:00Z
Uganda,56,2020-04-20T00:00:00Z
Uganda,61,2020-04-21T00:00:00Z
Uganda,63,2020-04-22T00:00:00Z
Uganda,74,2020-04-23T00:00:00Z
Uganda,75,2020-04-24T00:00:00Z
Uganda,75,2020-04-25T00:00:00Z
Uganda,79,2020-04-26T00:00:00Z
Uganda,79,2020-04-27T00:00:00Z
Uganda,79,2020-04-28T00:00:00Z
Uganda,81,2020-04-29T00:00:00Z
Uganda,83,2020-04-30T00:00:00Z
Uganda,85,2020-05-01T00:00:00Z
Uganda,88,2020-05-02T00:00:00Z
Uganda,89,2020-05-03T00:00:00Z
Uganda,97,2020-05-04T00:00:00Z
Uganda,98,2020-05-05T00:00:00Z
Uganda,100,2020-05-06T00:00:00Z
Uganda,101,2020-05-07T00:00:00Z
Uganda,101,2020-05-08T00:00:00Z
Uganda,116,2020-05-09T00:00:00Z
Uganda,121,2020-05-10T00:00:00Z
Uganda,121,2020-05-11T00:00:00Z
Uganda,129,2020-05-12T00:00:00Z
Uganda,139,2020-05-13T00:00:00Z
Uganda,160,2020-05-14T00:00:00Z
Uganda,203,2020-05-15T00:00:00Z
Uganda,227,2020-05-16T00:00:00Z
