Country,Cases,Date
Ukraine,1,2020-03-03T00:00:00Z
Ukraine,1,2020-03-04T00:00:00Z
Ukraine,1,2020-03-05T00:00:00Z
Ukraine,1,2020-03-06T00:00:00Z
Ukraine,1,2020-03-07T00:00:00Z
Ukraine,1,2020-03-08T00:00:00Z
Ukraine,1,2020-03-09T00:00:00Z
Ukraine,1,2020-03-10T00:00:00Z
Ukraine,1,2020-03-11T00:00:00Z
Ukraine,1,2020-03-12T00:00:00Z
Ukraine,3,2020-03-13T00:00:00Z
Ukraine,3,2020-03-14T00:00:00Z
Ukraine,3,2020-03-15T00:00:00Z
Ukraine,7,2020-03-16T00:00:00Z
Ukraine,14,2020-03-17T00:00:00Z
Ukraine,14,2020-03-18T00:00:00Z
Ukraine,16,2020-03-19T00:00:00Z
Ukraine,29,2020-03-20T00:00:00Z
Ukraine,47,2020-03-21T00:00:00Z
Ukraine,73,2020-03-22T00:00:00Z
Ukraine,73,2020-03-23T00:00:00Z
Ukraine,97,2020-03-24T00:00:00Z
Ukraine,145,2020-03-25T00:00:00Z
Ukraine,196,2020-03-26T00:00:00Z
Ukraine,310,2020-03-27T00:00:00Z
Ukraine,356,2020-03-28T00:00:00Z
Ukraine,475,2020-03-29T00:00:00Z
Ukraine,548,2020-03-30T00:00:00Z
Ukraine,645,2020-03-31T00:00:00Z
Ukraine,794,2020-04-01T00:00:00Z
Ukraine,897,2020-04-02T00:00:00Z
Ukraine,1072,2020-04-03T00:00:00Z
Ukraine,1225,2020-04-04T00:00:00Z
Ukraine,1308,2020-04-05T00:00:00Z
Ukraine,1319,2020-04-06T00:00:00Z
Ukraine,1462,2020-04-07T00:00:00Z
Ukraine,1668,2020-04-08T00:00:00Z
Ukraine,1892,2020-04-09T00:00:00Z
Ukraine,2203,2020-04-10T00:00:00Z
Ukraine,2511,2020-04-11T00:00:00Z
Ukraine,2777,2020-04-12T00:00:00Z
Ukraine,3102,2020-04-13T00:00:00Z
Ukraine,3372,2020-04-14T00:00:00Z
Ukraine,3764,2020-04-15T00:00:00Z
Ukraine,4161,2020-04-16T00:00:00Z
Ukraine,4662,2020-04-17T00:00:00Z
Ukraine,5106,2020-04-18T00:00:00Z
Ukraine,5449,2020-04-19T00:00:00Z
Ukraine,5710,2020-04-20T00:00:00Z
Ukraine,6125,2020-04-21T00:00:00Z
Ukraine,6592,2020-04-22T00:00:00Z
Ukraine,7170,2020-04-23T00:00:00Z
Ukraine,7647,2020-04-24T00:00:00Z
Ukraine,8125,2020-04-25T00:00:00Z
Ukraine,8617,2020-04-26T00:00:00Z
Ukraine,9009,2020-04-27T00:00:00Z
Ukraine,9410,2020-04-28T00:00:00Z
Ukraine,9866,2020-04-29T00:00:00Z
Ukraine,10406,2020-04-30T00:00:00Z
Ukraine,10861,2020-05-01T00:00:00Z
Ukraine,11411,2020-05-02T00:00:00Z
Ukraine,11913,2020-05-03T00:00:00Z
Ukraine,12331,2020-05-04T00:00:00Z
Ukraine,12697,2020-05-05T00:00:00Z
Ukraine,13184,2020-05-06T00:00:00Z
Ukraine,13691,2020-05-07T00:00:00Z
Ukraine,14195,2020-05-08T00:00:00Z
Ukraine,14710,2020-05-09T00:00:00Z
Ukraine,15232,2020-05-10T00:00:00Z
Ukraine,15648,2020-05-11T00:00:00Z
Ukraine,16023,2020-05-12T00:00:00Z
Ukraine,16425,2020-05-13T00:00:00Z
Ukraine,16847,2020-05-14T00:00:00Z
Ukraine,17330,2020-05-15T00:00:00Z
Ukraine,17858,2020-05-16T00:00:00Z
