Country,Cases,Date
United Arab Emirates,4,2020-01-29T00:00:00Z
United Arab Emirates,4,2020-01-30T00:00:00Z
United Arab Emirates,4,2020-01-31T00:00:00Z
United Arab Emirates,4,2020-02-01T00:00:00Z
United Arab Emirates,5,2020-02-02T00:00:00Z
United Arab Emirates,5,2020-02-03T00:00:00Z
United Arab Emirates,5,2020-02-04T00:00:00Z
United Arab Emirates,5,2020-02-05T00:00:00Z
United Arab Emirates,5,2020-02-06T00:00:00Z
United Arab Emirates,5,2020-02-07T00:00:00Z
United Arab Emirates,7,2020-02-08T00:00:00Z
United Arab Emirates,7,2020-02-09T00:00:00Z
United Arab Emirates,8,2020-02-10T00:00:00Z
United Arab Emirates,8,2020-02-11T00:00:00Z
United Arab Emirates,8,2020-02-12T00:00:00Z
United Arab Emirates,8,2020-02-13T00:00:00Z
United Arab Emirates,8,2020-02-14T00:00:00Z
United Arab Emirates,8,2020-02-15T00:00:00Z
United Arab Emirates,9,2020-02-16T00:00:00Z
United Arab Emirates,9,2020-02-17T00:00:00Z
United Arab Emirates,9,2020-02-18T00:00:00Z
United Arab Emirates,9,2020-02-19T00:00:00Z
United Arab Emirates,9,2020-02-20T00:00:00Z
United Arab Emirates,9,2020-02-21T00:00:00Z
United Arab Emirates,13,2020-02-22T00:00:00Z
United Arab Emirates,13,2020-02-23T00:00:00Z
United Arab Emirates,13,2020-02-24T00:00:00Z
United Arab Emirates,13,2020-02-25T00:00:00Z
United Arab Emirates,13,2020-02-26T00:00:00Z
United Arab Emirates,13,2020-02-27T00:00:00Z
United Arab Emirates,19,2020-02-28T00:00:00Z
United Arab Emirates,21,2020-02-29T00:00:00Z
United Arab Emirates,21,2020-03-01T00:00:00Z
United Arab Emirates,21,2020-03-02T00:00:00Z
United Arab Emirates,27,2020-03-03T00:00:00Z
United Arab Emirates,27,2020-03-04T00:00:00Z
United Arab Emirates,29,2020-03-05T00:00:00Z
United Arab Emirates,29,2020-03-06T00:00:00Z
United Arab Emirates,45,2020-03-07T00:00:00Z
United Arab Emirates,45,2020-03-08T00:00:00Z
United Arab Emirates,45,2020-03-09T00:00:00Z
United Arab Emirates,74,2020-03-10T00:00:00Z
United Arab Emirates,74,2020-03-11T00:00:00Z
United Arab Emirates,85,2020-03-12T00:00:00Z
United Arab Emirates,85,2020-03-13T00:00:00Z
United Arab Emirates,85,2020-03-14T00:00:00Z
United Arab Emirates,98,2020-03-15T00:00:00Z
United Arab Emirates,98,2020-03-16T00:00:00Z
United Arab Emirates,98,2020-03-17T00:00:00Z
United Arab Emirates,113,2020-03-18T00:00:00Z
United Arab Emirates,140,2020-03-19T00:00:00Z
United Arab Emirates,140,2020-03-20T00:00:00Z
United Arab Emirates,153,2020-03-21T00:00:00Z
United Arab Emirates,153,2020-03-22T00:00:00Z
United Arab Emirates,198,2020-03-23T00:00:00Z
United Arab Emirates,248,2020-03-24T00:00:00Z
United Arab Emirates,333,2020-03-25T00:00:00Z
United Arab Emirates,333,2020-03-26T00:00:00Z
United Arab Emirates,405,2020-03-27T00:00:00Z
United Arab Emirates,468,2020-03-28T00:00:00Z
United Arab Emirates,570,2020-03-29T00:00:00Z
United Arab Emirates,611,2020-03-30T00:00:00Z
United Arab Emirates,664,2020-03-31T00:00:00Z
United Arab Emirates,814,2020-04-01T00:00:00Z
United Arab Emirates,1024,2020-04-02T00:00:00Z
United Arab Emirates,1264,2020-04-03T00:00:00Z
United Arab Emirates,1505,2020-04-04T00:00:00Z
United Arab Emirates,1799,2020-04-05T00:00:00Z
United Arab Emirates,2076,2020-04-06T00:00:00Z
United Arab Emirates,2359,2020-04-07T00:00:00Z
United Arab Emirates,2659,2020-04-08T00:00:00Z
