Country,Cases,Date
United Kingdom,2,2020-01-31T00:00:00Z
United Kingdom,2,2020-02-01T00:00:00Z
United Kingdom,2,2020-02-02T00:00:00Z
United Kingdom,2,2020-02-03T00:00:00Z
United Kingdom,2,2020-02-04T00:00:00Z
United Kingdom,2,2020-02-05T00:00:00Z
United Kingdom,2,2020-02-06T00:00:00Z
United Kingdom,3,2020-02-07T00:00:00Z
United Kingdom,3,2020-02-08T00:00:00Z
United Kingdom,3,2020-02-09T00:00:00Z
United Kingdom,8,2020-02-10T00:00:00Z
United Kingdom,8,2020-02-11T00:00:00Z
United Kingdom,9,2020-02-12T00:00:00Z
United Kingdom,9,2020-02-13T00:00:00Z
United Kingdom,9,2020-02-14T00:00:00Z
United Kingdom,9,2020-02-15T00:00:00Z
United Kingdom,9,2020-02-16T00:00:00Z
United Kingdom,9,2020-02-17T00:00:00Z
United Kingdom,9,2020-02-18T00:00:00Z
United Kingdom,9,2020-02-19T00:00:00Z
United Kingdom,9,2020-02-20T00:00:00Z
United Kingdom,9,2020-02-21T00:00:00Z
United Kingdom,9,2020-02-22T00:00:00Z
United Kingdom,9,2020-02-23T00:00:00Z
United Kingdom,13,2020-02-24T00:00:00Z
United Kingdom,13,2020-02-25T00:00:00Z
United Kingdom,13,2020-02-26T00:00:00Z
United Kingdom,15,2020-02-27T00:00:00Z
United Kingdom,20,2020-02-28T00:00:00Z
United Kingdom,23,2020-02-29T00:00:00Z
United Kingdom,36,2020-03-01T00:00:00Z
United Kingdom,40,2020-03-02T00:00:00Z
United Kingdom,51,2020-03-03T00:00:00Z
United Kingdom,85,2020-03-04T00:00:00Z
United Kingdom,115,2020-03-05T00:00:00Z
United Kingdom,163,2020-03-06T00:00:00Z
United Kingdom,206,2020-03-07T00:00:00Z
United Kingdom,273,2020-03-08T00:00:00Z
United Kingdom,321,2020-03-09T00:00:00Z
United Kingdom,382,2020-03-10T00:00:00Z
United Kingdom,456,2020-03-11T00:00:00Z
United Kingdom,456,2020-03-12T00:00:00Z
United Kingdom,798,2020-03-13T00:00:00Z
United Kingdom,1140,2020-03-14T00:00:00Z
United Kingdom,1140,2020-03-15T00:00:00Z
United Kingdom,1543,2020-03-16T00:00:00Z
United Kingdom,1950,2020-03-17T00:00:00Z
United Kingdom,2626,2020-03-18T00:00:00Z
United Kingdom,2689,2020-03-19T00:00:00Z
United Kingdom,3983,2020-03-20T00:00:00Z
United Kingdom,5018,2020-03-21T00:00:00Z
United Kingdom,5683,2020-03-22T00:00:00Z
United Kingdom,6650,2020-03-23T00:00:00Z
United Kingdom,8077,2020-03-24T00:00:00Z
United Kingdom,9529,2020-03-25T00:00:00Z
United Kingdom,11658,2020-03-26T00:00:00Z
United Kingdom,14543,2020-03-27T00:00:00Z
United Kingdom,17089,2020-03-28T00:00:00Z
United Kingdom,19522,2020-03-29T00:00:00Z
United Kingdom,22141,2020-03-30T00:00:00Z
United Kingdom,25150,2020-03-31T00:00:00Z
United Kingdom,29474,2020-04-01T00:00:00Z
United Kingdom,33718,2020-04-02T00:00:00Z
United Kingdom,38168,2020-04-03T00:00:00Z
United Kingdom,41903,2020-04-04T00:00:00Z
United Kingdom,47806,2020-04-05T00:00:00Z
United Kingdom,51608,2020-04-06T00:00:00Z
United Kingdom,55242,2020-04-07T00:00:00Z
United Kingdom,60733,2020-04-08T00:00:00Z
United Kingdom,65077,2020-04-09T00:00:00Z
United Kingdom,73758,2020-04-10T00:00:00Z
United Kingdom,78991,2020-04-11T00:00:00Z
United Kingdom,84279,2020-04-12T00:00:00Z
United Kingdom,88621,2020-04-13T00:00:00Z
United Kingdom,93873,2020-04-14T00:00:00Z
United Kingdom,98476,2020-04-15T00:00:00Z
United Kingdom,103093,2020-04-16T00:00:00Z
United Kingdom,108692,2020-04-17T00:00:00Z
United Kingdom,114217,2020-04-18T00:00:00Z
United Kingdom,120067,2020-04-19T00:00:00Z
United Kingdom,124743,2020-04-20T00:00:00Z
United Kingdom,129044,2020-04-21T00:00:00Z
United Kingdom,133495,2020-04-22T00:00:00Z
United Kingdom,138078,2020-04-23T00:00:00Z
United Kingdom,143464,2020-04-24T00:00:00Z
United Kingdom,148377,2020-04-25T00:00:00Z
United Kingdom,152840,2020-04-26T00:00:00Z
United Kingdom,157149,2020-04-27T00:00:00Z
United Kingdom,161145,2020-04-28T00:00:00Z
United Kingdom,165221,2020-04-29T00:00:00Z
United Kingdom,171253,2020-04-30T00:00:00Z
United Kingdom,177454,2020-05-01T00:00:00Z
United Kingdom,182260,2020-05-02T00:00:00Z
United Kingdom,186599,2020-05-03T00:00:00Z
United Kingdom,190584,2020-05-04T00:00:00Z
United Kingdom,194990,2020-05-05T00:00:00Z
United Kingdom,201101,2020-05-06T00:00:00Z
United Kingdom,206715,2020-05-07T00:00:00Z
United Kingdom,211364,2020-05-08T00:00:00Z
United Kingdom,215260,2020-05-09T00:00:00Z
United Kingdom,219183,2020-05-10T00:00:00Z
United Kingdom,223060,2020-05-11T00:00:00Z
United Kingdom,226463,2020-05-12T00:00:00Z
United Kingdom,229705,2020-05-13T00:00:00Z
United Kingdom,233151,2020-05-14T00:00:00Z
United Kingdom,236711,2020-05-15T00:00:00Z
United Kingdom,240161,2020-05-16T00:00:00Z
