Country,Cases,Date
United States of America,1,2020-01-22T00:00:00Z
United States of America,1,2020-01-23T00:00:00Z
United States of America,2,2020-01-24T00:00:00Z
United States of America,2,2020-01-25T00:00:00Z
United States of America,5,2020-01-26T00:00:00Z
United States of America,5,2020-01-27T00:00:00Z
United States of America,5,2020-01-28T00:00:00Z
United States of America,5,2020-01-29T00:00:00Z
United States of America,5,2020-01-30T00:00:00Z
United States of America,7,2020-01-31T00:00:00Z
United States of America,8,2020-02-01T00:00:00Z
United States of America,8,2020-02-02T00:00:00Z
United States of America,11,2020-02-03T00:00:00Z
United States of America,11,2020-02-04T00:00:00Z
United States of America,11,2020-02-05T00:00:00Z
United States of America,11,2020-02-06T00:00:00Z
United States of America,11,2020-02-07T00:00:00Z
United States of America,11,2020-02-08T00:00:00Z
United States of America,11,2020-02-09T00:00:00Z
United States of America,11,2020-02-10T00:00:00Z
United States of America,12,2020-02-11T00:00:00Z
United States of America,12,2020-02-12T00:00:00Z
United States of America,13,2020-02-13T00:00:00Z
United States of America,13,2020-02-14T00:00:00Z
United States of America,13,2020-02-15T00:00:00Z
United States of America,13,2020-02-16T00:00:00Z
United States of America,13,2020-02-17T00:00:00Z
United States of America,13,2020-02-18T00:00:00Z
United States of America,13,2020-02-19T00:00:00Z
United States of America,13,2020-02-20T00:00:00Z
United States of America,15,2020-02-21T00:00:00Z
United States of America,15,2020-02-22T00:00:00Z
United States of America,15,2020-02-23T00:00:00Z
United States of America,51,2020-02-24T00:00:00Z
United States of America,51,2020-02-25T00:00:00Z
United States of America,57,2020-02-26T00:00:00Z
United States of America,58,2020-02-27T00:00:00Z
United States of America,60,2020-02-28T00:00:00Z
United States of America,68,2020-02-29T00:00:00Z
United States of America,74,2020-03-01T00:00:00Z
United States of America,98,2020-03-02T00:00:00Z
United States of America,118,2020-03-03T00:00:00Z
United States of America,149,2020-03-04T00:00:00Z
United States of America,217,2020-03-05T00:00:00Z
United States of America,262,2020-03-06T00:00:00Z
United States of America,402,2020-03-07T00:00:00Z
United States of America,518,2020-03-08T00:00:00Z
United States of America,583,2020-03-09T00:00:00Z
United States of America,959,2020-03-10T00:00:00Z
United States of America,1281,2020-03-11T00:00:00Z
United States of America,1663,2020-03-12T00:00:00Z
United States of America,2179,2020-03-13T00:00:00Z
United States of America,2727,2020-03-14T00:00:00Z
United States of America,3499,2020-03-15T00:00:00Z
United States of America,4632,2020-03-16T00:00:00Z
United States of America,6421,2020-03-17T00:00:00Z
United States of America,7783,2020-03-18T00:00:00Z
United States of America,13747,2020-03-19T00:00:00Z
United States of America,19273,2020-03-20T00:00:00Z
United States of America,25600,2020-03-21T00:00:00Z
United States of America,33276,2020-03-22T00:00:00Z
United States of America,43843,2020-03-23T00:00:00Z
United States of America,53736,2020-03-24T00:00:00Z
United States of America,65778,2020-03-25T00:00:00Z
United States of America,83836,2020-03-26T00:00:00Z
United States of America,101657,2020-03-27T00:00:00Z
United States of America,121465,2020-03-28T00:00:00Z
United States of America,140909,2020-03-29T00:00:00Z
United States of America,161831,2020-03-30T00:00:00Z
United States of America,188172,2020-03-31T00:00:00Z
United States of America,213242,2020-04-01T00:00:00Z
United States of America,243622,2020-04-02T00:00:00Z
United States of America,275367,2020-04-03T00:00:00Z
United States of America,308650,2020-04-04T00:00:00Z
United States of America,336802,2020-04-05T00:00:00Z
United States of America,366317,2020-04-06T00:00:00Z
United States of America,397121,2020-04-07T00:00:00Z
United States of America,428654,2020-04-08T00:00:00Z
United States of America,462780,2020-04-09T00:00:00Z
United States of America,496535,2020-04-10T00:00:00Z
United States of America,526396,2020-04-11T00:00:00Z
United States of America,555313,2020-04-12T00:00:00Z
United States of America,580619,2020-04-13T00:00:00Z
United States of America,607670,2020-04-14T00:00:00Z
United States of America,636350,2020-04-15T00:00:00Z
United States of America,667592,2020-04-16T00:00:00Z
United States of America,699706,2020-04-17T00:00:00Z
United States of America,732197,2020-04-18T00:00:00Z
United States of America,758809,2020-04-19T00:00:00Z
United States of America,784326,2020-04-20T00:00:00Z
United States of America,811865,2020-04-21T00:00:00Z
United States of America,840351,2020-04-22T00:00:00Z
United States of America,869170,2020-04-23T00:00:00Z
United States of America,905358,2020-04-24T00:00:00Z
United States of America,938154,2020-04-25T00:00:00Z
United States of America,965785,2020-04-26T00:00:00Z
United States of America,988197,2020-04-27T00:00:00Z
United States of America,1012582,2020-04-28T00:00:00Z
United States of America,1039909,2020-04-29T00:00:00Z
United States of America,1069424,2020-04-30T00:00:00Z
United States of America,1103461,2020-05-01T00:00:00Z
United States of America,1132539,2020-05-02T00:00:00Z
United States of America,1158040,2020-05-03T00:00:00Z
United States of America,1180375,2020-05-04T00:00:00Z
United States of America,1204351,2020-05-05T00:00:00Z
United States of America,1228603,2020-05-06T00:00:00Z
United States of America,1257023,2020-05-07T00:00:00Z
United States of America,1283929,2020-05-08T00:00:00Z
United States of America,1309550,2020-05-09T00:00:00Z
United States of America,1329260,2020-05-10T00:00:00Z
United States of America,1347881,2020-05-11T00:00:00Z
United States of America,1369376,2020-05-12T00:00:00Z
United States of America,1390406,2020-05-13T00:00:00Z
United States of America,1417774,2020-05-14T00:00:00Z
United States of America,1442824,2020-05-15T00:00:00Z
United States of America,1467820,2020-05-16T00:00:00Z
