Country,Cases,Date
Uruguay,4,2020-03-14T00:00:00Z
Uruguay,4,2020-03-15T00:00:00Z
Uruguay,8,2020-03-16T00:00:00Z
Uruguay,29,2020-03-17T00:00:00Z
Uruguay,50,2020-03-18T00:00:00Z
Uruguay,79,2020-03-19T00:00:00Z
Uruguay,94,2020-03-20T00:00:00Z
Uruguay,110,2020-03-21T00:00:00Z
Uruguay,158,2020-03-22T00:00:00Z
Uruguay,162,2020-03-23T00:00:00Z
Uruguay,162,2020-03-24T00:00:00Z
Uruguay,189,2020-03-25T00:00:00Z
Uruguay,217,2020-03-26T00:00:00Z
Uruguay,238,2020-03-27T00:00:00Z
Uruguay,274,2020-03-28T00:00:00Z
Uruguay,304,2020-03-29T00:00:00Z
Uruguay,310,2020-03-30T00:00:00Z
Uruguay,338,2020-03-31T00:00:00Z
Uruguay,338,2020-04-01T00:00:00Z
Uruguay,350,2020-04-02T00:00:00Z
Uruguay,369,2020-04-03T00:00:00Z
Uruguay,400,2020-04-04T00:00:00Z
Uruguay,400,2020-04-05T00:00:00Z
Uruguay,406,2020-04-06T00:00:00Z
Uruguay,424,2020-04-07T00:00:00Z
Uruguay,424,2020-04-08T00:00:00Z
Uruguay,456,2020-04-09T00:00:00Z
Uruguay,473,2020-04-10T00:00:00Z
Uruguay,494,2020-04-11T00:00:00Z
Uruguay,480,2020-04-12T00:00:00Z
Uruguay,480,2020-04-13T00:00:00Z
Uruguay,483,2020-04-14T00:00:00Z
Uruguay,492,2020-04-15T00:00:00Z
Uruguay,502,2020-04-16T00:00:00Z
Uruguay,502,2020-04-17T00:00:00Z
Uruguay,508,2020-04-18T00:00:00Z
Uruguay,517,2020-04-19T00:00:00Z
Uruguay,535,2020-04-20T00:00:00Z
Uruguay,535,2020-04-21T00:00:00Z
Uruguay,543,2020-04-22T00:00:00Z
Uruguay,557,2020-04-23T00:00:00Z
Uruguay,563,2020-04-24T00:00:00Z
Uruguay,596,2020-04-25T00:00:00Z
Uruguay,606,2020-04-26T00:00:00Z
Uruguay,620,2020-04-27T00:00:00Z
Uruguay,625,2020-04-28T00:00:00Z
Uruguay,630,2020-04-29T00:00:00Z
Uruguay,643,2020-04-30T00:00:00Z
Uruguay,648,2020-05-01T00:00:00Z
Uruguay,652,2020-05-02T00:00:00Z
Uruguay,655,2020-05-03T00:00:00Z
Uruguay,657,2020-05-04T00:00:00Z
Uruguay,670,2020-05-05T00:00:00Z
Uruguay,673,2020-05-06T00:00:00Z
Uruguay,684,2020-05-07T00:00:00Z
Uruguay,694,2020-05-08T00:00:00Z
Uruguay,702,2020-05-09T00:00:00Z
Uruguay,707,2020-05-10T00:00:00Z
Uruguay,711,2020-05-11T00:00:00Z
Uruguay,717,2020-05-12T00:00:00Z
Uruguay,719,2020-05-13T00:00:00Z
Uruguay,724,2020-05-14T00:00:00Z
Uruguay,732,2020-05-15T00:00:00Z
Uruguay,733,2020-05-16T00:00:00Z
