Country,Cases,Date
Uzbekistan,1,2020-03-15T00:00:00Z
Uzbekistan,6,2020-03-16T00:00:00Z
Uzbekistan,10,2020-03-17T00:00:00Z
Uzbekistan,15,2020-03-18T00:00:00Z
Uzbekistan,23,2020-03-19T00:00:00Z
Uzbekistan,33,2020-03-20T00:00:00Z
Uzbekistan,43,2020-03-21T00:00:00Z
Uzbekistan,43,2020-03-22T00:00:00Z
Uzbekistan,46,2020-03-23T00:00:00Z
Uzbekistan,50,2020-03-24T00:00:00Z
Uzbekistan,60,2020-03-25T00:00:00Z
Uzbekistan,75,2020-03-26T00:00:00Z
Uzbekistan,88,2020-03-27T00:00:00Z
Uzbekistan,104,2020-03-28T00:00:00Z
Uzbekistan,144,2020-03-29T00:00:00Z
Uzbekistan,149,2020-03-30T00:00:00Z
Uzbekistan,172,2020-03-31T00:00:00Z
Uzbekistan,181,2020-04-01T00:00:00Z
Uzbekistan,205,2020-04-02T00:00:00Z
Uzbekistan,227,2020-04-03T00:00:00Z
Uzbekistan,266,2020-04-04T00:00:00Z
Uzbekistan,342,2020-04-05T00:00:00Z
Uzbekistan,457,2020-04-06T00:00:00Z
Uzbekistan,520,2020-04-07T00:00:00Z
Uzbekistan,545,2020-04-08T00:00:00Z
Uzbekistan,582,2020-04-09T00:00:00Z
Uzbekistan,624,2020-04-10T00:00:00Z
Uzbekistan,767,2020-04-11T00:00:00Z
Uzbekistan,865,2020-04-12T00:00:00Z
Uzbekistan,998,2020-04-13T00:00:00Z
Uzbekistan,1165,2020-04-14T00:00:00Z
Uzbekistan,1302,2020-04-15T00:00:00Z
Uzbekistan,1349,2020-04-16T00:00:00Z
Uzbekistan,1405,2020-04-17T00:00:00Z
Uzbekistan,1490,2020-04-18T00:00:00Z
Uzbekistan,1565,2020-04-19T00:00:00Z
Uzbekistan,1627,2020-04-20T00:00:00Z
Uzbekistan,1678,2020-04-21T00:00:00Z
Uzbekistan,1716,2020-04-22T00:00:00Z
Uzbekistan,1758,2020-04-23T00:00:00Z
Uzbekistan,1804,2020-04-24T00:00:00Z
Uzbekistan,1862,2020-04-25T00:00:00Z
Uzbekistan,1869,2020-04-26T00:00:00Z
Uzbekistan,1904,2020-04-27T00:00:00Z
Uzbekistan,1939,2020-04-28T00:00:00Z
Uzbekistan,2002,2020-04-29T00:00:00Z
Uzbekistan,2039,2020-04-30T00:00:00Z
Uzbekistan,2086,2020-05-01T00:00:00Z
Uzbekistan,2118,2020-05-02T00:00:00Z
Uzbekistan,2149,2020-05-03T00:00:00Z
Uzbekistan,2189,2020-05-04T00:00:00Z
Uzbekistan,2207,2020-05-05T00:00:00Z
Uzbekistan,2233,2020-05-06T00:00:00Z
Uzbekistan,2298,2020-05-07T00:00:00Z
Uzbekistan,2325,2020-05-08T00:00:00Z
Uzbekistan,2349,2020-05-09T00:00:00Z
Uzbekistan,2418,2020-05-10T00:00:00Z
Uzbekistan,2486,2020-05-11T00:00:00Z
Uzbekistan,2519,2020-05-12T00:00:00Z
Uzbekistan,2612,2020-05-13T00:00:00Z
Uzbekistan,2645,2020-05-14T00:00:00Z
Uzbekistan,2686,2020-05-15T00:00:00Z
Uzbekistan,2738,2020-05-16T00:00:00Z
