Country,Cases,Date
Venezuela (Bolivarian Republic),2,2020-03-14T00:00:00Z
Venezuela (Bolivarian Republic),10,2020-03-15T00:00:00Z
Venezuela (Bolivarian Republic),17,2020-03-16T00:00:00Z
Venezuela (Bolivarian Republic),33,2020-03-17T00:00:00Z
Venezuela (Bolivarian Republic),36,2020-03-18T00:00:00Z
Venezuela (Bolivarian Republic),42,2020-03-19T00:00:00Z
Venezuela (Bolivarian Republic),42,2020-03-20T00:00:00Z
Venezuela (Bolivarian Republic),70,2020-03-21T00:00:00Z
Venezuela (Bolivarian Republic),70,2020-03-22T00:00:00Z
Venezuela (Bolivarian Republic),77,2020-03-23T00:00:00Z
Venezuela (Bolivarian Republic),84,2020-03-24T00:00:00Z
Venezuela (Bolivarian Republic),91,2020-03-25T00:00:00Z
Venezuela (Bolivarian Republic),107,2020-03-26T00:00:00Z
Venezuela (Bolivarian Republic),107,2020-03-27T00:00:00Z
Venezuela (Bolivarian Republic),119,2020-03-28T00:00:00Z
Venezuela (Bolivarian Republic),119,2020-03-29T00:00:00Z
Venezuela (Bolivarian Republic),135,2020-03-30T00:00:00Z
Venezuela (Bolivarian Republic),135,2020-03-31T00:00:00Z
Venezuela (Bolivarian Republic),143,2020-04-01T00:00:00Z
Venezuela (Bolivarian Republic),146,2020-04-02T00:00:00Z
Venezuela (Bolivarian Republic),153,2020-04-03T00:00:00Z
Venezuela (Bolivarian Republic),155,2020-04-04T00:00:00Z
Venezuela (Bolivarian Republic),159,2020-04-05T00:00:00Z
Venezuela (Bolivarian Republic),165,2020-04-06T00:00:00Z
Venezuela (Bolivarian Republic),165,2020-04-07T00:00:00Z
Venezuela (Bolivarian Republic),167,2020-04-08T00:00:00Z
Venezuela (Bolivarian Republic),171,2020-04-09T00:00:00Z
Venezuela (Bolivarian Republic),171,2020-04-10T00:00:00Z
Venezuela (Bolivarian Republic),175,2020-04-11T00:00:00Z
Venezuela (Bolivarian Republic),181,2020-04-12T00:00:00Z
Venezuela (Bolivarian Republic),189,2020-04-13T00:00:00Z
Venezuela (Bolivarian Republic),189,2020-04-14T00:00:00Z
Venezuela (Bolivarian Republic),197,2020-04-15T00:00:00Z
Venezuela (Bolivarian Republic),204,2020-04-16T00:00:00Z
Venezuela (Bolivarian Republic),204,2020-04-17T00:00:00Z
Venezuela (Bolivarian Republic),227,2020-04-18T00:00:00Z
Venezuela (Bolivarian Republic),256,2020-04-19T00:00:00Z
Venezuela (Bolivarian Republic),256,2020-04-20T00:00:00Z
Venezuela (Bolivarian Republic),285,2020-04-21T00:00:00Z
Venezuela (Bolivarian Republic),288,2020-04-22T00:00:00Z
Venezuela (Bolivarian Republic),311,2020-04-23T00:00:00Z
Venezuela (Bolivarian Republic),318,2020-04-24T00:00:00Z
Venezuela (Bolivarian Republic),323,2020-04-25T00:00:00Z
Venezuela (Bolivarian Republic),325,2020-04-26T00:00:00Z
Venezuela (Bolivarian Republic),329,2020-04-27T00:00:00Z
Venezuela (Bolivarian Republic),329,2020-04-28T00:00:00Z
Venezuela (Bolivarian Republic),331,2020-04-29T00:00:00Z
Venezuela (Bolivarian Republic),333,2020-04-30T00:00:00Z
Venezuela (Bolivarian Republic),335,2020-05-01T00:00:00Z
Venezuela (Bolivarian Republic),345,2020-05-02T00:00:00Z
Venezuela (Bolivarian Republic),357,2020-05-03T00:00:00Z
Venezuela (Bolivarian Republic),357,2020-05-04T00:00:00Z
Venezuela (Bolivarian Republic),361,2020-05-05T00:00:00Z
Venezuela (Bolivarian Republic),379,2020-05-06T00:00:00Z
Venezuela (Bolivarian Republic),381,2020-05-07T00:00:00Z
Venezuela (Bolivarian Republic),388,2020-05-08T00:00:00Z
Venezuela (Bolivarian Republic),402,2020-05-09T00:00:00Z
Venezuela (Bolivarian Republic),414,2020-05-10T00:00:00Z
Venezuela (Bolivarian Republic),422,2020-05-11T00:00:00Z
Venezuela (Bolivarian Republic),423,2020-05-12T00:00:00Z
Venezuela (Bolivarian Republic),423,2020-05-13T00:00:00Z
Venezuela (Bolivarian Republic),455,2020-05-14T00:00:00Z
Venezuela (Bolivarian Republic),459,2020-05-15T00:00:00Z
Venezuela (Bolivarian Republic),504,2020-05-16T00:00:00Z
