Country,Cases,Date
Viet Nam,2,2020-01-23T00:00:00Z
Viet Nam,2,2020-01-24T00:00:00Z
Viet Nam,2,2020-01-25T00:00:00Z
Viet Nam,2,2020-01-26T00:00:00Z
Viet Nam,2,2020-01-27T00:00:00Z
Viet Nam,2,2020-01-28T00:00:00Z
Viet Nam,2,2020-01-29T00:00:00Z
Viet Nam,2,2020-01-30T00:00:00Z
Viet Nam,2,2020-01-31T00:00:00Z
Viet Nam,6,2020-02-01T00:00:00Z
Viet Nam,6,2020-02-02T00:00:00Z
Viet Nam,8,2020-02-03T00:00:00Z
Viet Nam,8,2020-02-04T00:00:00Z
Viet Nam,8,2020-02-05T00:00:00Z
Viet Nam,10,2020-02-06T00:00:00Z
Viet Nam,10,2020-02-07T00:00:00Z
Viet Nam,13,2020-02-08T00:00:00Z
Viet Nam,13,2020-02-09T00:00:00Z
Viet Nam,14,2020-02-10T00:00:00Z
Viet Nam,15,2020-02-11T00:00:00Z
Viet Nam,15,2020-02-12T00:00:00Z
Viet Nam,16,2020-02-13T00:00:00Z
Viet Nam,16,2020-02-14T00:00:00Z
Viet Nam,16,2020-02-15T00:00:00Z
Viet Nam,16,2020-02-16T00:00:00Z
Viet Nam,16,2020-02-17T00:00:00Z
Viet Nam,16,2020-02-18T00:00:00Z
Viet Nam,16,2020-02-19T00:00:00Z
Viet Nam,16,2020-02-20T00:00:00Z
Viet Nam,16,2020-02-21T00:00:00Z
Viet Nam,16,2020-02-22T00:00:00Z
Viet Nam,16,2020-02-23T00:00:00Z
Viet Nam,16,2020-02-24T00:00:00Z
Viet Nam,16,2020-02-25T00:00:00Z
Viet Nam,16,2020-02-26T00:00:00Z
Viet Nam,16,2020-02-27T00:00:00Z
Viet Nam,16,2020-02-28T00:00:00Z
Viet Nam,16,2020-02-29T00:00:00Z
Viet Nam,16,2020-03-01T00:00:00Z
Viet Nam,16,2020-03-02T00:00:00Z
Viet Nam,16,2020-03-03T00:00:00Z
Viet Nam,16,2020-03-04T00:00:00Z
Viet Nam,16,2020-03-05T00:00:00Z
Viet Nam,16,2020-03-06T00:00:00Z
Viet Nam,18,2020-03-07T00:00:00Z
Viet Nam,30,2020-03-08T00:00:00Z
Viet Nam,30,2020-03-09T00:00:00Z
Viet Nam,31,2020-03-10T00:00:00Z
Viet Nam,38,2020-03-11T00:00:00Z
Viet Nam,39,2020-03-12T00:00:00Z
Viet Nam,47,2020-03-13T00:00:00Z
Viet Nam,53,2020-03-14T00:00:00Z
Viet Nam,56,2020-03-15T00:00:00Z
Viet Nam,61,2020-03-16T00:00:00Z
Viet Nam,66,2020-03-17T00:00:00Z
Viet Nam,75,2020-03-18T00:00:00Z
Viet Nam,85,2020-03-19T00:00:00Z
Viet Nam,91,2020-03-20T00:00:00Z
Viet Nam,94,2020-03-21T00:00:00Z
Viet Nam,113,2020-03-22T00:00:00Z
Viet Nam,123,2020-03-23T00:00:00Z
Viet Nam,134,2020-03-24T00:00:00Z
Viet Nam,141,2020-03-25T00:00:00Z
Viet Nam,153,2020-03-26T00:00:00Z
Viet Nam,163,2020-03-27T00:00:00Z
Viet Nam,174,2020-03-28T00:00:00Z
Viet Nam,188,2020-03-29T00:00:00Z
Viet Nam,203,2020-03-30T00:00:00Z
Viet Nam,212,2020-03-31T00:00:00Z
Viet Nam,218,2020-04-01T00:00:00Z
Viet Nam,233,2020-04-02T00:00:00Z
Viet Nam,237,2020-04-03T00:00:00Z
Viet Nam,240,2020-04-04T00:00:00Z
Viet Nam,241,2020-04-05T00:00:00Z
Viet Nam,245,2020-04-06T00:00:00Z
Viet Nam,249,2020-04-07T00:00:00Z
Viet Nam,251,2020-04-08T00:00:00Z
Viet Nam,255,2020-04-09T00:00:00Z
Viet Nam,257,2020-04-10T00:00:00Z
Viet Nam,258,2020-04-11T00:00:00Z
Viet Nam,262,2020-04-12T00:00:00Z
Viet Nam,265,2020-04-13T00:00:00Z
Viet Nam,266,2020-04-14T00:00:00Z
Viet Nam,267,2020-04-15T00:00:00Z
Viet Nam,268,2020-04-16T00:00:00Z
Viet Nam,268,2020-04-17T00:00:00Z
Viet Nam,268,2020-04-18T00:00:00Z
Viet Nam,268,2020-04-19T00:00:00Z
Viet Nam,268,2020-04-20T00:00:00Z
Viet Nam,268,2020-04-21T00:00:00Z
Viet Nam,268,2020-04-22T00:00:00Z
Viet Nam,268,2020-04-23T00:00:00Z
Viet Nam,270,2020-04-24T00:00:00Z
Viet Nam,270,2020-04-25T00:00:00Z
Viet Nam,270,2020-04-26T00:00:00Z
Viet Nam,270,2020-04-27T00:00:00Z
Viet Nam,270,2020-04-28T00:00:00Z
Viet Nam,270,2020-04-29T00:00:00Z
Viet Nam,270,2020-04-30T00:00:00Z
Viet Nam,270,2020-05-01T00:00:00Z
Viet Nam,270,2020-05-02T00:00:00Z
Viet Nam,271,2020-05-03T00:00:00Z
Viet Nam,271,2020-05-04T00:00:00Z
Viet Nam,271,2020-05-05T00:00:00Z
Viet Nam,271,2020-05-06T00:00:00Z
Viet Nam,288,2020-05-07T00:00:00Z
Viet Nam,288,2020-05-08T00:00:00Z
Viet Nam,288,2020-05-09T00:00:00Z
Viet Nam,288,2020-05-10T00:00:00Z
Viet Nam,288,2020-05-11T00:00:00Z
Viet Nam,288,2020-05-12T00:00:00Z
Viet Nam,288,2020-05-13T00:00:00Z
Viet Nam,312,2020-05-14T00:00:00Z
Viet Nam,314,2020-05-15T00:00:00Z
Viet Nam,318,2020-05-16T00:00:00Z
