Country,Cases,Date
Yemen,1,2020-04-10T00:00:00Z
Yemen,1,2020-04-11T00:00:00Z
Yemen,1,2020-04-12T00:00:00Z
Yemen,1,2020-04-13T00:00:00Z
Yemen,1,2020-04-14T00:00:00Z
Yemen,1,2020-04-15T00:00:00Z
Yemen,1,2020-04-16T00:00:00Z
Yemen,1,2020-04-17T00:00:00Z
Yemen,1,2020-04-18T00:00:00Z
Yemen,1,2020-04-19T00:00:00Z
Yemen,1,2020-04-20T00:00:00Z
Yemen,1,2020-04-21T00:00:00Z
Yemen,1,2020-04-22T00:00:00Z
Yemen,1,2020-04-23T00:00:00Z
Yemen,1,2020-04-24T00:00:00Z
Yemen,1,2020-04-25T00:00:00Z
Yemen,1,2020-04-26T00:00:00Z
Yemen,1,2020-04-27T00:00:00Z
Yemen,1,2020-04-28T00:00:00Z
Yemen,6,2020-04-29T00:00:00Z
Yemen,6,2020-04-30T00:00:00Z
Yemen,7,2020-05-01T00:00:00Z
Yemen,10,2020-05-02T00:00:00Z
Yemen,10,2020-05-03T00:00:00Z
Yemen,12,2020-05-04T00:00:00Z
Yemen,22,2020-05-05T00:00:00Z
Yemen,25,2020-05-06T00:00:00Z
Yemen,25,2020-05-07T00:00:00Z
Yemen,34,2020-05-08T00:00:00Z
Yemen,34,2020-05-09T00:00:00Z
Yemen,51,2020-05-10T00:00:00Z
Yemen,56,2020-05-11T00:00:00Z
Yemen,65,2020-05-12T00:00:00Z
Yemen,70,2020-05-13T00:00:00Z
Yemen,85,2020-05-14T00:00:00Z
Yemen,106,2020-05-15T00:00:00Z
Yemen,122,2020-05-16T00:00:00Z
