Country,TotalConfirmed,NewConfirmed,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered
Afghanistan,6664,262,169,1,778,33
Albania,946,13,31,0,715,1
Algeria,7019,198,548,6,3507,98
Andorra,761,0,51,0,617,2
Angola,48,0,2,0,17,0
Antigua and Barbuda,25,0,3,0,19,0
Argentina,8068,263,373,10,2569,35
Armenia,4472,189,60,5,1925,134
Australia,7054,10,99,1,6392,28
Austria,16242,41,629,0,14563,39
Azerbaijan,3274,136,39,3,2015,71
Bahamas,96,0,11,0,42,0
Bahrain,6956,209,12,0,2910,148
Bangladesh,22268,1273,328,14,4373,256
Barbados,88,2,7,0,68,1
Belarus,29650,969,165,5,9932,434
Belgium,55280,291,9052,47,14630,170
Belize,18,0,2,0,16,0
Benin,339,0,2,0,83,0
Bhutan,21,0,0,0,5,0
Bolivia,4088,262,169,4,493,20
Bosnia and Herzegovina,2290,23,133,4,1436,81
Botswana,25,1,1,0,17,0
Brazil,241080,7569,16118,456,94122,4450
Brunei Darussalam,141,0,1,0,136,0
Bulgaria,2211,36,108,3,598,25
Burkina Faso,796,14,51,0,644,40
Burundi,23,8,1,0,15,8
Cambodia,122,0,0,0,122,0
Cameroon,3105,0,140,0,1567,0
Canada,156662,2252,11804,206,38563,731
Cape Verde,328,0,3,0,84,0
Central African Republic,327,0,0,0,13,0
Chad,503,29,53,3,117,6
Chile,43781,2353,450,29,19213,1199
China,84054,10,4638,0,79306,13
Colombia,15574,635,574,12,3751,164
Comoros,11,0,1,0,3,0
Congo (Brazzaville),391,0,15,0,87,0
Congo (Kinshasa),1455,0,61,0,270,0
Costa Rica,863,10,10,0,565,14
Croatia,2226,2,95,0,1936,23
Cuba,1872,10,79,0,1495,35
Cyprus,916,2,17,0,515,0
Czech Republic,8475,20,298,2,5462,40
Côte d'Ivoire,2109,48,27,2,1004,17
Denmark,11125,69,547,4,9425,120
Djibouti,1401,70,4,0,972,22
Dominica,16,0,0,0,16,1
Dominican Republic,12314,204,428,0,5847,2121
Ecuador,33182,419,2736,48,3433,0
Egypt,12229,510,630,18,3172,222
El Salvador,1338,73,30,4,464,23
Equatorial Guinea,594,0,7,0,22,0
Eritrea,39,0,0,0,39,0
Estonia,1774,4,63,0,938,4
Ethiopia,317,11,5,0,113,0
Fiji,18,0,0,0,15,0
Finland,6347,61,298,1,5000,0
France,179693,63,28111,579,61327,765
Gabon,1320,0,11,0,244,0
Gambia,23,0,1,0,12,0
Georgia,695,12,12,0,425,6
Germany,176369,617,7962,24,154011,1411
Ghana,5735,0,29,0,1754,0
Greece,2834,15,163,1,1374,0
