country,name,cases,deaths,recovered,last_update
AD,Andorra,1,0,0,2020-03-02T20:23:16
AD,Andorra,1,0,0,2020-03-11T20:00:00
AD,Andorra,1,0,1,2020-03-12T23:44:32
AD,Andorra,1,0,1,2020-03-13T22:22:02
AD,Andorra,2,0,1,2020-03-16T02:33:08
AD,Andorra,39,0,1,2020-03-17T20:53:02
AD,Andorra,53,0,1,2020-03-19T01:03:40
AD,Andorra,75,0,1,2020-03-20T15:13:21
AD,Andorra,88,0,1,2020-03-21T15:13:45
AD,Andorra,113,1,1,2020-03-22T23:45:00
AD,Andorra,133,1,1,2020-03-23T23:19:21
AD,Andorra,164,1,1,2020-03-24T23:37:15
AD,Andorra,188,1,1,2020-03-25T23:33:04
AD,Andorra,224,3,1,2020-03-26T23:48:18
AD,Andorra,267,3,1,2020-03-27T23:23:03
AD,Andorra,308,3,1,2020-03-28T23:05:25
AD,Andorra,334,6,1,2020-03-29T23:08:13
AD,Andorra,370,8,10,2020-03-30T22:52:33
AD,Andorra,376,12,10,2020-03-31T23:43:43
AD,Andorra,390,14,10,2020-04-01T21:58:34
AD,Andorra,428,15,10,2020-04-02T23:25:14
AD,Andorra,439,16,16,2020-04-03T23:56:18
AD,Andorra,466,17,21,2020-04-04T23:34:04
AD,Andorra,501,18,26,2020-04-05T23:06:26
AD,Andorra,525,21,31,2020-04-06T23:21:55
AD,Andorra,545,22,39,2020-04-07T23:04:29
AD,Andorra,564,23,52,2020-04-08T22:51:39
AD,Andorra,583,25,58,2020-04-09T23:02:19
AD,Andorra,601,26,71,2020-04-10T22:53:48
AD,Andorra,601,26,71,2020-04-11T23:56:45
AD,Andorra,601,26,71,2020-04-12T03:31:35
AD,Andorra,646,29,128,2020-04-13T23:07:34
AD,Andorra,659,31,128,2020-04-14T23:33:12
AD,Andorra,673,33,169,2020-04-15T22:56:32
AD,Andorra,673,33,169,2020-04-16T23:30:31
AD,Andorra,696,35,191,2020-04-17T23:30:32
AD,Andorra,704,35,205,2020-04-18T22:32:28
AD,Andorra,713,36,235,2020-04-19T23:40:41
AD,Andorra,717,37,248,2020-04-20T23:36:27
AD,Andorra,717,37,282,2020-04-21T23:30:30
AD,Andorra,723,37,309,2020-04-22T23:30:32
AD,Andorra,723,37,333,2020-04-23T23:30:31
AD,Andorra,731,40,333,2020-04-24T21:30:34
AD,Andorra,738,40,344,2020-04-25T23:30:33
AD,Andorra,738,40,344,2020-04-26T23:30:31
AD,Andorra,738,40,344,2020-04-27T23:30:31
AD,Andorra,743,41,398,2020-04-28T23:32:24
AD,Andorra,743,42,423,2020-04-29T23:32:26
AD,Andorra,745,42,468,2020-04-30T23:32:27
AD,Andorra,745,43,468,2020-05-01T23:32:36
AD,Andorra,747,44,472,2020-05-02T23:32:31
AD,Andorra,748,45,493,2020-05-03T23:32:29
AD,Andorra,750,45,499,2020-05-04T22:32:33
AD,Andorra,751,46,514,2020-05-05T23:32:29
AD,Andorra,751,46,521,2020-05-06T23:32:28
AD,Andorra,752,47,526,2020-05-07T22:32:32
AD,Andorra,752,47,537,2020-05-08T23:32:35
AD,Andorra,754,48,545,2020-05-09T23:32:33
AD,Andorra,755,48,550,2020-05-10T23:32:32
AD,Andorra,755,48,550,2020-05-11T23:32:30
AD,Andorra,758,48,568,2020-05-12T23:32:26
AD,Andorra,760,49,576,2020-05-13T23:32:26
AD,Andorra,761,49,596,2020-05-14T23:32:28
AD,Andorra,761,49,604,2020-05-15T23:32:20
AD,Andorra,761,51,615,2020-05-16T23:32:19
AD,Andorra,761,51,617,2020-05-17T23:32:23
AD,Andorra,761,51,624,2020-05-18T23:32:29
AD,Andorra,761,51,628,2020-05-19T23:32:20
AD,Andorra,762,51,639,2020-05-20T23:32:52
AD,Andorra,762,51,639,2020-05-21T23:32:39
AD,Andorra,762,51,652,2020-05-22T23:32:40
AD,Andorra,762,51,653,2020-05-23T19:06:14
