country,name,cases,deaths,recovered,last_update
AE,United Arab Emirates,4,0,0,2020-01-29T19:30:00
AE,United Arab Emirates,4,0,0,2020-01-30T16:00:00
AE,United Arab Emirates,4,0,0,2020-01-31T08:15:00
AE,United Arab Emirates,4,0,0,2020-01-31T23:59:00
AE,United Arab Emirates,5,0,0,2020-02-02T05:43:01
AE,United Arab Emirates,7,0,0,2020-02-08T07:03:16
AE,United Arab Emirates,8,0,0,2020-02-10T23:03:09
AE,United Arab Emirates,8,0,1,2020-02-12T00:33:02
AE,United Arab Emirates,8,0,3,2020-02-15T06:03:03
AE,United Arab Emirates,9,0,4,2020-02-16T20:43:02
AE,United Arab Emirates,13,0,4,2020-02-22T14:53:02
AE,United Arab Emirates,19,0,5,2020-02-28T04:13:09
AE,United Arab Emirates,21,0,5,2020-02-29T12:33:03
AE,United Arab Emirates,27,0,5,2020-03-03T23:43:02
AE,United Arab Emirates,29,0,5,2020-03-05T23:53:02
AE,United Arab Emirates,45,0,7,2020-03-07T10:13:22
AE,United Arab Emirates,74,0,12,2020-03-10T11:13:12
AE,United Arab Emirates,85,0,17,2020-03-11T20:00:00
AE,United Arab Emirates,74,0,17,2020-03-11T20:53:02
AE,United Arab Emirates,85,0,17,2020-03-12T21:39:09
AE,United Arab Emirates,85,0,17,2020-03-13T22:21:58
AE,United Arab Emirates,98,0,23,2020-03-15T18:20:18
AE,United Arab Emirates,98,0,23,2020-03-16T00:22:11
AE,United Arab Emirates,113,0,26,2020-03-18T02:33:06
AE,United Arab Emirates,140,0,31,2020-03-19T16:13:36
AE,United Arab Emirates,140,2,31,2020-03-20T23:13:09
AE,United Arab Emirates,153,2,38,2020-03-21T17:43:03
AE,United Arab Emirates,153,2,38,2020-03-22T23:45:00
AE,United Arab Emirates,198,2,41,2020-03-23T23:19:21
AE,United Arab Emirates,248,2,45,2020-03-24T23:37:15
AE,United Arab Emirates,333,2,52,2020-03-25T23:33:04
AE,United Arab Emirates,333,2,52,2020-03-26T23:48:18
AE,United Arab Emirates,405,2,52,2020-03-27T23:23:03
AE,United Arab Emirates,468,2,52,2020-03-28T23:05:25
AE,United Arab Emirates,570,3,58,2020-03-29T23:08:13
AE,United Arab Emirates,611,5,61,2020-03-30T22:52:33
AE,United Arab Emirates,664,6,61,2020-03-31T23:43:43
AE,United Arab Emirates,814,8,61,2020-04-01T21:58:34
AE,United Arab Emirates,1024,8,96,2020-04-02T23:25:14
AE,United Arab Emirates,1264,9,108,2020-04-03T23:56:18
AE,United Arab Emirates,1505,10,125,2020-04-04T23:34:04
AE,United Arab Emirates,1799,10,144,2020-04-05T23:06:26
AE,United Arab Emirates,2076,11,167,2020-04-06T23:21:55
AE,United Arab Emirates,2359,12,186,2020-04-07T23:04:29
AE,United Arab Emirates,2659,12,239,2020-04-08T22:51:39
AE,United Arab Emirates,2990,14,268,2020-04-09T23:02:19
AE,United Arab Emirates,3360,16,418,2020-04-10T22:53:48
AE,United Arab Emirates,3736,20,588,2020-04-11T23:56:45
AE,United Arab Emirates,3736,20,588,2020-04-12T03:31:35
AE,United Arab Emirates,4521,25,852,2020-04-13T23:07:34
AE,United Arab Emirates,4933,28,933,2020-04-14T23:33:12
AE,United Arab Emirates,5365,33,1034,2020-04-15T22:56:32
AE,United Arab Emirates,5825,35,1095,2020-04-16T23:30:31
AE,United Arab Emirates,6302,37,1188,2020-04-17T23:30:32
AE,United Arab Emirates,6302,37,1188,2020-04-18T22:32:28
AE,United Arab Emirates,6781,41,1286,2020-04-19T23:40:41
AE,United Arab Emirates,7265,43,1360,2020-04-20T23:36:27
AE,United Arab Emirates,7755,46,1443,2020-04-21T23:30:30
AE,United Arab Emirates,8238,52,1546,2020-04-22T23:30:32
AE,United Arab Emirates,8756,56,1637,2020-04-23T23:30:31
AE,United Arab Emirates,9281,64,1760,2020-04-24T21:30:34
AE,United Arab Emirates,9813,71,1887,2020-04-25T23:30:33
AE,United Arab Emirates,10349,76,1978,2020-04-26T23:30:31
AE,United Arab Emirates,10839,82,2090,2020-04-27T23:30:31
AE,United Arab Emirates,11380,89,2181,2020-04-28T23:32:24
AE,United Arab Emirates,11929,98,2329,2020-04-29T23:32:26
AE,United Arab Emirates,12481,105,2429,2020-04-30T23:32:27
AE,United Arab Emirates,13038,111,2543,2020-05-01T23:32:36
AE,United Arab Emirates,13599,119,2664,2020-05-02T23:32:31
AE,United Arab Emirates,14163,126,2763,2020-05-03T23:32:29
AE,United Arab Emirates,14730,137,2966,2020-05-04T22:32:33
AE,United Arab Emirates,15192,146,3153,2020-05-05T23:32:29
AE,United Arab Emirates,15738,157,3359,2020-05-06T23:32:28
AE,United Arab Emirates,16240,165,3572,2020-05-07T22:32:32
AE,United Arab Emirates,16793,174,3837,2020-05-08T23:32:35
AE,United Arab Emirates,17417,185,4295,2020-05-09T23:32:33
AE,United Arab Emirates,18198,198,4804,2020-05-10T23:32:32
AE,United Arab Emirates,18878,201,5381,2020-05-11T23:32:30
AE,United Arab Emirates,19661,203,6012,2020-05-12T23:32:26
AE,United Arab Emirates,20386,206,6523,2020-05-13T23:32:26
AE,United Arab Emirates,21084,208,6930,2020-05-14T23:32:28
AE,United Arab Emirates,21831,210,7328,2020-05-15T23:32:20
AE,United Arab Emirates,22627,214,7931,2020-05-16T23:32:19
AE,United Arab Emirates,23358,220,8512,2020-05-17T23:32:23
AE,United Arab Emirates,24190,224,9577,2020-05-18T18:01:58
