country,name,cases,deaths,recovered,last_update
AF,Afghanistan,1,0,0,2020-02-24T23:33:02
AF,Afghanistan,4,0,0,2020-03-08T04:53:03
AF,Afghanistan,5,0,0,2020-03-10T12:33:02
AF,Afghanistan,7,0,0,2020-03-11T10:13:12
AF,Afghanistan,7,0,0,2020-03-11T20:00:00
AF,Afghanistan,11,0,0,2020-03-14T14:53:04
AF,Afghanistan,16,0,0,2020-03-15T18:20:18
AF,Afghanistan,21,0,1,2020-03-16T14:38:45
AF,Afghanistan,22,0,1,2020-03-17T11:53:10
AF,Afghanistan,24,0,1,2020-03-20T14:43:04
AF,Afghanistan,40,1,1,2020-03-22T23:45:00
AF,Afghanistan,40,1,1,2020-03-23T23:19:21
AF,Afghanistan,74,1,1,2020-03-24T23:37:15
AF,Afghanistan,84,2,2,2020-03-25T23:33:04
AF,Afghanistan,94,4,2,2020-03-26T23:48:18
AF,Afghanistan,110,4,2,2020-03-27T23:23:03
AF,Afghanistan,110,4,2,2020-03-28T23:05:25
AF,Afghanistan,120,4,2,2020-03-29T23:08:13
AF,Afghanistan,170,4,2,2020-03-30T22:52:33
AF,Afghanistan,174,4,5,2020-03-31T23:43:43
AF,Afghanistan,237,4,5,2020-04-01T21:58:34
AF,Afghanistan,273,6,10,2020-04-02T23:25:14
AF,Afghanistan,281,6,10,2020-04-03T23:56:18
AF,Afghanistan,299,7,10,2020-04-04T23:34:04
AF,Afghanistan,349,7,15,2020-04-05T23:06:26
AF,Afghanistan,367,11,18,2020-04-06T23:21:55
AF,Afghanistan,423,14,18,2020-04-07T23:04:29
AF,Afghanistan,444,14,29,2020-04-08T22:51:39
AF,Afghanistan,484,15,32,2020-04-09T23:02:19
AF,Afghanistan,521,15,32,2020-04-10T22:53:48
AF,Afghanistan,555,18,32,2020-04-11T23:56:45
AF,Afghanistan,555,18,32,2020-04-12T03:31:35
AF,Afghanistan,665,21,32,2020-04-13T23:07:34
AF,Afghanistan,714,23,40,2020-04-14T23:33:12
AF,Afghanistan,784,25,43,2020-04-15T22:56:32
AF,Afghanistan,840,30,54,2020-04-16T23:30:31
AF,Afghanistan,906,30,99,2020-04-17T23:30:32
AF,Afghanistan,933,30,112,2020-04-18T22:32:28
AF,Afghanistan,996,33,131,2020-04-19T23:40:41
AF,Afghanistan,1026,36,135,2020-04-20T23:36:27
AF,Afghanistan,1092,36,150,2020-04-21T23:30:30
AF,Afghanistan,1176,40,166,2020-04-22T23:30:32
AF,Afghanistan,1279,42,179,2020-04-23T23:30:31
AF,Afghanistan,1351,43,188,2020-04-24T21:30:34
AF,Afghanistan,1463,47,188,2020-04-25T23:30:33
AF,Afghanistan,1531,50,207,2020-04-26T23:30:31
AF,Afghanistan,1703,57,220,2020-04-27T23:30:31
AF,Afghanistan,1828,58,228,2020-04-28T23:32:24
AF,Afghanistan,1939,60,252,2020-04-29T23:32:26
AF,Afghanistan,2171,64,260,2020-04-30T23:32:27
AF,Afghanistan,2335,68,310,2020-05-01T23:32:36
AF,Afghanistan,2469,72,331,2020-05-02T23:32:31
AF,Afghanistan,2704,85,345,2020-05-03T23:32:29
AF,Afghanistan,2894,90,397,2020-05-04T22:32:33
AF,Afghanistan,3224,95,421,2020-05-05T23:32:29
AF,Afghanistan,3392,104,458,2020-05-06T23:32:28
AF,Afghanistan,3563,106,468,2020-05-07T22:32:32
AF,Afghanistan,3778,109,472,2020-05-08T23:32:35
AF,Afghanistan,4033,115,502,2020-05-09T23:32:33
AF,Afghanistan,4402,120,558,2020-05-10T23:32:32
AF,Afghanistan,4687,122,558,2020-05-11T23:32:30
AF,Afghanistan,4963,127,610,2020-05-12T23:32:26
AF,Afghanistan,5226,132,648,2020-05-13T23:32:26
AF,Afghanistan,5639,136,691,2020-05-14T23:32:28
AF,Afghanistan,6053,153,745,2020-05-15T23:32:20
AF,Afghanistan,6402,168,745,2020-05-16T23:32:19
AF,Afghanistan,6664,169,778,2020-05-17T23:32:23
AF,Afghanistan,7072,173,801,2020-05-18T23:32:29
AF,Afghanistan,7653,178,850,2020-05-19T14:32:25
