country,name,cases,deaths,recovered,last_update
AG,Antigua and Barbuda,1,0,0,2020-03-11T20:00:00
AG,Antigua and Barbuda,1,0,0,2020-03-13T22:22:06
AG,Antigua and Barbuda,1,0,0,2020-03-15T18:20:19
AG,Antigua and Barbuda,1,0,0,2020-03-22T23:45:00
AG,Antigua and Barbuda,3,0,0,2020-03-23T23:19:21
AG,Antigua and Barbuda,3,0,0,2020-03-24T23:37:15
AG,Antigua and Barbuda,3,0,0,2020-03-25T23:33:04
AG,Antigua and Barbuda,7,0,0,2020-03-26T23:48:18
AG,Antigua and Barbuda,7,0,0,2020-03-27T23:23:03
AG,Antigua and Barbuda,7,0,0,2020-03-28T23:05:25
AG,Antigua and Barbuda,7,0,0,2020-03-29T23:08:13
AG,Antigua and Barbuda,7,0,0,2020-03-30T22:52:33
AG,Antigua and Barbuda,7,0,0,2020-03-31T23:43:43
AG,Antigua and Barbuda,7,0,0,2020-04-01T21:58:34
AG,Antigua and Barbuda,9,0,0,2020-04-02T23:25:14
AG,Antigua and Barbuda,15,0,0,2020-04-03T23:56:18
AG,Antigua and Barbuda,15,0,0,2020-04-04T23:34:04
AG,Antigua and Barbuda,15,0,0,2020-04-05T23:06:26
AG,Antigua and Barbuda,15,0,0,2020-04-06T23:21:55
AG,Antigua and Barbuda,19,1,0,2020-04-07T23:04:29
AG,Antigua and Barbuda,19,2,0,2020-04-08T22:51:39
AG,Antigua and Barbuda,19,2,0,2020-04-09T23:02:19
AG,Antigua and Barbuda,19,2,0,2020-04-10T22:53:48
AG,Antigua and Barbuda,21,2,0,2020-04-11T23:56:45
AG,Antigua and Barbuda,21,2,0,2020-04-12T03:31:35
AG,Antigua and Barbuda,23,2,0,2020-04-13T23:07:34
AG,Antigua and Barbuda,23,2,3,2020-04-14T23:33:12
AG,Antigua and Barbuda,23,2,3,2020-04-15T22:56:32
AG,Antigua and Barbuda,23,3,3,2020-04-16T23:30:31
AG,Antigua and Barbuda,23,3,3,2020-04-17T23:30:32
AG,Antigua and Barbuda,23,3,3,2020-04-18T22:32:28
AG,Antigua and Barbuda,23,3,3,2020-04-19T23:40:41
AG,Antigua and Barbuda,23,3,3,2020-04-20T23:36:27
AG,Antigua and Barbuda,23,3,7,2020-04-21T23:30:30
AG,Antigua and Barbuda,24,3,10,2020-04-22T23:30:32
AG,Antigua and Barbuda,24,3,10,2020-04-23T23:30:31
AG,Antigua and Barbuda,24,3,10,2020-04-24T21:30:34
AG,Antigua and Barbuda,24,3,11,2020-04-25T23:30:33
AG,Antigua and Barbuda,24,3,11,2020-04-26T23:30:31
AG,Antigua and Barbuda,24,3,11,2020-04-27T23:30:31
AG,Antigua and Barbuda,24,3,11,2020-04-28T23:32:24
AG,Antigua and Barbuda,24,3,11,2020-04-29T23:32:26
AG,Antigua and Barbuda,24,3,11,2020-04-30T23:32:27
AG,Antigua and Barbuda,25,3,15,2020-05-01T23:32:36
AG,Antigua and Barbuda,25,3,15,2020-05-02T23:32:31
AG,Antigua and Barbuda,25,3,15,2020-05-03T23:32:29
AG,Antigua and Barbuda,25,3,15,2020-05-04T22:32:33
AG,Antigua and Barbuda,25,3,16,2020-05-05T23:32:29
AG,Antigua and Barbuda,25,3,16,2020-05-06T23:32:28
AG,Antigua and Barbuda,25,3,16,2020-05-07T22:32:32
AG,Antigua and Barbuda,25,3,16,2020-05-08T23:32:35
AG,Antigua and Barbuda,25,3,19,2020-05-09T23:32:33
AG,Antigua and Barbuda,25,3,19,2020-05-10T23:32:32
AG,Antigua and Barbuda,25,3,19,2020-05-11T23:32:30
AG,Antigua and Barbuda,25,3,19,2020-05-12T23:32:26
AG,Antigua and Barbuda,25,3,19,2020-05-13T23:32:26
AG,Antigua and Barbuda,25,3,19,2020-05-14T23:32:28
AG,Antigua and Barbuda,25,3,19,2020-05-15T23:32:20
AG,Antigua and Barbuda,25,3,19,2020-05-16T23:32:19
AG,Antigua and Barbuda,25,3,19,2020-05-17T23:32:23
AG,Antigua and Barbuda,25,3,19,2020-05-18T18:01:58
