country,name,cases,deaths,recovered,last_update
AL,Albania,2,0,0,2020-03-09T09:03:03
AL,Albania,10,0,0,2020-03-10T12:53:02
AL,Albania,12,1,0,2020-03-11T13:33:11
AL,Albania,33,1,0,2020-03-11T20:00:00
AL,Albania,23,1,0,2020-03-12T21:39:09
AL,Albania,38,1,0,2020-03-14T12:33:03
AL,Albania,42,1,0,2020-03-15T18:20:18
AL,Albania,51,1,0,2020-03-16T14:38:45
AL,Albania,55,1,0,2020-03-17T15:53:12
AL,Albania,59,2,0,2020-03-18T12:33:03
AL,Albania,64,2,0,2020-03-19T11:33:30
AL,Albania,70,2,0,2020-03-20T15:13:21
AL,Albania,76,2,2,2020-03-21T12:43:08
AL,Albania,89,2,2,2020-03-22T23:45:00
AL,Albania,104,4,2,2020-03-23T23:19:21
AL,Albania,123,5,10,2020-03-24T23:37:15
AL,Albania,146,5,17,2020-03-25T23:33:04
AL,Albania,174,6,17,2020-03-26T23:48:18
AL,Albania,186,8,31,2020-03-27T23:23:03
AL,Albania,197,10,31,2020-03-28T23:05:25
AL,Albania,212,10,33,2020-03-29T23:08:13
AL,Albania,223,11,44,2020-03-30T22:52:33
AL,Albania,243,15,52,2020-03-31T23:43:43
AL,Albania,259,15,67,2020-04-01T21:58:34
AL,Albania,277,16,76,2020-04-02T23:25:14
AL,Albania,304,17,89,2020-04-03T23:56:18
AL,Albania,333,20,99,2020-04-04T23:34:04
AL,Albania,361,20,104,2020-04-05T23:06:26
AL,Albania,377,21,116,2020-04-06T23:21:55
AL,Albania,383,22,131,2020-04-07T23:04:29
AL,Albania,400,22,154,2020-04-08T22:51:39
AL,Albania,409,23,165,2020-04-09T23:02:19
AL,Albania,416,23,182,2020-04-10T22:53:48
AL,Albania,433,23,197,2020-04-11T23:56:45
AL,Albania,433,23,197,2020-04-12T03:31:35
AL,Albania,467,23,232,2020-04-13T23:07:34
AL,Albania,475,24,248,2020-04-14T23:33:12
AL,Albania,494,25,251,2020-04-15T22:56:32
AL,Albania,518,26,277,2020-04-16T23:30:31
AL,Albania,539,26,283,2020-04-17T23:30:32
AL,Albania,548,26,302,2020-04-18T22:32:28
AL,Albania,562,26,314,2020-04-19T23:40:41
AL,Albania,584,26,327,2020-04-20T23:36:27
AL,Albania,609,26,345,2020-04-21T23:30:30
AL,Albania,634,27,356,2020-04-22T23:30:32
AL,Albania,663,27,385,2020-04-23T23:30:31
AL,Albania,678,27,394,2020-04-24T21:30:34
AL,Albania,712,27,403,2020-04-25T23:30:33
AL,Albania,726,28,410,2020-04-26T23:30:31
AL,Albania,736,28,422,2020-04-27T23:30:31
AL,Albania,750,30,431,2020-04-28T23:32:24
AL,Albania,766,30,455,2020-04-29T23:32:26
AL,Albania,773,31,470,2020-04-30T23:32:27
AL,Albania,782,31,488,2020-05-01T23:32:36
AL,Albania,789,31,519,2020-05-02T23:32:31
AL,Albania,795,31,531,2020-05-03T23:32:29
AL,Albania,803,31,543,2020-05-04T22:32:33
AL,Albania,820,31,570,2020-05-05T23:32:29
AL,Albania,832,31,595,2020-05-06T23:32:28
AL,Albania,842,31,605,2020-05-07T22:32:32
AL,Albania,850,31,620,2020-05-08T23:32:35
AL,Albania,856,31,627,2020-05-09T23:32:33
AL,Albania,868,31,650,2020-05-10T23:32:32
AL,Albania,872,31,654,2020-05-11T23:32:30
AL,Albania,876,31,682,2020-05-12T23:32:26
AL,Albania,880,31,688,2020-05-13T23:32:26
AL,Albania,898,31,694,2020-05-14T23:32:28
AL,Albania,916,31,705,2020-05-15T23:32:20
AL,Albania,933,31,714,2020-05-16T23:32:19
AL,Albania,946,31,715,2020-05-17T23:32:23
AL,Albania,948,31,727,2020-05-18T23:32:29
AL,Albania,949,31,742,2020-05-19T23:32:20
AL,Albania,964,31,758,2020-05-20T23:32:52
AL,Albania,969,31,771,2020-05-21T23:32:39
AL,Albania,981,31,777,2020-05-22T12:32:39
