country,name,cases,deaths,recovered,last_update
AR,Argentina,1,0,0,2020-03-03T17:43:02
AR,Argentina,1,0,0,2020-03-04T01:33:07
AR,Argentina,2,0,0,2020-03-06T01:29:39
AR,Argentina,8,0,0,2020-03-07T02:13:09
AR,Argentina,12,1,0,2020-03-08T22:03:11
AR,Argentina,17,1,0,2020-03-10T05:13:07
AR,Argentina,19,1,0,2020-03-11T02:18:16
AR,Argentina,31,2,0,2020-03-11T20:00:00
AR,Argentina,34,2,1,2020-03-14T20:33:03
AR,Argentina,45,2,1,2020-03-15T18:20:18
AR,Argentina,56,2,1,2020-03-16T14:38:45
AR,Argentina,68,2,3,2020-03-17T15:53:12
AR,Argentina,79,2,3,2020-03-18T03:33:03
AR,Argentina,97,3,3,2020-03-19T10:53:03
AR,Argentina,128,3,3,2020-03-20T02:43:10
AR,Argentina,158,4,3,2020-03-21T15:13:44
AR,Argentina,266,4,27,2020-03-22T23:45:00
AR,Argentina,266,4,27,2020-03-23T23:19:21
AR,Argentina,387,6,52,2020-03-24T23:37:15
AR,Argentina,387,8,52,2020-03-25T23:33:04
AR,Argentina,502,9,63,2020-03-26T23:48:18
AR,Argentina,589,13,72,2020-03-27T23:23:03
AR,Argentina,690,18,72,2020-03-28T23:05:25
AR,Argentina,745,19,72,2020-03-29T23:08:13
AR,Argentina,820,23,228,2020-03-30T22:52:33
AR,Argentina,1054,27,240,2020-03-31T23:43:43
AR,Argentina,1054,28,248,2020-04-01T21:58:34
AR,Argentina,1133,36,256,2020-04-02T23:25:14
AR,Argentina,1353,42,266,2020-04-03T23:56:18
AR,Argentina,1451,43,279,2020-04-04T23:34:04
AR,Argentina,1451,44,280,2020-04-05T23:06:26
AR,Argentina,1554,48,325,2020-04-06T23:21:55
AR,Argentina,1628,56,338,2020-04-07T23:04:29
AR,Argentina,1715,63,358,2020-04-08T22:51:39
AR,Argentina,1795,72,365,2020-04-09T23:02:19
AR,Argentina,1975,82,375,2020-04-10T22:53:48
AR,Argentina,1975,83,440,2020-04-11T23:56:45
AR,Argentina,2142,89,440,2020-04-12T03:31:35
AR,Argentina,2208,97,515,2020-04-13T23:07:34
AR,Argentina,2277,102,559,2020-04-14T23:33:12
AR,Argentina,2443,111,596,2020-04-15T22:56:32
AR,Argentina,2571,115,631,2020-04-16T23:30:31
AR,Argentina,2669,123,666,2020-04-17T23:30:32
AR,Argentina,2758,129,685,2020-04-18T22:32:28
AR,Argentina,2839,132,709,2020-04-19T23:40:41
AR,Argentina,2941,136,737,2020-04-20T23:36:27
AR,Argentina,3031,147,840,2020-04-21T23:30:30
AR,Argentina,3144,152,872,2020-04-22T23:30:32
AR,Argentina,3288,159,919,2020-04-23T23:30:31
AR,Argentina,3435,167,976,2020-04-24T21:30:34
AR,Argentina,3607,179,1030,2020-04-25T23:30:33
AR,Argentina,3780,187,1107,2020-04-26T23:30:31
AR,Argentina,3892,192,1140,2020-04-27T23:30:31
AR,Argentina,4003,197,1140,2020-04-28T23:32:24
AR,Argentina,4285,214,1192,2020-04-29T23:32:26
AR,Argentina,4285,216,1256,2020-04-30T23:32:27
AR,Argentina,4428,220,1292,2020-05-01T23:32:36
AR,Argentina,4532,229,1320,2020-05-02T23:32:31
AR,Argentina,4681,241,1354,2020-05-03T23:32:29
AR,Argentina,4783,249,1442,2020-05-04T22:32:33
AR,Argentina,4887,262,1472,2020-05-05T23:32:29
AR,Argentina,5020,264,1524,2020-05-06T23:32:28
AR,Argentina,5208,273,1601,2020-05-07T22:32:32
AR,Argentina,5611,293,1659,2020-05-08T23:32:35
AR,Argentina,5766,300,1728,2020-05-09T23:32:33
AR,Argentina,6034,305,1757,2020-05-10T23:32:32
AR,Argentina,6278,314,1837,2020-05-11T23:32:30
AR,Argentina,6563,319,1862,2020-05-12T23:32:26
AR,Argentina,6879,329,2266,2020-05-13T23:32:26
AR,Argentina,7134,353,2385,2020-05-14T23:32:28
AR,Argentina,7134,353,2497,2020-05-15T23:32:20
AR,Argentina,7805,363,2534,2020-05-16T23:32:19
AR,Argentina,8068,373,2569,2020-05-17T23:32:23
AR,Argentina,8068,374,2625,2020-05-18T18:01:58
