country,name,cases,deaths,recovered,last_update
AT,Austria,2,0,0,2020-02-25T18:55:32
AT,Austria,2,0,0,2020-02-26T00:13:06
AT,Austria,3,0,0,2020-02-27T14:03:03
AT,Austria,9,0,0,2020-02-29T14:43:03
AT,Austria,14,0,0,2020-03-01T23:33:03
AT,Austria,18,0,0,2020-03-02T21:23:04
AT,Austria,21,0,0,2020-03-03T15:13:26
AT,Austria,29,0,0,2020-03-04T19:33:03
AT,Austria,41,0,0,2020-03-05T17:53:02
AT,Austria,55,0,0,2020-03-06T16:33:04
AT,Austria,79,0,0,2020-03-07T17:53:03
AT,Austria,104,0,0,2020-03-08T09:13:14
AT,Austria,131,0,2,2020-03-09T18:33:03
AT,Austria,182,0,4,2020-03-10T16:13:16
AT,Austria,504,1,6,2020-03-11T20:00:00
AT,Austria,246,0,4,2020-03-11T22:33:03
AT,Austria,302,1,4,2020-03-12T11:13:29
AT,Austria,655,1,6,2020-03-14T16:13:55
AT,Austria,860,1,6,2020-03-15T18:20:18
AT,Austria,1018,3,6,2020-03-16T15:13:09
AT,Austria,1332,3,1,2020-03-17T15:33:06
AT,Austria,1646,4,9,2020-03-18T14:53:05
AT,Austria,2013,6,9,2020-03-19T14:53:05
AT,Austria,2388,6,9,2020-03-20T15:43:24
AT,Austria,2814,8,9,2020-03-21T14:43:03
AT,Austria,3580,16,9,2020-03-22T23:45:00
AT,Austria,4474,21,9,2020-03-23T23:19:21
AT,Austria,5283,28,9,2020-03-24T23:37:15
AT,Austria,5588,30,9,2020-03-25T23:33:04
AT,Austria,6909,49,112,2020-03-26T23:48:18
AT,Austria,7657,58,225,2020-03-27T23:23:03
AT,Austria,8271,68,225,2020-03-28T23:05:25
AT,Austria,8788,86,479,2020-03-29T23:08:13
AT,Austria,9618,108,636,2020-03-30T22:52:33
AT,Austria,10180,128,1095,2020-03-31T23:43:43
AT,Austria,10711,146,1436,2020-04-01T21:58:34
AT,Austria,11129,158,1749,2020-04-02T23:25:14
AT,Austria,11524,168,2022,2020-04-03T23:56:18
AT,Austria,11781,186,2507,2020-04-04T23:34:04
AT,Austria,12051,204,2998,2020-04-05T23:06:26
AT,Austria,12297,220,3463,2020-04-06T23:21:55
AT,Austria,12639,243,4046,2020-04-07T23:04:29
AT,Austria,12942,273,4512,2020-04-08T22:51:39
AT,Austria,13244,295,5240,2020-04-09T23:02:19
AT,Austria,13555,319,6064,2020-04-10T22:53:48
AT,Austria,13806,337,6604,2020-04-11T23:56:45
AT,Austria,13806,337,6604,2020-04-12T03:31:35
AT,Austria,14041,368,7343,2020-04-13T23:07:34
AT,Austria,14226,384,7633,2020-04-14T23:33:12
AT,Austria,14336,393,8098,2020-04-15T22:56:32
AT,Austria,14476,410,8986,2020-04-16T23:30:31
AT,Austria,14595,431,9704,2020-04-17T23:30:32
AT,Austria,14671,443,10214,2020-04-18T22:32:28
AT,Austria,14749,452,10501,2020-04-19T23:40:41
AT,Austria,14795,470,10631,2020-04-20T23:36:27
AT,Austria,14873,491,10971,2020-04-21T23:30:30
AT,Austria,14925,510,11328,2020-04-22T23:30:32
AT,Austria,15002,522,11694,2020-04-23T23:30:31
AT,Austria,15071,530,11872,2020-04-24T21:30:34
AT,Austria,15148,536,12103,2020-04-25T23:30:33
AT,Austria,15225,542,12282,2020-04-26T23:30:31
AT,Austria,15274,549,12362,2020-04-27T23:30:31
AT,Austria,15357,569,12580,2020-04-28T23:32:24
AT,Austria,15402,580,12779,2020-04-29T23:32:26
AT,Austria,15452,584,12907,2020-04-30T23:32:27
AT,Austria,15531,589,13110,2020-05-01T23:32:36
AT,Austria,15558,596,13180,2020-05-02T23:32:31
AT,Austria,15597,598,13228,2020-05-03T23:32:29
AT,Austria,15621,600,13316,2020-05-04T22:32:33
AT,Austria,15650,606,13462,2020-05-05T23:32:29
AT,Austria,15684,608,13639,2020-05-06T23:32:28
AT,Austria,15752,609,13698,2020-05-07T22:32:32
AT,Austria,15774,614,13836,2020-05-08T23:32:35
AT,Austria,15833,615,13928,2020-05-09T23:32:33
AT,Austria,15871,618,13991,2020-05-10T23:32:32
AT,Austria,15882,620,14061,2020-05-11T23:32:30
AT,Austria,15961,623,14148,2020-05-12T23:32:26
AT,Austria,15997,624,14304,2020-05-13T23:32:26
AT,Austria,16058,626,14405,2020-05-14T23:32:28
AT,Austria,16109,628,14471,2020-05-15T23:32:20
AT,Austria,16201,629,14524,2020-05-16T23:32:19
AT,Austria,16242,629,14563,2020-05-17T23:32:23
AT,Austria,16269,629,14614,2020-05-18T23:32:29
AT,Austria,16321,632,14678,2020-05-19T14:32:25
