country,name,cases,deaths,recovered,last_update
AU,Australia,0,0,0,2020-01-23T17:00:00
AU,Australia,4,0,0,2020-01-25T17:00:00
AU,Australia,4,0,0,2020-01-26T16:00:00
AU,Australia,5,0,0,2020-01-27T23:59:00
AU,Australia,5,0,0,2020-01-28T23:00:00
AU,Australia,5,0,0,2020-01-29T19:30:00
AU,Australia,9,0,2,2020-01-30T16:00:00
AU,Australia,9,0,2,2020-01-31T23:59:00
AU,Australia,12,0,2,2020-02-01T18:12:00
AU,Australia,12,0,2,2020-02-02T22:33:07
AU,Australia,13,0,2,2020-02-04T16:53:03
AU,Australia,14,0,2,2020-02-06T03:13:22
AU,Australia,15,0,2,2020-02-07T01:03:02
AU,Australia,15,0,2,2020-02-09T19:33:02
AU,Australia,15,0,8,2020-02-13T17:53:03
AU,Australia,15,0,10,2020-02-17T08:13:09
AU,Australia,19,0,11,2020-02-21T23:03:13
AU,Australia,22,0,11,2020-02-22T17:03:05
AU,Australia,23,0,11,2020-02-27T03:33:06
AU,Australia,25,0,11,2020-02-29T23:13:06
AU,Australia,27,1,11,2020-03-01T23:33:03
AU,Australia,30,1,11,2020-03-02T20:53:02
AU,Australia,39,1,11,2020-03-03T15:23:03
AU,Australia,52,2,11,2020-03-04T21:03:07
AU,Australia,55,2,21,2020-03-05T18:33:03
AU,Australia,60,2,21,2020-03-06T04:53:02
AU,Australia,63,2,21,2020-03-07T02:03:30
AU,Australia,76,4,21,2020-03-08T05:43:04
AU,Australia,91,4,21,2020-03-09T18:53:13
AU,Australia,107,3,21,2020-03-10T14:33:13
AU,Australia,128,3,21,2020-03-11T18:52:04
AU,Australia,200,3,23,2020-03-11T20:00:00
AU,Australia,250,3,23,2020-03-14T13:33:04
AU,Australia,297,3,23,2020-03-15T18:20:19
AU,Australia,377,3,23,2020-03-16T14:38:46
AU,Australia,452,5,23,2020-03-17T12:53:09
AU,Australia,568,6,23,2020-03-18T12:13:10
AU,Australia,681,6,26,2020-03-19T11:13:54
AU,Australia,791,7,26,2020-03-20T21:13:30
AU,Australia,1071,7,26,2020-03-21T13:13:35
AU,Australia,1490,7,92,2020-03-22T23:48:00
AU,Australia,1682,7,119,2020-03-23T23:23:20
AU,Australia,2044,8,119,2020-03-24T23:41:50
AU,Australia,2364,8,119,2020-03-25T23:37:49
AU,Australia,2810,13,172,2020-03-26T23:53:24
AU,Australia,3143,13,194,2020-03-27T23:27:48
AU,Australia,3640,14,244,2020-03-28T23:11:06
AU,Australia,3984,16,244,2020-03-29T23:14:06
AU,Australia,4361,17,257,2020-03-30T22:58:55
AU,Australia,4559,18,358,2020-03-31T23:49:27
AU,Australia,4862,20,422,2020-04-01T22:04:58
AU,Australia,5116,24,520,2020-04-02T23:32:01
AU,Australia,5330,28,649,2020-04-03T22:52:45
AU,Australia,5550,30,701,2020-04-04T23:41:02
AU,Australia,5687,35,757,2020-04-05T23:13:44
AU,Australia,5797,40,1080,2020-04-06T23:28:35
AU,Australia,5895,45,1080,2020-04-07T23:11:31
AU,Australia,6010,50,1080,2020-04-08T22:59:00
AU,Australia,6108,51,1472,2020-04-09T23:09:19
AU,Australia,6215,54,1793,2020-04-10T23:01:43
AU,Australia,6303,57,1806,2020-04-11T22:52:46
AU,Australia,6303,57,1806,2020-04-12T03:39:41
AU,Australia,6351,61,1806,2020-04-13T23:15:42
AU,Australia,6415,62,2186,2020-04-14T23:41:11
AU,Australia,6440,63,2186,2020-04-15T23:04:26
AU,Australia,6462,63,2355,2020-04-16T23:38:19
AU,Australia,6522,66,3808,2020-04-17T23:38:48
AU,Australia,6547,67,4124,2020-04-18T22:40:18
AU,Australia,6547,67,4124,2020-04-19T23:49:05
AU,Australia,6547,67,4124,2020-04-20T23:44:50
AU,Australia,6547,67,4124,2020-04-21T23:39:09
AU,Australia,6547,67,4124,2020-04-22T23:38:57
AU,Australia,6661,75,4124,2020-04-23T23:31:38
AU,Australia,6661,75,4124,2020-04-24T21:31:39
AU,Australia,6694,80,4223,2020-04-25T23:31:22
AU,Australia,6714,83,5541,2020-04-26T23:31:18
AU,Australia,6721,83,5588,2020-04-27T23:31:19
AU,Australia,6741,88,5653,2020-04-28T23:32:24
AU,Australia,6745,91,5704,2020-04-29T23:32:26
AU,Australia,6766,93,5728,2020-04-30T23:32:27
AU,Australia,6765,93,5747,2020-05-01T23:32:36
AU,Australia,6782,94,5808,2020-05-02T23:32:31
AU,Australia,6819,95,5817,2020-05-03T23:32:29
AU,Australia,6825,96,5863,2020-05-04T22:32:33
AU,Australia,6875,97,5975,2020-05-05T23:32:29
AU,Australia,6880,97,6029,2020-05-06T23:32:28
AU,Australia,6900,97,6058,2020-05-07T22:32:32
AU,Australia,6914,97,6079,2020-05-08T23:32:35
AU,Australia,6929,97,6134,2020-05-09T23:32:33
AU,Australia,6941,97,6167,2020-05-10T23:32:32
AU,Australia,6969,97,6211,2020-05-11T23:32:30
AU,Australia,6972,98,6259,2020-05-12T23:32:26
AU,Australia,6979,98,6271,2020-05-13T23:32:26
AU,Australia,6999,98,6311,2020-05-14T23:32:28
AU,Australia,7020,98,6338,2020-05-15T23:32:20
AU,Australia,7036,98,6363,2020-05-16T23:32:19
AU,Australia,7052,99,6391,2020-05-17T23:32:23
AU,Australia,7062,99,6396,2020-05-18T23:32:29
AU,Australia,7072,100,6431,2020-05-19T23:32:20
AU,Australia,7083,100,6462,2020-05-20T23:32:52
AU,Australia,7095,101,6478,2020-05-21T23:32:39
AU,Australia,7095,101,6479,2020-05-22T23:32:40
AU,Australia,7111,102,6494,2020-05-23T19:06:14
