country,name,cases,deaths,recovered,last_update
AZ,Azerbaijan,1,0,0,2020-02-28T15:03:26
AZ,Azerbaijan,3,0,0,2020-03-01T02:43:03
AZ,Azerbaijan,6,0,0,2020-03-05T13:53:03
AZ,Azerbaijan,9,0,0,2020-03-07T02:13:09
AZ,Azerbaijan,11,0,0,2020-03-10T16:13:27
AZ,Azerbaijan,11,0,3,2020-03-11T08:13:09
AZ,Azerbaijan,15,1,3,2020-03-11T20:00:00
AZ,Azerbaijan,15,1,3,2020-03-13T12:13:36
AZ,Azerbaijan,15,1,6,2020-03-16T14:38:45
AZ,Azerbaijan,28,1,6,2020-03-17T11:53:10
AZ,Azerbaijan,44,1,6,2020-03-19T16:13:36
AZ,Azerbaijan,53,1,11,2020-03-21T20:43:03
AZ,Azerbaijan,65,1,11,2020-03-22T23:45:00
AZ,Azerbaijan,72,1,10,2020-03-23T23:19:21
AZ,Azerbaijan,87,1,10,2020-03-24T23:37:15
AZ,Azerbaijan,93,2,10,2020-03-25T23:33:04
AZ,Azerbaijan,122,3,15,2020-03-26T23:48:18
AZ,Azerbaijan,165,3,15,2020-03-27T23:23:03
AZ,Azerbaijan,182,4,15,2020-03-28T23:05:25
AZ,Azerbaijan,209,4,15,2020-03-29T23:08:13
AZ,Azerbaijan,273,4,26,2020-03-30T22:52:33
AZ,Azerbaijan,298,5,26,2020-03-31T23:43:43
AZ,Azerbaijan,359,5,26,2020-04-01T21:58:34
AZ,Azerbaijan,400,5,26,2020-04-02T23:25:14
AZ,Azerbaijan,443,5,32,2020-04-03T23:56:18
AZ,Azerbaijan,521,5,32,2020-04-04T23:34:04
AZ,Azerbaijan,584,7,32,2020-04-05T23:06:26
AZ,Azerbaijan,641,7,44,2020-04-06T23:21:55
AZ,Azerbaijan,717,8,44,2020-04-07T23:04:29
AZ,Azerbaijan,822,8,63,2020-04-08T22:51:39
AZ,Azerbaijan,926,9,101,2020-04-09T23:02:19
AZ,Azerbaijan,991,10,159,2020-04-10T22:53:48
AZ,Azerbaijan,1058,11,200,2020-04-11T23:56:45
AZ,Azerbaijan,1058,11,200,2020-04-12T03:31:35
AZ,Azerbaijan,1148,12,289,2020-04-13T23:07:34
AZ,Azerbaijan,1197,13,351,2020-04-14T23:33:12
AZ,Azerbaijan,1253,13,404,2020-04-15T22:56:32
AZ,Azerbaijan,1283,15,460,2020-04-16T23:30:31
AZ,Azerbaijan,1340,15,528,2020-04-17T23:30:32
AZ,Azerbaijan,1373,18,590,2020-04-18T22:32:28
AZ,Azerbaijan,1398,19,712,2020-04-19T23:40:41
AZ,Azerbaijan,1436,19,791,2020-04-20T23:36:27
AZ,Azerbaijan,1480,20,865,2020-04-21T23:30:30
AZ,Azerbaijan,1518,20,907,2020-04-22T23:30:32
AZ,Azerbaijan,1548,20,948,2020-04-23T23:30:31
AZ,Azerbaijan,1592,21,1013,2020-04-24T21:30:34
AZ,Azerbaijan,1617,21,1080,2020-04-25T23:30:33
AZ,Azerbaijan,1645,21,1139,2020-04-26T23:30:31
AZ,Azerbaijan,1678,22,1162,2020-04-27T23:30:31
AZ,Azerbaijan,1717,22,1221,2020-04-28T23:32:24
AZ,Azerbaijan,1766,23,1267,2020-04-29T23:32:26
AZ,Azerbaijan,1804,24,1325,2020-04-30T23:32:27
AZ,Azerbaijan,1854,25,1365,2020-05-01T23:32:36
AZ,Azerbaijan,1894,25,1411,2020-05-02T23:32:31
AZ,Azerbaijan,1932,25,1441,2020-05-03T23:32:29
AZ,Azerbaijan,1984,26,1480,2020-05-04T22:32:33
AZ,Azerbaijan,2060,26,1508,2020-05-05T23:32:29
AZ,Azerbaijan,2127,28,1536,2020-05-06T23:32:28
AZ,Azerbaijan,2204,28,1551,2020-05-07T22:32:32
AZ,Azerbaijan,2279,28,1576,2020-05-08T23:32:35
AZ,Azerbaijan,2422,31,1620,2020-05-09T23:32:33
AZ,Azerbaijan,2519,32,1650,2020-05-10T23:32:32
AZ,Azerbaijan,2589,32,1680,2020-05-11T23:32:30
AZ,Azerbaijan,2693,33,1680,2020-05-12T23:32:26
AZ,Azerbaijan,2758,35,1789,2020-05-13T23:32:26
AZ,Azerbaijan,2879,35,1833,2020-05-14T23:32:28
AZ,Azerbaijan,2980,36,1886,2020-05-15T23:32:20
AZ,Azerbaijan,3138,36,1944,2020-05-16T23:32:19
AZ,Azerbaijan,3274,39,2015,2020-05-17T23:32:23
AZ,Azerbaijan,3387,40,2055,2020-05-18T23:32:29
AZ,Azerbaijan,3518,41,2198,2020-05-19T23:32:20
AZ,Azerbaijan,3631,43,2253,2020-05-20T23:32:52
AZ,Azerbaijan,3749,44,2340,2020-05-21T23:32:39
AZ,Azerbaijan,3855,46,2399,2020-05-22T23:32:40
AZ,Azerbaijan,3982,49,2506,2020-05-23T19:06:14
