country,name,cases,deaths,recovered,last_update
BA,Bosnia and Herzegovina,2,0,0,2020-03-05T17:13:30
BA,Bosnia and Herzegovina,3,0,0,2020-03-07T02:13:09
BA,Bosnia and Herzegovina,5,0,0,2020-03-10T05:13:07
BA,Bosnia and Herzegovina,13,0,0,2020-03-11T20:00:00
BA,Bosnia and Herzegovina,7,0,0,2020-03-11T22:13:12
BA,Bosnia and Herzegovina,11,0,0,2020-03-12T09:13:26
BA,Bosnia and Herzegovina,18,0,0,2020-03-14T12:33:03
BA,Bosnia and Herzegovina,24,0,0,2020-03-15T18:20:18
BA,Bosnia and Herzegovina,25,0,0,2020-03-16T21:13:17
BA,Bosnia and Herzegovina,26,0,2,2020-03-17T15:53:12
BA,Bosnia and Herzegovina,38,0,2,2020-03-18T12:13:09
BA,Bosnia and Herzegovina,63,0,2,2020-03-19T17:13:24
BA,Bosnia and Herzegovina,89,0,2,2020-03-20T20:43:02
BA,Bosnia and Herzegovina,93,1,2,2020-03-21T17:43:03
BA,Bosnia and Herzegovina,126,1,2,2020-03-22T23:45:00
BA,Bosnia and Herzegovina,132,1,2,2020-03-23T23:19:21
BA,Bosnia and Herzegovina,166,3,2,2020-03-24T23:37:15
BA,Bosnia and Herzegovina,176,3,2,2020-03-25T23:33:04
BA,Bosnia and Herzegovina,191,3,2,2020-03-26T23:48:18
BA,Bosnia and Herzegovina,237,4,5,2020-03-27T23:23:03
BA,Bosnia and Herzegovina,258,5,5,2020-03-28T23:05:25
BA,Bosnia and Herzegovina,323,6,8,2020-03-29T23:08:13
BA,Bosnia and Herzegovina,368,10,17,2020-03-30T22:52:33
BA,Bosnia and Herzegovina,420,13,17,2020-03-31T23:43:43
BA,Bosnia and Herzegovina,459,13,19,2020-04-01T21:58:34
BA,Bosnia and Herzegovina,533,16,20,2020-04-02T23:25:14
BA,Bosnia and Herzegovina,579,17,27,2020-04-03T23:56:18
BA,Bosnia and Herzegovina,624,21,30,2020-04-04T23:34:04
BA,Bosnia and Herzegovina,654,23,30,2020-04-05T23:06:26
BA,Bosnia and Herzegovina,674,29,47,2020-04-06T23:21:55
BA,Bosnia and Herzegovina,764,33,68,2020-04-07T23:04:29
BA,Bosnia and Herzegovina,804,34,79,2020-04-08T22:51:39
BA,Bosnia and Herzegovina,858,35,101,2020-04-09T23:02:19
BA,Bosnia and Herzegovina,901,36,129,2020-04-10T22:53:48
BA,Bosnia and Herzegovina,946,37,139,2020-04-11T23:56:45
BA,Bosnia and Herzegovina,946,37,139,2020-04-12T03:31:35
BA,Bosnia and Herzegovina,1037,39,206,2020-04-13T23:07:34
BA,Bosnia and Herzegovina,1083,40,236,2020-04-14T23:33:12
BA,Bosnia and Herzegovina,1110,41,253,2020-04-15T22:56:32
BA,Bosnia and Herzegovina,1167,43,277,2020-04-16T23:30:31
BA,Bosnia and Herzegovina,1214,46,320,2020-04-17T23:30:32
BA,Bosnia and Herzegovina,1268,47,338,2020-04-18T22:32:28
BA,Bosnia and Herzegovina,1285,48,347,2020-04-19T23:40:41
BA,Bosnia and Herzegovina,1309,49,381,2020-04-20T23:36:27
BA,Bosnia and Herzegovina,1342,51,437,2020-04-21T23:30:30
BA,Bosnia and Herzegovina,1368,53,460,2020-04-22T23:30:32
BA,Bosnia and Herzegovina,1413,54,485,2020-04-23T23:30:31
BA,Bosnia and Herzegovina,1421,55,538,2020-04-24T21:30:34
BA,Bosnia and Herzegovina,1486,57,592,2020-04-25T23:30:33
BA,Bosnia and Herzegovina,1516,59,624,2020-04-26T23:30:31
BA,Bosnia and Herzegovina,1565,60,659,2020-04-27T23:30:31
BA,Bosnia and Herzegovina,1585,63,682,2020-04-28T23:32:24
BA,Bosnia and Herzegovina,1677,65,710,2020-04-29T23:32:26
BA,Bosnia and Herzegovina,1757,69,727,2020-04-30T23:32:27
BA,Bosnia and Herzegovina,1781,70,755,2020-05-01T23:32:36
BA,Bosnia and Herzegovina,1839,72,779,2020-05-02T23:32:31
BA,Bosnia and Herzegovina,1857,77,825,2020-05-03T23:32:29
BA,Bosnia and Herzegovina,1926,78,855,2020-05-04T22:32:33
BA,Bosnia and Herzegovina,1946,79,911,2020-05-05T23:32:29
BA,Bosnia and Herzegovina,1987,86,928,2020-05-06T23:32:28
BA,Bosnia and Herzegovina,2027,90,954,2020-05-07T22:32:32
BA,Bosnia and Herzegovina,2070,98,960,2020-05-08T23:32:35
BA,Bosnia and Herzegovina,2090,102,1059,2020-05-09T23:32:33
BA,Bosnia and Herzegovina,2117,107,1106,2020-05-10T23:32:32
BA,Bosnia and Herzegovina,2141,113,1114,2020-05-11T23:32:30
BA,Bosnia and Herzegovina,2158,117,1168,2020-05-12T23:32:26
BA,Bosnia and Herzegovina,2181,120,1228,2020-05-13T23:32:26
BA,Bosnia and Herzegovina,2218,122,1272,2020-05-14T23:32:28
BA,Bosnia and Herzegovina,2236,128,1336,2020-05-15T23:32:20
BA,Bosnia and Herzegovina,2267,129,1355,2020-05-16T23:32:19
BA,Bosnia and Herzegovina,2290,133,1436,2020-05-17T23:32:23
BA,Bosnia and Herzegovina,2304,133,1464,2020-05-18T18:01:58
