country,name,cases,deaths,recovered,last_update
BB,Barbados,2,0,0,2020-03-17T16:13:14
BB,Barbados,2,0,0,2020-03-18T06:33:07
BB,Barbados,5,0,0,2020-03-19T20:43:03
BB,Barbados,6,0,0,2020-03-21T02:43:03
BB,Barbados,14,0,0,2020-03-22T23:45:00
BB,Barbados,17,0,0,2020-03-23T23:19:21
BB,Barbados,18,0,0,2020-03-24T23:37:15
BB,Barbados,18,0,0,2020-03-25T23:33:04
BB,Barbados,18,0,0,2020-03-26T23:48:18
BB,Barbados,24,0,0,2020-03-27T23:23:03
BB,Barbados,26,0,0,2020-03-28T23:05:25
BB,Barbados,33,0,0,2020-03-29T23:08:13
BB,Barbados,33,0,0,2020-03-30T22:52:33
BB,Barbados,34,0,0,2020-03-31T23:43:43
BB,Barbados,34,0,0,2020-04-01T21:58:34
BB,Barbados,46,0,0,2020-04-02T23:25:14
BB,Barbados,51,0,0,2020-04-03T23:56:18
BB,Barbados,52,0,0,2020-04-04T23:34:04
BB,Barbados,56,1,6,2020-04-05T23:06:26
BB,Barbados,60,2,6,2020-04-06T23:21:55
BB,Barbados,63,3,6,2020-04-07T23:04:29
BB,Barbados,63,3,8,2020-04-08T22:51:39
BB,Barbados,66,3,11,2020-04-09T23:02:19
BB,Barbados,67,4,11,2020-04-10T22:53:48
BB,Barbados,68,4,11,2020-04-11T23:56:45
BB,Barbados,68,4,11,2020-04-12T03:31:35
BB,Barbados,72,4,13,2020-04-13T23:07:34
BB,Barbados,72,4,13,2020-04-14T23:33:12
BB,Barbados,73,5,15,2020-04-15T22:56:32
BB,Barbados,75,5,15,2020-04-16T23:30:31
BB,Barbados,75,5,15,2020-04-17T23:30:32
BB,Barbados,75,5,17,2020-04-18T22:32:28
BB,Barbados,75,5,17,2020-04-19T23:40:41
BB,Barbados,75,5,19,2020-04-20T23:36:27
BB,Barbados,75,5,25,2020-04-21T23:30:30
BB,Barbados,75,5,25,2020-04-22T23:30:32
BB,Barbados,76,6,30,2020-04-23T23:30:31
BB,Barbados,76,6,30,2020-04-24T21:30:34
BB,Barbados,79,6,31,2020-04-25T23:30:33
BB,Barbados,79,6,39,2020-04-26T23:30:31
BB,Barbados,79,6,39,2020-04-27T23:30:31
BB,Barbados,80,6,39,2020-04-28T23:32:24
BB,Barbados,80,7,39,2020-04-29T23:32:26
BB,Barbados,81,7,39,2020-04-30T23:32:27
BB,Barbados,81,7,39,2020-05-01T23:32:36
BB,Barbados,81,7,44,2020-05-02T23:32:31
BB,Barbados,81,7,44,2020-05-03T23:32:29
BB,Barbados,82,7,46,2020-05-04T22:32:33
BB,Barbados,82,7,47,2020-05-05T23:32:29
BB,Barbados,82,7,47,2020-05-06T23:32:28
BB,Barbados,82,7,53,2020-05-07T22:32:32
BB,Barbados,83,7,53,2020-05-08T23:32:35
BB,Barbados,83,7,53,2020-05-09T23:32:33
BB,Barbados,84,7,57,2020-05-10T23:32:32
BB,Barbados,84,7,57,2020-05-11T23:32:30
BB,Barbados,84,7,57,2020-05-12T23:32:26
BB,Barbados,85,7,57,2020-05-13T23:32:26
BB,Barbados,85,7,65,2020-05-14T23:32:28
BB,Barbados,85,7,65,2020-05-15T23:32:20
BB,Barbados,86,7,67,2020-05-16T23:32:19
BB,Barbados,88,7,68,2020-05-17T23:32:23
BB,Barbados,88,7,68,2020-05-18T23:32:29
BB,Barbados,88,7,68,2020-05-19T23:32:20
BB,Barbados,90,7,70,2020-05-20T23:32:52
BB,Barbados,90,7,70,2020-05-21T23:32:39
BB,Barbados,90,7,70,2020-05-22T23:32:40
BB,Barbados,90,7,70,2020-05-23T19:06:14
