country,name,cases,deaths,recovered,last_update
BE,Belgium,1,0,0,2020-02-04T15:43:02
BE,Belgium,1,0,1,2020-02-17T04:23:06
BE,Belgium,2,0,1,2020-03-01T12:43:02
BE,Belgium,8,0,1,2020-03-02T20:53:02
BE,Belgium,13,0,1,2020-03-03T15:13:26
BE,Belgium,23,0,1,2020-03-04T12:33:03
BE,Belgium,50,0,1,2020-03-05T13:53:03
BE,Belgium,109,0,1,2020-03-06T12:33:03
BE,Belgium,169,0,1,2020-03-07T17:53:03
BE,Belgium,200,0,1,2020-03-08T17:23:07
BE,Belgium,239,0,1,2020-03-09T10:43:05
BE,Belgium,267,0,1,2020-03-10T11:53:03
BE,Belgium,314,3,1,2020-03-11T18:52:03
BE,Belgium,559,3,1,2020-03-11T20:00:00
BE,Belgium,689,4,1,2020-03-14T11:53:29
BE,Belgium,886,4,1,2020-03-15T18:20:18
BE,Belgium,1058,5,1,2020-03-16T14:38:45
BE,Belgium,1243,10,1,2020-03-17T15:33:06
BE,Belgium,1486,14,31,2020-03-18T12:33:02
BE,Belgium,1795,21,31,2020-03-19T11:13:17
BE,Belgium,2257,37,1,2020-03-20T14:43:04
BE,Belgium,2815,67,263,2020-03-21T11:13:12
BE,Belgium,3401,75,263,2020-03-22T23:45:00
BE,Belgium,3743,88,401,2020-03-23T23:19:21
BE,Belgium,4269,122,461,2020-03-24T23:37:15
BE,Belgium,4937,178,547,2020-03-25T23:33:04
BE,Belgium,6235,220,675,2020-03-26T23:48:18
BE,Belgium,7284,289,858,2020-03-27T23:23:03
BE,Belgium,9134,353,1063,2020-03-28T23:05:25
BE,Belgium,10836,431,1359,2020-03-29T23:08:13
BE,Belgium,11899,513,1527,2020-03-30T22:52:33
BE,Belgium,12775,705,1696,2020-03-31T23:43:43
BE,Belgium,13964,828,2132,2020-04-01T21:58:34
BE,Belgium,15348,1011,2495,2020-04-02T23:25:14
BE,Belgium,16770,1143,2872,2020-04-03T23:56:18
BE,Belgium,18431,1283,3247,2020-04-04T23:34:04
BE,Belgium,19691,1447,3751,2020-04-05T23:06:26
BE,Belgium,20814,1632,3986,2020-04-06T23:21:55
BE,Belgium,22194,2035,4157,2020-04-07T23:04:29
BE,Belgium,23403,2240,4681,2020-04-08T22:51:39
BE,Belgium,24983,2523,5164,2020-04-09T23:02:19
BE,Belgium,26667,3019,5568,2020-04-10T22:53:48
BE,Belgium,28018,3346,5986,2020-04-11T23:56:45
BE,Belgium,28018,3346,5986,2020-04-12T03:31:35
BE,Belgium,30589,3903,6707,2020-04-13T23:07:34
BE,Belgium,31119,4157,6868,2020-04-14T23:33:12
BE,Belgium,33573,4440,7107,2020-04-15T22:56:32
BE,Belgium,34809,4857,7562,2020-04-16T23:30:31
BE,Belgium,36138,5163,7961,2020-04-17T23:30:32
BE,Belgium,37183,5453,8348,2020-04-18T22:32:28
BE,Belgium,38496,5683,8757,2020-04-19T23:40:41
BE,Belgium,39983,5828,8895,2020-04-20T23:36:27
BE,Belgium,40956,5998,9002,2020-04-21T23:30:30
BE,Belgium,41889,6262,9433,2020-04-22T23:30:32
BE,Belgium,42797,6490,9800,2020-04-23T23:30:31
BE,Belgium,44293,6679,10122,2020-04-24T21:30:34
BE,Belgium,45325,6917,10417,2020-04-25T23:30:33
BE,Belgium,46134,7094,10785,2020-04-26T23:30:31
BE,Belgium,46687,7207,10878,2020-04-27T23:30:31
BE,Belgium,47334,7331,10943,2020-04-28T23:32:24
BE,Belgium,47859,7501,11283,2020-04-29T23:32:26
BE,Belgium,48519,7594,11576,2020-04-30T23:32:27
BE,Belgium,49032,7703,11892,2020-05-01T23:32:36
BE,Belgium,49517,7765,12211,2020-05-02T23:32:31
BE,Belgium,49906,7844,12309,2020-05-03T23:32:29
BE,Belgium,50267,7924,12378,2020-05-04T22:32:33
BE,Belgium,50509,8016,12441,2020-05-05T23:32:29
BE,Belgium,50781,8339,12731,2020-05-06T23:32:28
BE,Belgium,51420,8415,12980,2020-05-07T22:32:32
BE,Belgium,52011,8521,13201,2020-05-08T23:32:35
BE,Belgium,52596,8581,13411,2020-05-09T23:32:33
BE,Belgium,53081,8656,13642,2020-05-10T23:32:32
BE,Belgium,53449,8707,13697,2020-05-11T23:32:30
BE,Belgium,53779,8761,13732,2020-05-12T23:32:26
BE,Belgium,53981,8843,13937,2020-05-13T23:32:26
BE,Belgium,54288,8903,14111,2020-05-14T23:32:28
BE,Belgium,54644,8959,14301,2020-05-15T23:32:20
BE,Belgium,54989,9005,14460,2020-05-16T23:32:19
BE,Belgium,55280,9052,14630,2020-05-17T23:32:23
BE,Belgium,55559,9080,14657,2020-05-18T18:01:58
