country,name,cases,deaths,recovered,last_update
BG,Bulgaria,4,0,0,2020-03-08T11:13:17
BG,Bulgaria,4,0,0,2020-03-09T14:43:03
BG,Bulgaria,23,1,0,2020-03-11T20:00:00
BG,Bulgaria,7,1,0,2020-03-11T22:13:12
BG,Bulgaria,41,2,0,2020-03-14T20:33:03
BG,Bulgaria,51,2,0,2020-03-15T18:20:18
BG,Bulgaria,52,2,0,2020-03-16T14:38:45
BG,Bulgaria,67,2,0,2020-03-17T10:53:03
BG,Bulgaria,92,2,0,2020-03-18T15:33:15
BG,Bulgaria,94,3,0,2020-03-19T10:53:03
BG,Bulgaria,127,3,0,2020-03-20T16:13:11
BG,Bulgaria,163,3,3,2020-03-21T17:43:03
BG,Bulgaria,187,3,3,2020-03-22T23:45:00
BG,Bulgaria,201,3,3,2020-03-23T23:19:21
BG,Bulgaria,218,3,3,2020-03-24T23:37:15
BG,Bulgaria,242,3,4,2020-03-25T23:33:04
BG,Bulgaria,264,3,8,2020-03-26T23:48:18
BG,Bulgaria,293,3,9,2020-03-27T23:23:03
BG,Bulgaria,331,7,11,2020-03-28T23:05:25
BG,Bulgaria,346,8,14,2020-03-29T23:08:13
BG,Bulgaria,359,8,17,2020-03-30T22:52:33
BG,Bulgaria,399,8,17,2020-03-31T23:43:43
BG,Bulgaria,422,10,20,2020-04-01T21:58:34
BG,Bulgaria,457,10,25,2020-04-02T23:25:14
BG,Bulgaria,485,14,30,2020-04-03T23:56:18
BG,Bulgaria,503,17,34,2020-04-04T23:34:04
BG,Bulgaria,531,20,37,2020-04-05T23:06:26
BG,Bulgaria,549,22,39,2020-04-06T23:21:55
BG,Bulgaria,577,23,42,2020-04-07T23:04:29
BG,Bulgaria,593,24,42,2020-04-08T22:51:39
BG,Bulgaria,618,24,48,2020-04-09T23:02:19
BG,Bulgaria,635,25,54,2020-04-10T22:53:48
BG,Bulgaria,661,28,62,2020-04-11T23:56:45
BG,Bulgaria,661,28,62,2020-04-12T03:31:35
BG,Bulgaria,685,32,71,2020-04-13T23:07:34
BG,Bulgaria,713,35,81,2020-04-14T23:33:12
BG,Bulgaria,747,36,105,2020-04-15T22:56:32
BG,Bulgaria,800,38,122,2020-04-16T23:30:31
BG,Bulgaria,846,41,141,2020-04-17T23:30:32
BG,Bulgaria,878,41,153,2020-04-18T22:32:28
BG,Bulgaria,894,42,161,2020-04-19T23:40:41
BG,Bulgaria,929,43,167,2020-04-20T23:36:27
BG,Bulgaria,975,45,170,2020-04-21T23:30:30
BG,Bulgaria,1024,49,174,2020-04-22T23:30:32
BG,Bulgaria,1097,52,190,2020-04-23T23:30:31
BG,Bulgaria,1188,54,193,2020-04-24T21:30:34
BG,Bulgaria,1247,55,197,2020-04-25T23:30:33
BG,Bulgaria,1300,56,205,2020-04-26T23:30:31
BG,Bulgaria,1363,58,206,2020-04-27T23:30:31
BG,Bulgaria,1399,58,222,2020-04-28T23:32:24
BG,Bulgaria,1447,64,243,2020-04-29T23:32:26
BG,Bulgaria,1506,66,266,2020-04-30T23:32:27
BG,Bulgaria,1555,68,276,2020-05-01T23:32:36
BG,Bulgaria,1594,72,287,2020-05-02T23:32:31
BG,Bulgaria,1618,73,308,2020-05-03T23:32:29
BG,Bulgaria,1652,78,321,2020-05-04T22:32:33
BG,Bulgaria,1704,80,342,2020-05-05T23:32:29
BG,Bulgaria,1778,84,360,2020-05-06T23:32:28
BG,Bulgaria,1829,84,384,2020-05-07T22:32:32
BG,Bulgaria,1872,86,401,2020-05-08T23:32:35
BG,Bulgaria,1921,90,422,2020-05-09T23:32:33
BG,Bulgaria,1965,91,444,2020-05-10T23:32:32
BG,Bulgaria,1990,93,461,2020-05-11T23:32:30
BG,Bulgaria,2023,95,476,2020-05-12T23:32:26
BG,Bulgaria,2069,96,499,2020-05-13T23:32:26
BG,Bulgaria,2100,99,531,2020-05-14T23:32:28
BG,Bulgaria,2138,102,545,2020-05-15T23:32:20
BG,Bulgaria,2175,105,573,2020-05-16T23:32:19
BG,Bulgaria,2211,108,598,2020-05-17T23:32:23
BG,Bulgaria,2235,110,612,2020-05-18T23:32:29
BG,Bulgaria,2259,112,646,2020-05-19T23:32:20
BG,Bulgaria,2292,116,684,2020-05-20T23:32:52
BG,Bulgaria,2331,120,727,2020-05-21T23:32:39
BG,Bulgaria,2372,125,769,2020-05-22T23:32:40
BG,Bulgaria,2408,126,808,2020-05-23T19:06:14
